Expt No.,Criteria Entry No.,Trial Trt No,Rep No.,Plot No.,Entry Name,ST Criteria Column,Grand Mean Column,Description,Plot Mean
CPT:2006:Highmore,9,1,1,101,Alliance,1,1,Yield,19.1472492218018
CPT:2006:Highmore,9,1,2,202,Alliance,1,1,Yield,35.05419921875
CPT:2006:Highmore,9,1,3,303,Alliance,1,1,Yield,42.3694305419922
CPT:2006:Highmore,9,1,4,417,Alliance,1,1,Yield,53.1704483032227
CPT:2006:Highmore,1,2,1,102,arapahoe,1,1,Yield,20.9637908935547
CPT:2006:Highmore,1,2,2,204,arapahoe,1,1,Yield,24.9896202087402
CPT:2006:Highmore,1,2,3,328,arapahoe,1,1,Yield,37.2144088745117
CPT:2006:Highmore,1,2,4,430,arapahoe,1,1,Yield,52.581298828125
CPT:2006:Highmore,5,3,1,103,CRIMSON,1,1,Yield,27.0025405883789
CPT:2006:Highmore,5,3,2,227,CRIMSON,1,1,Yield,37.5089797973633
CPT:2006:Highmore,5,3,3,313,CRIMSON,1,1,Yield,45.5115509033203
CPT:2006:Highmore,5,3,4,421,CRIMSON,1,1,Yield,45.8552207946777
CPT:2006:Highmore,2,4,1,104,expedition,1,1,Yield,17.0361499786377
CPT:2006:Highmore,2,4,2,214,expedition,1,1,Yield,25.0387191772461
CPT:2006:Highmore,2,4,3,307,expedition,1,1,Yield,27.8371601104736
CPT:2006:Highmore,2,4,4,411,expedition,1,1,Yield,51.8448715209961
CPT:2006:Highmore,3,8,1,108,jagalene,1,1,Yield,18.2144393920898
CPT:2006:Highmore,3,8,2,205,jagalene,1,1,Yield,32.6976203918457
CPT:2006:Highmore,3,8,3,327,jagalene,1,1,Yield,34.4650497436523
CPT:2006:Highmore,3,8,4,429,jagalene,1,1,Yield,54.005069732666
CPT:2006:Highmore,4,10,1,110,millennium,1,1,Yield,22.6821308135986
CPT:2006:Highmore,4,10,2,207,millennium,1,1,Yield,36.8216400146484
CPT:2006:Highmore,4,10,3,306,millennium,1,1,Yield,41.7802886962891
CPT:2006:Highmore,4,10,4,427,millennium,1,1,Yield,42.6149101257324
CPT:2006:Highmore,6,13,1,113,tandem,1,1,Yield,26.1188201904297
CPT:2006:Highmore,6,13,2,208,tandem,1,1,Yield,22.4366493225098
CPT:2006:Highmore,6,13,3,324,tandem,1,1,Yield,34.1704788208008
CPT:2006:Highmore,6,13,4,410,tandem,1,1,Yield,55.6252288818359
CPT:2006:Highmore,7,14,1,114,wahoo,1,1,Yield,24.7932395935059
CPT:2006:Highmore,7,14,2,210,wahoo,1,1,Yield,37.8526496887207
CPT:2006:Highmore,7,14,3,323,wahoo,1,1,Yield,31.7157096862793
CPT:2006:Highmore,7,14,4,402,wahoo,1,1,Yield,56.1652793884277
CPT:2006:Highmore,8,15,1,115,wesley,1,1,Yield,24.105899810791
CPT:2006:Highmore,8,15,2,211,wesley,1,1,Yield,29.5064105987549
CPT:2006:Highmore,8,15,3,310,wesley,1,1,Yield,39.7182807922363
CPT:2006:Highmore,8,15,4,420,wesley,1,1,Yield,64.2660369873047
CPT:2006:Highmore,9,1,1,101,Alliance,1,2,Heading,NA
CPT:2006:Highmore,9,1,2,202,Alliance,1,2,Heading,NA
CPT:2006:Highmore,9,1,3,303,Alliance,1,2,Heading,NA
CPT:2006:Highmore,9,1,4,417,Alliance,1,2,Heading,NA
CPT:2006:Highmore,1,2,1,102,arapahoe,1,2,Heading,NA
CPT:2006:Highmore,1,2,2,204,arapahoe,1,2,Heading,NA
CPT:2006:Highmore,1,2,3,328,arapahoe,1,2,Heading,NA
CPT:2006:Highmore,1,2,4,430,arapahoe,1,2,Heading,NA
CPT:2006:Highmore,5,3,1,103,CRIMSON,1,2,Heading,NA
CPT:2006:Highmore,5,3,2,227,CRIMSON,1,2,Heading,NA
CPT:2006:Highmore,5,3,3,313,CRIMSON,1,2,Heading,NA
CPT:2006:Highmore,5,3,4,421,CRIMSON,1,2,Heading,NA
CPT:2006:Highmore,2,4,1,104,expedition,1,2,Heading,NA
CPT:2006:Highmore,2,4,2,214,expedition,1,2,Heading,NA
CPT:2006:Highmore,2,4,3,307,expedition,1,2,Heading,NA
CPT:2006:Highmore,2,4,4,411,expedition,1,2,Heading,NA
CPT:2006:Highmore,3,8,1,108,jagalene,1,2,Heading,NA
CPT:2006:Highmore,3,8,2,205,jagalene,1,2,Heading,NA
CPT:2006:Highmore,3,8,3,327,jagalene,1,2,Heading,NA
CPT:2006:Highmore,3,8,4,429,jagalene,1,2,Heading,NA
CPT:2006:Highmore,4,10,1,110,millennium,1,2,Heading,NA
CPT:2006:Highmore,4,10,2,207,millennium,1,2,Heading,NA
CPT:2006:Highmore,4,10,3,306,millennium,1,2,Heading,NA
CPT:2006:Highmore,4,10,4,427,millennium,1,2,Heading,NA
CPT:2006:Highmore,6,13,1,113,tandem,1,2,Heading,NA
CPT:2006:Highmore,6,13,2,208,tandem,1,2,Heading,NA
CPT:2006:Highmore,6,13,3,324,tandem,1,2,Heading,NA
CPT:2006:Highmore,6,13,4,410,tandem,1,2,Heading,NA
CPT:2006:Highmore,7,14,1,114,wahoo,1,2,Heading,NA
CPT:2006:Highmore,7,14,2,210,wahoo,1,2,Heading,NA
CPT:2006:Highmore,7,14,3,323,wahoo,1,2,Heading,NA
CPT:2006:Highmore,7,14,4,402,wahoo,1,2,Heading,NA
CPT:2006:Highmore,8,15,1,115,wesley,1,2,Heading,NA
CPT:2006:Highmore,8,15,2,211,wesley,1,2,Heading,NA
CPT:2006:Highmore,8,15,3,310,wesley,1,2,Heading,NA
CPT:2006:Highmore,8,15,4,420,wesley,1,2,Heading,NA
CPT:2006:Highmore,9,1,1,101,Alliance,1,3,Height,NA
CPT:2006:Highmore,9,1,2,202,Alliance,1,3,Height,NA
CPT:2006:Highmore,9,1,3,303,Alliance,1,3,Height,NA
CPT:2006:Highmore,9,1,4,417,Alliance,1,3,Height,NA
CPT:2006:Highmore,1,2,1,102,arapahoe,1,3,Height,NA
CPT:2006:Highmore,1,2,2,204,arapahoe,1,3,Height,NA
CPT:2006:Highmore,1,2,3,328,arapahoe,1,3,Height,NA
CPT:2006:Highmore,1,2,4,430,arapahoe,1,3,Height,NA
CPT:2006:Highmore,5,3,1,103,CRIMSON,1,3,Height,NA
CPT:2006:Highmore,5,3,2,227,CRIMSON,1,3,Height,NA
CPT:2006:Highmore,5,3,3,313,CRIMSON,1,3,Height,NA
CPT:2006:Highmore,5,3,4,421,CRIMSON,1,3,Height,NA
CPT:2006:Highmore,2,4,1,104,expedition,1,3,Height,NA
CPT:2006:Highmore,2,4,2,214,expedition,1,3,Height,NA
CPT:2006:Highmore,2,4,3,307,expedition,1,3,Height,NA
CPT:2006:Highmore,2,4,4,411,expedition,1,3,Height,NA
CPT:2006:Highmore,3,8,1,108,jagalene,1,3,Height,NA
CPT:2006:Highmore,3,8,2,205,jagalene,1,3,Height,NA
CPT:2006:Highmore,3,8,3,327,jagalene,1,3,Height,NA
CPT:2006:Highmore,3,8,4,429,jagalene,1,3,Height,NA
CPT:2006:Highmore,4,10,1,110,millennium,1,3,Height,NA
CPT:2006:Highmore,4,10,2,207,millennium,1,3,Height,NA
CPT:2006:Highmore,4,10,3,306,millennium,1,3,Height,NA
CPT:2006:Highmore,4,10,4,427,millennium,1,3,Height,NA
CPT:2006:Highmore,6,13,1,113,tandem,1,3,Height,NA
CPT:2006:Highmore,6,13,2,208,tandem,1,3,Height,NA
CPT:2006:Highmore,6,13,3,324,tandem,1,3,Height,NA
CPT:2006:Highmore,6,13,4,410,tandem,1,3,Height,NA
CPT:2006:Highmore,7,14,1,114,wahoo,1,3,Height,NA
CPT:2006:Highmore,7,14,2,210,wahoo,1,3,Height,NA
CPT:2006:Highmore,7,14,3,323,wahoo,1,3,Height,NA
CPT:2006:Highmore,7,14,4,402,wahoo,1,3,Height,NA
CPT:2006:Highmore,8,15,1,115,wesley,1,3,Height,NA
CPT:2006:Highmore,8,15,2,211,wesley,1,3,Height,NA
CPT:2006:Highmore,8,15,3,310,wesley,1,3,Height,NA
CPT:2006:Highmore,8,15,4,420,wesley,1,3,Height,NA
CPT:2006:Highmore,9,1,1,101,Alliance,1,4,Lodging,NA
CPT:2006:Highmore,9,1,2,202,Alliance,1,4,Lodging,NA
CPT:2006:Highmore,9,1,3,303,Alliance,1,4,Lodging,NA
CPT:2006:Highmore,9,1,4,417,Alliance,1,4,Lodging,NA
CPT:2006:Highmore,1,2,1,102,arapahoe,1,4,Lodging,NA
CPT:2006:Highmore,1,2,2,204,arapahoe,1,4,Lodging,NA
CPT:2006:Highmore,1,2,3,328,arapahoe,1,4,Lodging,NA
CPT:2006:Highmore,1,2,4,430,arapahoe,1,4,Lodging,NA
CPT:2006:Highmore,5,3,1,103,CRIMSON,1,4,Lodging,NA
CPT:2006:Highmore,5,3,2,227,CRIMSON,1,4,Lodging,NA
CPT:2006:Highmore,5,3,3,313,CRIMSON,1,4,Lodging,NA
