Expt No.,Criteria Entry No.,Trial Trt No,Rep No.,Plot No.,Entry Name,ST Criteria Column,Grand Mean Column,Description,Plot Mean
CPT:2003:Brookings,9,1,1,101,ALLIANCE,1,1,Yield,64.7359466552734
CPT:2003:Brookings,1,2,1,102,ARAPAHOE,1,1,Yield,85.250862121582
CPT:2003:Brookings,3,4,1,104,JAGALENE,1,1,Yield,94.3686065673828
CPT:2003:Brookings,6,9,1,109,TANDEM,1,1,Yield,87.3023529052734
CPT:2003:Brookings,8,10,1,110,WESLEY,1,1,Yield,95.7362670898438
CPT:2003:Brookings,4,11,1,111,MILLENNIUM,1,1,Yield,97.3318710327148
CPT:2003:Brookings,7,12,1,112,WAHOO,1,1,Yield,84.7949829101563
CPT:2003:Brookings,5,13,1,113,CRIMSON,1,1,Yield,104.170196533203
CPT:2003:Brookings,2,14,1,114,EXPEDITION,1,1,Yield,90.4935607910156
CPT:2003:Brookings,5,13,2,204,CRIMSON,1,1,Yield,82.7434768676758
CPT:2003:Brookings,2,14,2,207,EXPEDITION,1,1,Yield,76.3610687255859
CPT:2003:Brookings,6,9,2,214,TANDEM,1,1,Yield,72.4860305786133
CPT:2003:Brookings,1,2,2,217,ARAPAHOE,1,1,Yield,85.9346923828125
CPT:2003:Brookings,8,10,2,218,WESLEY,1,1,Yield,88.8979568481445
CPT:2003:Brookings,4,11,2,220,MILLENNIUM,1,1,Yield,90.7214965820313
CPT:2003:Brookings,7,12,2,224,WAHOO,1,1,Yield,87.7582397460938
CPT:2003:Brookings,9,1,2,226,ALLIANCE,1,1,Yield,68.8389434814453
CPT:2003:Brookings,3,4,2,229,JAGALENE,1,1,Yield,82.0596466064453
CPT:2003:Brookings,4,11,3,303,MILLENNIUM,1,1,Yield,89.8097305297852
CPT:2003:Brookings,7,12,3,305,WAHOO,1,1,Yield,86.1626434326172
CPT:2003:Brookings,2,14,3,306,EXPEDITION,1,1,Yield,70.8904266357422
CPT:2003:Brookings,6,9,3,309,TANDEM,1,1,Yield,79.7802200317383
CPT:2003:Brookings,3,4,3,310,JAGALENE,1,1,Yield,96.4200973510742
CPT:2003:Brookings,1,2,3,321,ARAPAHOE,1,1,Yield,87.5302963256836
CPT:2003:Brookings,8,10,3,323,WESLEY,1,1,Yield,77.0448989868164
CPT:2003:Brookings,9,1,3,324,ALLIANCE,1,1,Yield,80.8173828125
CPT:2003:Brookings,5,13,3,325,CRIMSON,1,1,Yield,76.5890121459961
CPT:2003:Brookings,7,12,4,403,WAHOO,1,1,Yield,84.1111526489258
CPT:2003:Brookings,4,11,4,404,MILLENNIUM,1,1,Yield,87.3023529052734
CPT:2003:Brookings,9,1,4,406,ALLIANCE,1,1,Yield,69.0668792724609
CPT:2003:Brookings,6,9,4,412,TANDEM,1,1,Yield,59.0373611450195
CPT:2003:Brookings,2,14,4,414,EXPEDITION,1,1,Yield,76.3610687255859
CPT:2003:Brookings,3,4,4,415,JAGALENE,1,1,Yield,87.7582397460938
CPT:2003:Brookings,5,13,4,420,CRIMSON,1,1,Yield,75.6772384643555
CPT:2003:Brookings,1,2,4,423,ARAPAHOE,1,1,Yield,82.5155410766602
CPT:2003:Brookings,8,10,4,427,WESLEY,1,1,Yield,70.662483215332
CPT:2003:Brookings,9,1,1,101,ALLIANCE,1,2,Heading,156
CPT:2003:Brookings,1,2,1,102,ARAPAHOE,1,2,Heading,158
CPT:2003:Brookings,3,4,1,104,JAGALENE,1,2,Heading,158
CPT:2003:Brookings,6,9,1,109,TANDEM,1,2,Heading,162
CPT:2003:Brookings,8,10,1,110,WESLEY,1,2,Heading,157
CPT:2003:Brookings,4,11,1,111,MILLENNIUM,1,2,Heading,160
CPT:2003:Brookings,7,12,1,112,WAHOO,1,2,Heading,159
CPT:2003:Brookings,5,13,1,113,CRIMSON,1,2,Heading,162
CPT:2003:Brookings,2,14,1,114,EXPEDITION,1,2,Heading,154
CPT:2003:Brookings,5,13,2,204,CRIMSON,1,2,Heading,161
CPT:2003:Brookings,2,14,2,207,EXPEDITION,1,2,Heading,157
CPT:2003:Brookings,6,9,2,214,TANDEM,1,2,Heading,160
CPT:2003:Brookings,1,2,2,217,ARAPAHOE,1,2,Heading,158
CPT:2003:Brookings,8,10,2,218,WESLEY,1,2,Heading,158
CPT:2003:Brookings,4,11,2,220,MILLENNIUM,1,2,Heading,159
CPT:2003:Brookings,7,12,2,224,WAHOO,1,2,Heading,159
CPT:2003:Brookings,9,1,2,226,ALLIANCE,1,2,Heading,155
CPT:2003:Brookings,3,4,2,229,JAGALENE,1,2,Heading,158
CPT:2003:Brookings,4,11,3,303,MILLENNIUM,1,2,Heading,159
CPT:2003:Brookings,7,12,3,305,WAHOO,1,2,Heading,158
CPT:2003:Brookings,2,14,3,306,EXPEDITION,1,2,Heading,154
CPT:2003:Brookings,6,9,3,309,TANDEM,1,2,Heading,160
CPT:2003:Brookings,3,4,3,310,JAGALENE,1,2,Heading,158
CPT:2003:Brookings,1,2,3,321,ARAPAHOE,1,2,Heading,160
CPT:2003:Brookings,8,10,3,323,WESLEY,1,2,Heading,158
