Trial	Treatment	RepNo	ColNo	Plot.Mean	SmyCol	StyCol	StyTreatment	CritCol	CritTrtNo	IsMinMax
MultMessyA	1	1	NA	3.25	6	8	1	6	1	0
MultMessyA	2	1	NA	3.16000008583069	6	8	2	6	2	0
MultMessyA	3	1	NA	3.13000011444092	6	8	3	6	3	0
MultMessyA	4	1	NA	3.22000002861023	6	8	4	6	4	0
MultMessyA	4	2	NA	2.96000003814697	6	8	4	6	4	0
MultMessyA	3	2	NA	2.99000000953674	6	8	3	6	3	0
MultMessyA	1	2	NA	3.20000004768372	6	8	1	6	1	0
MultMessyA	2	2	NA	2.71000003814697	6	8	2	6	2	0
MultMessyA	2	3	NA	2.86999988555908	6	8	2	6	2	0
MultMessyA	1	3	NA	2.69000005722046	6	8	1	6	1	0
MultMessyA	4	3	NA	3.11999988555908	6	8	4	6	4	0
MultMessyA	3	3	NA	2.86999988555908	6	8	3	6	3	0
