"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	"Month"	"Month Code"	Avg Daily Precipitation (mm)
	"Montana"	"30"	"Beaverhead County, MT"	"30001"	"1979"	"1979"	"Jan"	"1"	1.60
	"Montana"	"30"	"Beaverhead County, MT"	"30001"	"1979"	"1979"	"Feb"	"2"	1.78
	"Montana"	"30"	"Beaverhead County, MT"	"30001"	"1979"	"1979"	"Mar"	"3"	1.28
	"Montana"	"30"	"Beaverhead County, MT"	"30001"	"1979"	"1979"	"Apr"	"4"	2.17
	"Montana"	"30"	"Beaverhead County, MT"	"30001"	"1979"	"1979"	"May"	"5"	0.91
	"Montana"	"30"	"Beaverhead County, MT"	"30001"	"1979"	"1979"	"Jun"	"6"	0.74
	"Montana"	"30"	"Beaverhead County, MT"	"30001"	"1979"	"1979"	"Jul"	"7"	0.65
	"Montana"	"30"	"Beaverhead County, MT"	"30001"	"1979"	"1979"	"Aug"	"8"	1.53
	"Montana"	"30"	"Beaverhead County, MT"	"30001"	"1979"	"1979"	"Sep"	"9"	0.10
	"Montana"	"30"	"Beaverhead County, MT"	"30001"	"1979"	"1979"	"Oct"	"10"	1.08
	"Montana"	"30"	"Beaverhead County, MT"	"30001"	"1979"	"1979"	"Nov"	"11"	0.83
	"Montana"	"30"	"Beaverhead County, MT"	"30001"	"1979"	"1979"	"Dec"	"12"	0.63
	"Montana"	"30"	"Beaverhead County, MT"	"30001"	"1980"	"1980"	"Jan"	"1"	1.84
	"Montana"	"30"	"Beaverhead County, MT"	"30001"	"1980"	"1980"	"Feb"	"2"	1.59
	"Montana"	"30"	"Beaverhead County, MT"	"30001"	"1980"	"1980"	"Mar"	"3"	1.41
	"Montana"	"30"	"Beaverhead County, MT"	"30001"	"1980"	"1980"	"Apr"	"4"	1.17
	"Montana"	"30"	"Beaverhead County, MT"	"30001"	"1980"	"1980"	"May"	"5"	5.23
	"Montana"	"30"	"Beaverhead County, MT"	"30001"	"1980"	"1980"	"Jun"	"6"	2.29
	"Montana"	"30"	"Beaverhead County, MT"	"30001"	"1980"	"1980"	"Jul"	"7"	1.26
	"Montana"	"30"	"Beaverhead County, MT"	"30001"	"1980"	"1980"	"Aug"	"8"	1.02
	"Montana"	"30"	"Beaverhead County, MT"	"30001"	"1980"	"1980"	"Sep"	"9"	2.34
	"Montana"	"30"	"Beaverhead County, MT"	"30001"	"1980"	"1980"	"Oct"	"10"	0.87
	"Montana"	"30"	"Beaverhead County, MT"	"30001"	"1980"	"1980"	"Nov"	"11"	1.03
	"Montana"	"30"	"Beaverhead County, MT"	"30001"	"1980"	"1980"	"Dec"	"12"	0.92
	"Montana"	"30"	"Beaverhead County, MT"	"30001"	"1981"	"1981"	"Jan"	"1"	0.43
	"Montana"	"30"	"Beaverhead County, MT"	"30001"	"1981"	"1981"	"Feb"	"2"	1.79
	"Montana"	"30"	"Beaverhead County, MT"	"30001"	"1981"	"1981"	"Mar"	"3"	1.35
