"Notes","State","State Code","County","County Code","Year","Year Code","Month","Month Code",Avg Day Land Surface Temperature (C),Avg Night Land Surface Temperature (C)
,"Colorado","08","Adams","08001","2003","2003","Jan","1",15.77,-8.11
,"Colorado","08","Adams","08001","2003","2003","Feb","2",11.72,-11.56
,"Colorado","08","Adams","08001","2003","2003","Mar","3",26.96,-4.53
,"Colorado","08","Adams","08001","2003","2003","Apr","4",32.64,1.02
,"Colorado","08","Adams","08001","2003","2003","May","5",34.44,6.09
,"Colorado","08","Adams","08001","2003","2003","Jun","6",36.28,10.09
,"Colorado","08","Adams","08001","2003","2003","Jul","7",48.29,15.71
,"Colorado","08","Adams","08001","2003","2003","Aug","8",45.01,14.87
,"Colorado","08","Adams","08001","2003","2003","Sep","9",36.19,6.63
,"Colorado","08","Adams","08001","2003","2003","Oct","10",33.01,3.88
,"Colorado","08","Adams","08001","2003","2003","Nov","11",18.18,-5.24
,"Colorado","08","Adams","08001","2003","2003","Dec","12",5.41,-9.18
,"Colorado","08","Adams","08001","2004","2004","Jan","1",10.10,-7.50
,"Colorado","08","Adams","08001","2004","2004","Feb","2",3.79,-10.50
,"Colorado","08","Adams","08001","2004","2004","Mar","3",29.46,-1.59
,"Colorado","08","Adams","08001","2004","2004","Apr","4",31.00,2.66
,"Colorado","08","Adams","08001","2004","2004","May","5",37.05,7.00
,"Colorado","08","Adams","08001","2004","2004","Jun","6",40.41,10.01
,"Colorado","08","Adams","08001","2004","2004","Jul","7",43.29,13.97
,"Colorado","08","Adams","08001","2004","2004","Aug","8",40.48,12.19
,"Colorado","08","Adams","08001","2004","2004","Sep","9",37.29,9.55
,"Colorado","08","Adams","08001","2004","2004","Oct","10",26.38,2.96
,"Colorado","08","Adams","08001","2004","2004","Nov","11",13.81,-3.78
,"Colorado","08","Adams","08001","2004","2004","Dec","12",6.75,-6.97
,"Colorado","08","Adams","08001","2005","2005","Jan","1",8.12,-6.97
,"Colorado","08","Adams","08001","2005","2005","Feb","2",18.20,-6.90
,"Colorado","08","Adams","08001","2005","2005","Mar","3",25.21,-4.39
,"Colorado","08","Adams","08001","2005","2005","Apr","4",27.33,0.48
,"Colorado","08","Adams","08001","2005","2005","May","5",36.24,6.45
,"Colorado","08","Adams","08001","2005","2005","Jun","6",39.15,10.72
,"Colorado","08","Adams","08001","2005","2005","Jul","7",48.76,15.56
,"Colorado","08","Adams","08001","2005","2005","Aug","8",42.98,12.85
,"Colorado","08","Adams","08001","2005","2005","Sep","9",41.63,9.59
,"Colorado","08","Adams","08001","2005","2005","Oct","10",28.00,3.65
,"Colorado","08","Adams","08001","2005","2005","Nov","11",17.34,-4.55
,"Colorado","08","Adams","08001","2005","2005","Dec","12",6.63,-10.61
,"Colorado","08","Adams","08001","2006","2006","Jan","1",13.82,-7.26
,"Colorado","08","Adams","08001","2006","2006","Feb","2",19.53,-9.97
,"Colorado","08","Adams","08001","2006","2006","Mar","3",24.89,-4.81
,"Colorado","08","Adams","08001","2006","2006","Apr","4",35.84,0.46
,"Colorado","08","Adams","08001","2006","2006","May","5",41.02,5.86
,"Colorado","08","Adams","08001","2006","2006","Jun","6",48.04,12.48
,"Colorado","08","Adams","08001","2006","2006","Jul","7",46.35,15.59
,"Colorado","08","Adams","08001","2006","2006","Aug","8",41.81,13.81
,"Colorado","08","Adams","08001","2006","2006","Sep","9",34.98,6.15
,"Colorado","08","Adams","08001","2006","2006","Oct","10",26.04,1.55
,"Colorado","08","Adams","08001","2006","2006","Nov","11",18.69,-4.07
,"Colorado","08","Adams","08001","2006","2006","Dec","12",3.24,-9.12
,"Colorado","08","Adams","08001","2007","2007","Jan","1",-4.41,-14.87
,"Colorado","08","Adams","08001","2007","2007","Feb","2",0.75,-10.83
,"Colorado","08","Adams","08001","2007","2007","Mar","3",23.51,-1.17
,"Colorado","08","Adams","08001","2007","2007","Apr","4",29.45,1.11
,"Colorado","08","Adams","08001","2007","2007","May","5",32.42,7.02
,"Colorado","08","Adams","08001","2007","2007","Jun","6",41.52,11.60
,"Colorado","08","Adams","08001","2007","2007","Jul","7",46.87,16.05
,"Colorado","08","Adams","08001","2007","2007","Aug","8",41.79,15.63
,"Colorado","08","Adams","08001","2007","2007","Sep","9",38.06,10.45
,"Colorado","08","Adams","08001","2007","2007","Oct","10",28.43,3.53
,"Colorado","08","Adams","08001","2007","2007","Nov","11",21.11,-3.71
,"Colorado","08","Adams","08001","2007","2007","Dec","12",-0.46,-12.73
,"Colorado","08","Adams","08001","2008","2008","Jan","1",1.91,-11.86
,"Colorado","08","Adams","08001","2008","2008","Feb","2",13.43,-7.15
,"Colorado","08","Adams","08001","2008","2008","Mar","3",25.29,-4.44
,"Colorado","08","Adams","08001","2008","2008","Apr","4",33.53,-1.37
,"Colorado","08","Adams","08001","2008","2008","May","5",37.25,4.62
,"Colorado","08","Adams","08001","2008","2008","Jun","6",43.89,10.28
,"Colorado","08","Adams","08001","2008","2008","Jul","7",49.65,15.51
,"Colorado","08","Adams","08001","2008","2008","Aug","8",40.78,13.93
,"Colorado","08","Adams","08001","2008","2008","Sep","9",34.36,8.25
,"Colorado","08","Adams","08001","2008","2008","Oct","10",26.49,1.73
