Assessment,Trial,Cycle,Location,Statistic,Value
GY,NRPN,1996,Sidney,Replications,3
GY,NRPN,1996,Sidney,Mean,3856
GY,NRPN,1996,Sidney,CV,726
GY,NRPN,1996,Sidney,LSD(0.05),11.5
GY,NRPN,1996,Hemingford,Replications,3
GY,NRPN,1996,Hemingford,Mean,3982
GY,NRPN,1996,Hemingford,CV,10.6
GY,NRPN,1996,Hemingford,LSD(0.05),691
GY,NRPN,1996,Pierre,Replications,3
GY,NRPN,1996,Pierre,Mean,3354
GY,NRPN,1996,Pierre,CV,26
GY,NRPN,1996,Pierre,LSD(0.05),1424
GY,NRPN,1996,Winner,Replications,3
GY,NRPN,1996,Winner,Mean,3764
GY,NRPN,1996,Winner,LSD(0.05),634
GY,NRPN,1996,Winner,CV,10.4
GY,NRPN,1996,Brookings,Replications,3
GY,NRPN,1996,Hettinger,Replications,3
GY,NRPN,1996,Hettinger,Mean,3748
GY,NRPN,1996,Hettinger,LSD(0.05),898
GY,NRPN,1996,Hettinger,CV,14.7
GY,NRPN,1996,Williston,Replications,4
GY,NRPN,1996,Williston,Mean,1584
GY,NRPN,1996,Williston,LSD(0.05),946
GY,NRPN,1996,Williston,CV,42.2
GY,NRPN,1996,Waseca,Replications,3
GY,NRPN,1996,Waseca,Mean,2772
GY,NRPN,1996,Waseca,LSD(0.05),1748
GY,NRPN,1996,Waseca,CV,38.6
GY,NRPN,1996,Rosemount,Replications,3
GY,NRPN,1996,Rosemount,Mean,3477
GY,NRPN,1996,Rosemount,LSD(0.05),1133
GY,NRPN,1996,Rosemount,CV,19.9
GY,NRPN,1996,SidneyMT,Replications,4
GY,NRPN,1996,SidneyMT,Mean,1937
GY,NRPN,1996,SidneyMT,LSD(0.05),999
GY,NRPN,1996,SidneyMT,CV,36.5
GY,NRPN,1996,Moccasin,Replications,3
GY,NRPN,1996,Moccasin,Mean,2025
GY,NRPN,1996,Moccasin,LSD(0.05),614
GY,NRPN,1996,Moccasin,CV,18.6
GY,NRPN,1996,Bozeman,Replications,3
GY,NRPN,1996,Bozeman,Mean,4860
GY,NRPN,1996,Bozeman,LSD(0.05),512
GY,NRPN,1996,Bozeman,CV,6.4
GY,NRPN,1996,Loma,Replications,4
GY,NRPN,1996,Loma,Mean,2908
GY,NRPN,1996,Loma,LSD(0.05),NA
GY,NRPN,1996,Loma,CV,17.8
GY,NRPN,1996,Lethbridge,Replications,4
GY,NRPN,1996,Lethbridge,Mean,2243
GY,NRPN,1996,Lethbridge,LSD(0.05),318
GY,NRPN,1996,Lethbridge,CV,10
GY,NRPN,1996,Saskatoon,Replications,3
GY,NRPN,1996,Ames,Replications,2
GY,NRPN,1996,Ames,Mean,3794
GY,NRPN,1996,Ames,LSD(0.05),NA
GY,NRPN,1996,Ames,CV,NA
GY,NRPN,1997,Lincoln,Replications,3
GY,NRPN,1997,Lincoln,Mean,2385
GY,NRPN,1997,Lincoln,LSD(0.05),681
GY,NRPN,1997,Lincoln,CV,17.5
GY,NRPN,1997,North Platte,Replications,3
GY,NRPN,1997,North Platte,Mean,3601
GY,NRPN,1997,North Platte,LSD(0.05),744
GY,NRPN,1997,North Platte,CV,12.7
GY,NRPN,1997,Sidney,Replications,3
GY,NRPN,1997,Sidney,Mean,2589
GY,NRPN,1997,Sidney,LSD(0.05),764
GY,NRPN,1997,Sidney,CV,18.1
GY,NRPN,1997,Hemingford,Replications,3
GY,NRPN,1997,Hemingford,Mean,2645
GY,NRPN,1997,Hemingford,LSD(0.05),638
GY,NRPN,1997,Hemingford,CV,14.8
GY,NRPN,1997,Brookings,Replications,2
GY,NRPN,1997,Brookings,Mean,4858
GY,NRPN,1997,Brookings,LSD(0.05),935
GY,NRPN,1997,Brookings,CV,9.5
GY,NRPN,1997,Pierre,Replications,3
GY,NRPN,1997,Pierre,Mean,2033
GY,NRPN,1997,Pierre,LSD(0.05),1067
GY,NRPN,1997,Pierre,CV,32.1
GY,NRPN,1997,Winner,Replications,3
GY,NRPN,1997,Winner,Mean,1767
GY,NRPN,1997,Winner,LSD(0.05),348
GY,NRPN,1997,Winner,CV,12
