"","row","col","yield"
"1",20,1,185
"2",19,1,169
"3",18,1,216
"4",17,1,165
"5",16,1,133
"6",15,1,195
"7",14,1,187
"8",13,1,157
"9",12,1,189
"10",11,1,147
"11",10,1,124
"12",9,1,170
"13",8,1,189
"14",7,1,99
"15",6,1,179
"16",5,1,115
"17",4,1,122
"18",3,1,164
"19",2,1,103
"20",1,1,121
"21",20,2,162
"22",19,2,205
"23",18,2,154
"24",17,2,157
"25",16,2,128
"26",15,2,180
"27",14,2,174
"28",13,2,182
"29",12,2,108
"30",11,2,178
"31",10,2,130
"32",9,2,140
"33",8,2,194
"34",7,2,118
"35",6,2,172
"36",5,2,148
"37",4,2,163
"38",3,2,142
"39",2,2,131
"40",1,2,154
"41",20,3,136
"42",19,3,129
"43",18,3,184
"44",17,3,180
"45",16,3,161
"46",15,3,158
"47",14,3,172
"48",13,3,209
"49",12,3,188
"50",11,3,189
"51",10,3,112
"52",9,3,156
"53",8,3,146
"54",7,3,150
"55",6,3,192
"56",5,3,195
"57",4,3,144
"58",3,3,155
"59",2,3,180
"60",1,3,148
"61",20,4,157
"62",19,4,117
"63",18,4,203
"64",17,4,165
"65",16,4,160
"66",15,4,139
"67",14,4,191
"68",13,4,136
"69",12,4,149
"70",11,4,141
"71",10,4,122
"72",9,4,199
"73",8,4,22
"74",7,4,151
"75",6,4,171
"76",5,4,154
"77",4,4,147
"78",3,4,147
"79",2,4,142
"80",1,4,91
"81",20,5,141
"82",19,5,144
"83",18,5,166
"84",17,5,127
"85",16,5,167
"86",15,5,139
"87",14,5,155
"88",13,5,153
"89",12,5,178
"90",11,5,173
"91",10,5,192
"92",9,5,181
"93",8,5,160
"94",7,5,83
"95",6,5,151
"96",5,5,149
"97",4,5,123
"98",3,5,115
"99",2,5,191
"100",1,5,93
"101",20,6,130
"102",19,6,125
"103",18,6,155
"104",17,6,186
"105",16,6,156
"106",15,6,168
"107",14,6,169
"108",13,6,160
"109",12,6,171
"110",11,6,187
"111",10,6,155
"112",9,6,181
"113",8,6,107
"114",7,6,136
"115",6,6,142
"116",5,6,139
"117",4,6,160
"118",3,6,143
"119",2,6,175
"120",1,6,74
"121",20,7,129
"122",19,7,165
"123",18,7,215
"124",17,7,133
"125",16,7,125
"126",15,7,145
"127",14,7,139
"128",13,7,142
"129",12,7,151
"130",11,7,167
"131",10,7,196
"132",9,7,150
"133",8,7,70
"134",7,7,171
"135",6,7,193
"136",5,7,163
"137",4,7,137
"138",3,7,68
"139",2,7,146
"140",1,7,113
"141",20,8,176
"142",19,8,170
"143",18,8,190
"144",17,8,170
"145",16,8,162
"146",15,8,166
"147",14,8,144
"148",13,8,179
"149",12,8,192
"150",11,8,128
"151",10,8,179
"152",9,8,184
"153",8,8,84
"154",7,8,191
"155",6,8,174
"156",5,8,118
"157",4,8,161
"158",3,8,184
"159",2,8,181
"160",1,8,79
"161",20,9,171
"162",19,9,153
"163",18,9,164
"164",17,9,134
"165",16,9,128
"166",15,9,118
"167",14,9,130
"168",13,9,125
"169",12,9,127
"170",11,9,139
"171",10,9,166
"172",9,9,154
"173",8,9,112
"174",7,9,155
"175",6,9,146
"176",5,9,126
"177",4,9,122
"178",3,9,183
"179",2,9,111
"180",1,9,131
"181",20,10,190
"182",19,10,186
"183",18,10,204
"184",17,10,177
"185",16,10,103
"186",15,10,171
"187",14,10,146
"188",13,10,149
"189",12,10,148
"190",11,10,152
"191",10,10,156
"192",9,10,200
"193",8,10,162
"194",7,10,164
"195",6,10,180
"196",5,10,127
"197",4,10,101
"198",3,10,167
