#Longitude,Latitude,Field,Dataset,Product,Obj. Id,Distance(ft),Swth Wdth(ft),Yld Vol(Dry)(bu/ac),Mark ID,Yld Mass(Wet)(lb/ac),Moisture(%),Desc,Hding Veh(deg)
Longitude,Latitude,Field,Dataset,Product,ObjId,Distance,Swath,Yield,MarkID,YldMassWet,Moisture,Desc,Heading
-97.59965562,44.09575473,Stevens Middle,Stevens Middle-Soybeans,VarA,1,3.502,5.733,61.77,460,3706.8,0.00,9/27/2014 8:38:04 PM,70.85
-97.59964881,44.09573979,Stevens Middle,Stevens Middle-Soybeans,VarA,2,3.502,5.733,61.77,461,3706.8,0.00,9/27/2014 8:38:04 PM,70.85
-97.59964201,44.09572484,Stevens Middle,Stevens Middle-Soybeans,VarA,3,3.502,5.733,61.77,462,3706.8,0.00,9/27/2014 8:38:04 PM,70.85
-97.59963520,44.09570989,Stevens Middle,Stevens Middle-Soybeans,VarA,4,3.502,5.733,61.77,463,3706.8,0.00,9/27/2014 8:38:04 PM,70.85
-97.59962839,44.09569495,Stevens Middle,Stevens Middle-Soybeans,VarA,5,3.502,5.733,61.77,464,3706.8,0.00,9/27/2014 8:38:04 PM,70.85
-97.59962158,44.09568000,Stevens Middle,Stevens Middle-Soybeans,VarA,6,3.502,5.733,61.77,465,3706.8,0.00,9/27/2014 8:38:04 PM,70.85
-97.59963803,44.09575610,Stevens Middle,Stevens Middle-Soybeans,VarA,7,3.469,5.733,70.94,460,4256.9,0.00,9/27/2014 8:38:05 PM,75.68
-97.59963300,44.09574079,Stevens Middle,Stevens Middle-Soybeans,VarA,8,3.469,5.733,70.94,461,4256.9,0.00,9/27/2014 8:38:05 PM,75.68
-97.59962796,44.09572548,Stevens Middle,Stevens Middle-Soybeans,VarA,9,3.469,5.733,70.94,462,4256.9,0.00,9/27/2014 8:38:05 PM,75.68
-97.59962292,44.09571018,Stevens Middle,Stevens Middle-Soybeans,VarA,10,3.469,5.733,70.94,463,4256.9,0.00,9/27/2014 8:38:05 PM,75.68
-97.59961789,44.09569487,Stevens Middle,Stevens Middle-Soybeans,VarA,11,3.469,5.733,70.94,464,4256.9,0.00,9/27/2014 8:38:05 PM,75.68
-97.59961285,44.09567956,Stevens Middle,Stevens Middle-Soybeans,VarA,12,3.469,5.733,70.94,465,4256.9,0.00,9/27/2014 8:38:05 PM,75.68
-97.59962178,44.09575673,Stevens Middle,Stevens Middle-Soybeans,VarA,13,3.338,5.733,70.94,460,4257.0,0.00,9/27/2014 8:38:06 PM,79.46
-97.59961815,44.09574122,Stevens Middle,Stevens Middle-Soybeans,VarA,14,3.338,5.733,70.94,461,4257.0,0.00,9/27/2014 8:38:06 PM,79.46
-97.59961453,44.09572570,Stevens Middle,Stevens Middle-Soybeans,VarA,15,3.338,5.733,70.94,462,4257.0,0.00,9/27/2014 8:38:06 PM,79.46
-97.59961090,44.09571019,Stevens Middle,Stevens Middle-Soybeans,VarA,16,3.338,5.733,70.94,463,4257.0,0.00,9/27/2014 8:38:06 PM,79.46
-97.59960727,44.09569468,Stevens Middle,Stevens Middle-Soybeans,VarA,17,3.338,5.733,70.94,464,4257.0,0.00,9/27/2014 8:38:06 PM,79.46
-97.59960365,44.09567917,Stevens Middle,Stevens Middle-Soybeans,VarA,18,3.338,5.733,70.94,465,4257.0,0.00,9/27/2014 8:38:06 PM,79.46
-97.59960518,44.09575667,Stevens Middle,Stevens Middle-Soybeans,VarA,19,3.404,5.733,76.68,460,4601.4,0.00,9/27/2014 8:38:08 PM,83.31
-97.59960301,44.09574102,Stevens Middle,Stevens Middle-Soybeans,VarA,20,3.404,5.733,76.68,461,4601.4,0.00,9/27/2014 8:38:08 PM,83.31
-97.59960084,44.09572537,Stevens Middle,Stevens Middle-Soybeans,VarA,21,3.404,5.733,76.68,462,4601.4,0.00,9/27/2014 8:38:08 PM,83.31
-97.59959866,44.09570971,Stevens Middle,Stevens Middle-Soybeans,VarA,22,3.404,5.733,76.68,463,4601.4,0.00,9/27/2014 8:38:08 PM,83.31
-97.59959649,44.09569406,Stevens Middle,Stevens Middle-Soybeans,VarA,23,3.404,5.733,76.68,464,4601.4,0.00,9/27/2014 8:38:08 PM,83.31
-97.59959432,44.09567841,Stevens Middle,Stevens Middle-Soybeans,VarA,24,3.404,5.733,76.68,465,4601.4,0.00,9/27/2014 8:38:08 PM,83.31
-97.59958890,44.09575594,Stevens Middle,Stevens Middle-Soybeans,VarA,25,3.404,5.733,75.86,460,4552.2,0.00,9/27/2014 8:38:08 PM,86.85
-97.59958808,44.09574022,Stevens Middle,Stevens Middle-Soybeans,VarA,26,3.404,5.733,75.86,461,4552.2,0.00,9/27/2014 8:38:08 PM,86.85
-97.59958725,44.09572450,Stevens Middle,Stevens Middle-Soybeans,VarA,27,3.404,5.733,75.86,462,4552.2,0.00,9/27/2014 8:38:08 PM,86.85
-97.59958642,44.09570878,Stevens Middle,Stevens Middle-Soybeans,VarA,28,3.404,5.733,75.86,463,4552.2,0.00,9/27/2014 8:38:08 PM,86.85
-97.59958560,44.09569306,Stevens Middle,Stevens Middle-Soybeans,VarA,29,3.404,5.733,75.86,464,4552.2,0.00,9/27/2014 8:38:08 PM,86.85
-97.59958477,44.09567734,Stevens Middle,Stevens Middle-Soybeans,VarA,30,3.404,5.733,75.86,465,4552.2,0.00,9/27/2014 8:38:08 PM,86.85
-97.59957416,44.09575545,Stevens Middle,Stevens Middle-Soybeans,VarA,31,3.371,5.733,79.49,460,4770.4,0.00,9/27/2014 8:38:09 PM,88.82
