row,whitenoise,randomwalk,autoregressive,movingaverage,trenderror,index
1,-0.445778265,0,0,-0.445778265,-1.060345741,1
2,-1.205856569,-1.205856569,-1.205856569,-1.562479181,-2.066120329,2
3,0.041126314,-1.164730255,-0.923558941,-0.923558941,-1.064786281,3
4,0.639388408,-0.525341848,-0.099458745,0.672289459,-0.711649427,4
5,-0.786554356,-1.311896203,-0.866121352,-0.27504363,-2.38173509,5
6,-0.385489298,-1.697385502,-1.07838638,-1.014732783,-2.223389024,6
7,-0.475867884,-2.173253386,-1.338576988,-0.784259323,-2.554638081,7
8,0.719750691,-1.453502694,-0.351110899,0.339056384,-1.597633576,8
9,-0.018505623,-1.472008317,-0.299394342,0.55729493,-2.571856189,9
10,-1.373117759,-2.845126076,-1.612633233,-1.387922257,-4.159411766,10
11,-0.982427828,-3.827553904,-2.272534414,-2.080922035,-3.998283399,11
12,-0.554488702,-4.382042605,-2.372516233,-1.340430964,-3.79618078,12
13,0.121381189,-4.260661417,-1.776631797,-0.322209773,-3.34209478,13
14,-0.120872316,-4.381533733,-1.542177754,-0.023767365,-3.801767392,14
15,-1.336041049,-5.717574781,-2.569783252,-1.432738901,-5.229693458,15
16,0.170057481,-5.5475173,-1.88576912,-0.898775358,-3.931408447,16
17,0.155078716,-5.392438584,-1.35353658,0.291124701,-4.148989602,17
18,0.024931867,-5.367506717,-1.057897397,0.14899484,-4.476274902,18
19,-2.046585414,-7.414092131,-2.892903331,-2.02663992,-6.739228172,19
20,0.213154106,-7.200938025,-2.10116856,-1.424114226,-4.664997712,20
21,2.670071664,-4.530866361,0.989136817,2.840594949,-2.387451652,21
22,-1.227016006,-5.757882367,-0.435706553,0.909041325,-6.457576247,22
23,0.834247332,-4.923635035,0.48568209,-0.147365473,-4.562831634,23
24,0.532571747,-4.391063288,0.921117419,1.199969613,-5.024337291,24
25,-0.646824963,-5.037888251,0.090068972,-0.220767566,-6.35671791,25
26,0.603161261,-4.43472699,0.675216438,0.08570129,-5.252724646,26
27,-1.783844136,-6.218571126,-1.243670985,-1.301315127,-7.778599769,27
28,0.334942167,-5.883628959,-0.659994621,-1.092133141,-5.791439952,28
29,0.560975722,-5.322653237,0.032980025,0.828929456,-5.68968169,29
30,1.220935655,-4.101717582,1.247319675,1.669716232,-5.14654974,30
31,-0.211453588,-4.31317117,0.786402152,0.765294936,-6.688235143,31
