#Longitude,Latitude,Field,Dataset,Product,Obj. Id,Distance(ft),Swth Wdth(ft),Yld Vol(Dry)(bu/ac),Mark ID,Yld Mass(Wet)(lb/ac),Moisture(%),Desc,Hding Veh(deg)
Longitude,Latitude,Field,Dataset,Product,ObjId,Distance,Swath,Yield,MarkID,YldMassWet,Moisture,Desc,Heading
-97.59136654,44.09555719,Stevens East,Stevens East-Corn,c,1,2.096,5.000,243.57,111,13911,16.66,10/12/2015 4:45:12 PM,354.82
-97.59134755,44.09555819,Stevens East,Stevens East-Corn,A,2,2.096,5.000,243.57,112,13911,16.66,10/12/2015 4:45:12 PM,354.82
-97.59132857,44.09555920,Stevens East,Stevens East-Corn,A,3,2.096,5.000,243.57,113,13911,16.66,10/12/2015 4:45:12 PM,354.82
-97.59130958,44.09556020,Stevens East,Stevens East-Corn,A,4,2.096,5.000,243.57,114,13911,16.66,10/12/2015 4:45:12 PM,354.82
-97.59129060,44.09556121,Stevens East,Stevens East-Corn,A,5,2.096,5.000,243.57,115,13911,16.66,10/12/2015 4:45:12 PM,354.82
-97.59127161,44.09556221,Stevens East,Stevens East-Corn,A,6,2.096,5.000,243.57,116,13911,16.66,10/12/2015 4:45:12 PM,354.82
-97.59136737,44.09556415,Stevens East,Stevens East-Corn,A,7,2.424,5.000,244.60,111,13970,16.66,10/12/2015 4:45:13 PM,355.45
-97.59134837,44.09556500,Stevens East,Stevens East-Corn,A,8,2.424,5.000,244.60,112,13970,16.66,10/12/2015 4:45:13 PM,355.45
-97.59132937,44.09556586,Stevens East,Stevens East-Corn,A,9,2.424,5.000,244.60,113,13970,16.66,10/12/2015 4:45:13 PM,355.45
-97.59131037,44.09556671,Stevens East,Stevens East-Corn,A,10,2.424,5.000,244.60,114,13970,16.66,10/12/2015 4:45:13 PM,355.45
-97.59129137,44.09556757,Stevens East,Stevens East-Corn,A,11,2.424,5.000,244.60,115,13970,16.66,10/12/2015 4:45:13 PM,355.45
-97.59127237,44.09556842,Stevens East,Stevens East-Corn,A,12,2.424,5.000,244.60,116,13970,16.66,10/12/2015 4:45:13 PM,355.45
-97.59136791,44.09557479,Stevens East,Stevens East-Corn,A,13,3.441,5.000,213.35,111,12185,16.66,10/12/2015 4:45:13 PM,357.51
-97.59134888,44.09557515,Stevens East,Stevens East-Corn,A,14,3.441,5.000,213.35,112,12185,16.66,10/12/2015 4:45:13 PM,357.51
-97.59132985,44.09557551,Stevens East,Stevens East-Corn,A,15,3.441,5.000,213.35,113,12185,16.66,10/12/2015 4:45:13 PM,357.51
-97.59131082,44.09557588,Stevens East,Stevens East-Corn,A,16,3.441,5.000,213.35,114,12185,16.66,10/12/2015 4:45:13 PM,357.51
-97.59129179,44.09557624,Stevens East,Stevens East-Corn,A,17,3.441,5.000,213.35,115,12185,16.66,10/12/2015 4:45:13 PM,357.51
-97.59127276,44.09557660,Stevens East,Stevens East-Corn,A,18,3.441,5.000,213.35,116,12185,16.66,10/12/2015 4:45:13 PM,357.51
-97.59136787,44.09558813,Stevens East,Stevens East-Corn,A,19,4.459,5.000,167.83,111,9585.0,16.66,10/12/2015 4:45:15 PM,359.33
-97.59134883,44.09558806,Stevens East,Stevens East-Corn,A,20,4.459,5.000,167.83,112,9585.0,16.66,10/12/2015 4:45:15 PM,359.33
-97.59132980,44.09558798,Stevens East,Stevens East-Corn,A,21,4.459,5.000,167.83,113,9585.0,16.66,10/12/2015 4:45:15 PM,359.33
-97.59131076,44.09558791,Stevens East,Stevens East-Corn,A,22,4.459,5.000,167.83,114,9585.0,16.66,10/12/2015 4:45:15 PM,359.33
-97.59129172,44.09558783,Stevens East,Stevens East-Corn,A,23,4.459,5.000,167.83,115,9585.0,16.66,10/12/2015 4:45:15 PM,359.33
-97.59127269,44.09558776,Stevens East,Stevens East-Corn,A,24,4.459,5.000,167.83,116,9585.0,16.66,10/12/2015 4:45:15 PM,359.33
-97.59136810,44.09559971,Stevens East,Stevens East-Corn,A,25,4.163,5.000,193.06,111,11026,16.66,10/12/2015 4:45:16 PM,359.54
-97.59134907,44.09559959,Stevens East,Stevens East-Corn,A,26,4.163,5.000,193.06,112,11026,16.66,10/12/2015 4:45:16 PM,359.54
-97.59133003,44.09559946,Stevens East,Stevens East-Corn,A,27,4.163,5.000,193.06,113,11026,16.66,10/12/2015 4:45:16 PM,359.54
-97.59131100,44.09559934,Stevens East,Stevens East-Corn,A,28,4.163,5.000,193.06,114,11026,16.66,10/12/2015 4:45:16 PM,359.54
-97.59129196,44.09559921,Stevens East,Stevens East-Corn,A,29,4.163,5.000,193.06,115,11026,16.66,10/12/2015 4:45:16 PM,359.54
-97.59127293,44.09559909,Stevens East,Stevens East-Corn,A,30,4.163,5.000,193.06,116,11026,16.66,10/12/2015 4:45:16 PM,359.54
-97.59136807,44.09561138,Stevens East,Stevens East-Corn,A,31,4.327,5.000,173.82,111,9927.5,16.66,10/12/2015 4:45:17 PM,359.19
-97.59134904,44.09561134,Stevens East,Stevens East-Corn,A,32,4.327,5.000,173.82,112,9927.5,16.66,10/12/2015 4:45:17 PM,359.19
