#Longitude,Latitude,Field,Dataset,Product,Obj. Id,Distance(ft),Swth Wdth(ft),Yld Vol(Dry)(bu/ac),Obj. Id,Yld Mass(Wet)(lb/ac),Moisture(%),Hding Veh(deg)
Longitude,Latitude,Field,Dataset,Product,ObjId,Distance,Swath,Yield,ObjId,YldMass,Moisture,Hding
-97.59136654,44.09555719,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,1,2.096,5.000,243.57,1,13911,16.66,354.82
-97.59134755,44.09555819,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,2,2.096,5.000,243.57,2,13911,16.66,354.82
-97.59132857,44.09555920,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,3,2.096,5.000,243.57,3,13911,16.66,354.82
-97.59130958,44.09556020,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,4,2.096,5.000,243.57,4,13911,16.66,354.82
-97.59129060,44.09556121,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,5,2.096,5.000,243.57,5,13911,16.66,354.82
-97.59127161,44.09556221,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,6,2.096,5.000,243.57,6,13911,16.66,354.82
-97.59136737,44.09556415,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,7,2.424,5.000,244.60,7,13970,16.66,355.45
-97.59134837,44.09556500,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,8,2.424,5.000,244.60,8,13970,16.66,355.45
-97.59132937,44.09556586,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,9,2.424,5.000,244.60,9,13970,16.66,355.45
-97.59131037,44.09556671,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,10,2.424,5.000,244.60,10,13970,16.66,355.45
-97.59129137,44.09556757,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,11,2.424,5.000,244.60,11,13970,16.66,355.45
-97.59127237,44.09556842,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,12,2.424,5.000,244.60,12,13970,16.66,355.45
-97.59136791,44.09557479,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,13,3.441,5.000,213.35,13,12185,16.66,357.51
-97.59134888,44.09557515,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,14,3.441,5.000,213.35,14,12185,16.66,357.51
-97.59132985,44.09557551,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,15,3.441,5.000,213.35,15,12185,16.66,357.51
-97.59131082,44.09557588,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,16,3.441,5.000,213.35,16,12185,16.66,357.51
-97.59129179,44.09557624,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,17,3.441,5.000,213.35,17,12185,16.66,357.51
-97.59127276,44.09557660,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,18,3.441,5.000,213.35,18,12185,16.66,357.51
-97.59136787,44.09558813,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,19,4.459,5.000,167.83,19,9585.0,16.66,359.33
-97.59134883,44.09558806,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,20,4.459,5.000,167.83,20,9585.0,16.66,359.33
-97.59132980,44.09558798,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,21,4.459,5.000,167.83,21,9585.0,16.66,359.33
-97.59131076,44.09558791,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,22,4.459,5.000,167.83,22,9585.0,16.66,359.33
-97.59129172,44.09558783,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,23,4.459,5.000,167.83,23,9585.0,16.66,359.33
-97.59127269,44.09558776,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,24,4.459,5.000,167.83,24,9585.0,16.66,359.33
-97.59136810,44.09559971,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,25,4.163,5.000,193.06,25,11026,16.66,359.54
-97.59134907,44.09559959,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,26,4.163,5.000,193.06,26,11026,16.66,359.54
-97.59133003,44.09559946,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,27,4.163,5.000,193.06,27,11026,16.66,359.54
-97.59131100,44.09559934,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,28,4.163,5.000,193.06,28,11026,16.66,359.54
-97.59129196,44.09559921,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,29,4.163,5.000,193.06,29,11026,16.66,359.54
-97.59127293,44.09559909,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,30,4.163,5.000,193.06,30,11026,16.66,359.54
-97.59136807,44.09561138,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,31,4.327,5.000,173.82,31,9927.5,16.66,359.19
-97.59134904,44.09561134,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,32,4.327,5.000,173.82,32,9927.5,16.66,359.19
-97.59133000,44.09561129,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,33,4.327,5.000,173.82,33,9927.5,16.66,359.19
-97.59131097,44.09561125,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,34,4.327,5.000,173.82,34,9927.5,16.66,359.19
-97.59129193,44.09561121,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,35,4.327,5.000,173.82,35,9927.5,16.66,359.19
-97.59127289,44.09561117,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,36,4.327,5.000,173.82,36,9927.5,16.66,359.19
-97.59136765,44.09562387,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,37,4.327,5.000,202.32,37,11555,16.66,0.211
-97.59134861,44.09562359,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,38,4.327,5.000,202.32,38,11555,16.66,0.211
-97.59132958,44.09562330,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,39,4.327,5.000,202.32,39,11555,16.66,0.211
-97.59131055,44.09562302,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,40,4.327,5.000,202.32,40,11555,16.66,0.211
-97.59129152,44.09562273,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,41,4.327,5.000,202.32,41,11555,16.66,0.211
-97.59127249,44.09562245,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,42,4.327,5.000,202.32,42,11555,16.66,0.211
-97.59136761,44.09563676,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,43,4.721,5.000,186.51,43,10652,16.66,0.091
-97.59134858,44.09563650,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,44,4.721,5.000,186.51,44,10652,16.66,0.091
-97.59132954,44.09563625,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,45,4.721,5.000,186.51,45,10652,16.66,0.091
-97.59131051,44.09563599,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,46,4.721,5.000,186.51,46,10652,16.66,0.091
-97.59129148,44.09563573,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,47,4.721,5.000,186.51,47,10652,16.66,0.091
-97.59127244,44.09563548,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,48,4.721,5.000,186.51,48,10652,16.66,0.091
-97.59136811,44.09564910,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,49,4.590,5.000,222.74,49,12721,16.66,359.61
-97.59134908,44.09564896,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,50,4.590,5.000,222.74,50,12721,16.66,359.61
-97.59133004,44.09564881,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,51,4.590,5.000,222.74,51,12721,16.66,359.61
-97.59131101,44.09564867,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,52,4.590,5.000,222.74,52,12721,16.66,359.61
-97.59129197,44.09564853,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,53,4.590,5.000,222.74,53,12721,16.66,359.61
-97.59127294,44.09564839,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,54,4.590,5.000,222.74,54,12721,16.66,359.61
-97.59136900,44.09566225,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,55,5.049,5.000,172.62,55,9858.7,16.66,358.47
-97.59134996,44.09566238,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,56,5.049,5.000,172.62,56,9858.7,16.66,358.47
-97.59133093,44.09566251,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,57,5.049,5.000,172.62,57,9858.7,16.66,358.47
-97.59131189,44.09566264,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,58,5.049,5.000,172.62,58,9858.7,16.66,358.47
-97.59129286,44.09566277,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,59,5.049,5.000,172.62,59,9858.7,16.66,358.47
-97.59127382,44.09566291,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,60,5.049,5.000,172.62,60,9858.7,16.66,358.47
-97.59136916,44.09567600,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,61,4.951,5.000,165.97,61,9479.2,16.66,358.77
-97.59135013,44.09567606,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,62,4.951,5.000,165.97,62,9479.2,16.66,358.77
-97.59133109,44.09567612,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,63,4.951,5.000,165.97,63,9479.2,16.66,358.77
