Longitude,Latitude,GrainMassFlow,GPSTime,CycleDuration,TravelSpeed,SwathWidth,GrainMoisture,Header,Pass,Field,Load,LoadNumber,Crop,GPSStatus,PDOP,Altitude
-85.166942,40.271475,0.00,134687,1,0,15,0.0,Up,1,0,End Rows,1,Corn,2,2.0,294
-85.166942,40.271475,0.00,134688,1,0,15,0.0,Up,1,0,End Rows,1,Corn,2,2.0,294
-85.166942,40.271473,0.00,134689,1,0,15,0.0,Up,1,0,End Rows,1,Corn,2,2.0,294
-85.166942,40.271475,0.00,134690,1,0,15,0.0,Up,1,0,End Rows,1,Corn,2,2.0,294
-85.166942,40.271475,0.00,134691,1,0,15,0.0,Up,1,0,End Rows,1,Corn,2,2.0,294
-85.166942,40.271475,0.00,134692,1,0,15,0.0,Up,1,0,End Rows,1,Corn,2,2.0,294
-85.166943,40.271475,0.00,134693,1,0,15,0.0,Up,1,0,End Rows,1,Corn,2,2.0,294
-85.166943,40.271475,0.00,134694,1,0,15,0.0,Up,1,0,End Rows,1,Corn,2,2.0,294
-85.166943,40.271475,0.00,134695,1,0,15,0.0,Up,1,0,End Rows,1,Corn,2,2.0,294
-85.166943,40.271475,0.00,134698,1,0,15,0.0,Up,1,0,End Rows,1,Corn,2,2.0,294
-85.166943,40.271475,0.00,134699,1,0,15,0.0,Up,1,0,End Rows,1,Corn,2,2.0,295
-85.166943,40.271475,0.00,134700,1,0,15,0.0,Up,1,0,End Rows,1,Corn,2,2.0,295
-85.166945,40.271475,0.00,134701,1,0,15,0.0,Up,1,0,End Rows,1,Corn,2,2.0,295
-85.166942,40.271475,0.00,134702,1,0,15,0.0,Up,1,0,End Rows,1,Corn,2,2.0,295
-85.166938,40.271477,0.00,134703,1,0,15,0.0,Up,1,0,End Rows,1,Corn,2,2.0,295
-85.166933,40.271477,0.00,134704,1,19,15,0.0,Down,1,0,End Rows,1,Corn,2,2.0,295
-85.166923,40.271477,0.00,134705,1,26,15,0.0,Down,1,0,End Rows,1,Corn,2,2.0,295
-85.166915,40.271478,0.00,134706,1,32,15,0.0,Down,1,0,End Rows,1,Corn,2,2.0,295
-85.166902,40.271478,0.00,134707,1,40,15,0.0,Down,1,0,End Rows,1,Corn,2,2.0,295
-85.166888,40.271480,0.00,134708,1,43,15,0.0,Down,1,0,End Rows,1,Corn,2,2.0,295
-85.166875,40.271480,0.00,134709,1,44,15,0.0,Down,1,0,End Rows,1,Corn,2,2.0,295
-85.166863,40.271482,0.00,134710,1,44,15,0.0,Down,1,0,End Rows,1,Corn,2,2.0,295
-85.166852,40.271482,0.00,134711,1,43,15,0.0,Down,1,0,End Rows,1,Corn,2,2.0,295
-85.166840,40.271482,0.00,134712,1,44,15,0.0,Down,1,0,End Rows,1,Corn,2,2.0,295
-85.166827,40.271482,0.00,134713,1,44,15,0.0,Down,1,0,End Rows,1,Corn,2,2.0,295
-85.166813,40.271482,0.00,134714,1,44,15,0.0,Down,1,0,End Rows,1,Corn,2,2.0,295
-85.166802,40.271482,0.00,134715,1,44,15,0.0,Down,1,0,End Rows,1,Corn,2,2.0,295
-85.166790,40.271483,0.47,134716,1,44,15,0.0,Down,1,0,End Rows,1,Corn,2,2.0,295
-85.166778,40.271482,1.57,134717,1,43,15,15.9,Down,1,0,End Rows,1,Corn,2,2.0,295
-85.166767,40.271480,3.02,134718,1,42,15,15.6,Down,1,0,End Rows,1,Corn,2,2.0,296
-85.166755,40.271482,4.37,134719,1,42,15,15.8,Down,1,0,End Rows,1,Corn,2,2.0,296
-85.166742,40.271482,5.52,134720,1,42,15,16.0,Down,1,0,End Rows,1,Corn,2,2.0,296
-85.166730,40.271482,7.41,134721,1,43,15,15.7,Down,1,0,End Rows,1,Corn,2,2.0,296
-85.166718,40.271480,7.20,134722,1,43,15,15.3,Down,1,0,End Rows,1,Corn,2,2.0,296
-85.166705,40.271482,7.23,134723,1,43,15,15.4,Down,1,0,End Rows,1,Corn,2,2.0,296
-85.166692,40.271480,6.68,134724,1,43,15,15.8,Down,1,0,End Rows,1,Corn,2,2.0,296
-85.166680,40.271482,7.65,134725,1,44,15,15.6,Down,1,0,End Rows,1,Corn,2,2.0,296
-85.166668,40.271482,9.07,134726,1,43,15,15.4,Down,1,0,End Rows,1,Corn,2,2.0,296
-85.166655,40.271482,8.32,134727,1,45,15,15.6,Down,1,0,End Rows,1,Corn,2,2.0,296
-85.166642,40.271482,8.30,134728,1,44,15,15.7,Down,1,0,End Rows,1,Corn,2,2.0,296
-85.166630,40.271482,7.86,134729,1,43,15,15.5,Down,1,0,End Rows,1,Corn,2,2.0,296
-85.166617,40.271482,5.92,134730,1,44,15,15.7,Down,1,0,End Rows,1,Corn,2,2.0,296
-85.166603,40.271482,5.88,134731,1,45,15,15.8,Down,1,0,End Rows,1,Corn,2,2.0,296
-85.166590,40.271482,6.12,134732,1,45,15,15.5,Down,1,0,End Rows,1,Corn,2,2.0,296
-85.166575,40.271482,8.24,134733,1,48,15,15.9,Down,1,0,End Rows,1,Corn,2,2.0,296
-85.166560,40.271480,7.04,134734,1,48,15,15.6,Down,1,0,End Rows,1,Corn,2,2.0,296
-85.166545,40.271480,8.28,134735,1,49,15,15.5,Down,1,0,End Rows,1,Corn,2,2.0,296
-85.166532,40.271482,9.95,134736,1,49,15,15.7,Down,1,0,End Rows,1,Corn,2,2.0,296
-85.166517,40.271480,9.69,134737,1,48,15,15.6,Down,1,0,End Rows,1,Corn,2,2.0,296
-85.166502,40.271480,9.94,134738,1,49,15,15.4,Down,1,0,End Rows,1,Corn,2,2.0,296
-85.166488,40.271480,9.05,134739,1,49,15,15.6,Down,1,0,End Rows,1,Corn,2,2.0,297
-85.166473,40.271480,8.53,134740,1,49,15,15.6,Down,1,0,End Rows,1,Corn,2,2.0,297
-85.166458,40.271480,8.14,134741,1,50,15,15.6,Down,1,0,End Rows,1,Corn,2,2.0,297
-85.166442,40.271480,8.84,134742,1,51,15,15.3,Down,1,0,End Rows,1,Corn,2,2.0,297
-85.166425,40.271480,8.43,134743,1,51,15,15.2,Down,1,0,End Rows,1,Corn,2,2.0,297
-85.166412,40.271480,8.09,134744,1,52,15,15.5,Down,1,0,End Rows,1,Corn,2,2.0,297
-85.166397,40.271480,9.21,134745,1,51,15,15.6,Down,1,0,End Rows,1,Corn,2,2.0,297
-85.166382,40.271478,9.30,134746,1,52,15,15.7,Down,1,0,End Rows,1,Corn,2,2.0,297
-85.166365,40.271480,10.35,134747,1,51,15,15.6,Down,1,0,End Rows,1,Corn,2,2.0,297
-85.166352,40.271480,10.81,134748,1,51,15,15.8,Down,1,0,End Rows,1,Corn,2,2.0,297
-85.166335,40.271480,10.82,134749,1,51,15,16.0,Down,1,0,End Rows,1,Corn,2,2.0,297
-85.166320,40.271480,11.71,134750,1,52,15,15.7,Down,1,0,End Rows,1,Corn,2,2.0,297
-85.166305,40.271482,11.08,134751,1,53,15,16.3,Down,1,0,End Rows,1,Corn,2,2.0,297
-85.166290,40.271482,11.51,134752,1,52,15,16.0,Down,1,0,End Rows,1,Corn,2,2.0,297
-85.166275,40.271482,11.58,134753,1,52,15,16.3,Down,1,0,End Rows,1,Corn,2,2.0,297
-85.166260,40.271482,11.66,134754,1,52,15,15.8,Down,1,0,End Rows,1,Corn,2,2.0,297
-85.166245,40.271480,11.96,134755,1,51,15,15.8,Down,1,0,End Rows,1,Corn,2,2.0,297
-85.166230,40.271482,12.17,134756,1,51,15,15.7,Down,1,0,End Rows,1,Corn,2,2.0,297
-85.166215,40.271482,12.71,134757,1,52,15,16.0,Down,1,0,End Rows,1,Corn,2,2.0,297
-85.166200,40.271482,13.47,134758,1,51,15,16.1,Down,1,0,End Rows,1,Corn,2,2.0,297
-85.166183,40.271482,14.56,134759,1,52,15,16.0,Down,1,0,End Rows,1,Corn,2,2.0,297
-85.166168,40.271482,13.47,134760,1,53,15,16.0,Down,1,0,End Rows,1,Corn,2,2.0,297
-85.166153,40.271482,13.12,134761,1,53,15,16.0,Down,1,0,End Rows,1,Corn,2,2.0,297
