Longitude,Latitude,GrainMassFlow,GPSTime,CycleDuration,TravelSpeed,SwathWidth,GrainMoisture,Header,Pass,Field,Load,LoadNumber,Crop,GPSStatus,PDOP,Altitude
-85.161832,40.264970,0.00,485839,1,0,15,0.0,Up,1,0,End Rows,1,Corn,2,3.2,299
-85.161873,40.264968,0.00,485841,1,0,15,0.0,Up,1,0,End Rows,1,Corn,2,3.2,299
-85.161897,40.264967,0.00,485842,1,0,15,0.0,Up,1,0,End Rows,1,Corn,2,3.2,299
-85.161917,40.264965,0.00,485843,1,0,15,0.0,Up,1,0,End Rows,1,Corn,2,3.2,299
-85.161937,40.264965,0.00,485844,1,0,15,0.0,Up,1,0,End Rows,1,Corn,2,3.2,299
-85.161937,40.264965,0.00,485844,1,0,15,0.0,Up,1,0,End Rows,1,Corn,2,3.2,299
-85.161980,40.264962,0.00,485846,1,0,15,0.0,Up,1,0,End Rows,1,Corn,2,3.2,299
-85.162003,40.264960,0.00,485847,1,0,15,0.0,Up,1,0,End Rows,1,Corn,2,3.2,299
-85.162023,40.264962,0.00,485848,1,0,15,0.0,Up,1,0,End Rows,1,Corn,2,3.2,299
-85.162043,40.264962,0.00,485849,1,0,15,0.0,Up,1,0,End Rows,1,Corn,2,3.2,298
-85.162043,40.264962,0.00,485849,1,0,15,0.0,Up,1,0,End Rows,1,Corn,2,3.2,298
-85.162088,40.264960,0.00,485851,1,0,15,0.0,Up,1,0,End Rows,1,Corn,2,3.2,298
-85.162110,40.264958,0.00,485852,1,0,15,0.0,Up,1,0,End Rows,1,Corn,2,3.2,298
-85.162130,40.264957,0.00,485853,1,0,15,0.0,Up,1,0,End Rows,1,Corn,2,3.2,298
-85.162152,40.264957,0.00,485854,1,0,15,0.0,Up,1,0,End Rows,1,Corn,2,3.2,298
-85.162152,40.264957,0.00,485854,1,0,15,0.0,Up,1,0,End Rows,1,Corn,2,3.2,298
-85.162195,40.264955,0.00,485856,1,0,15,0.0,Up,1,0,End Rows,1,Corn,2,3.2,298
-85.162215,40.264957,0.00,485857,1,0,15,0.0,Up,1,0,End Rows,1,Corn,2,3.2,298
-85.162237,40.264955,0.00,485858,1,0,15,0.0,Up,1,0,End Rows,1,Corn,2,3.2,298
-85.162260,40.264952,0.00,485859,1,0,15,0.0,Up,1,0,End Rows,1,Corn,2,3.2,298
-85.162260,40.264952,0.00,485859,1,0,15,0.0,Up,1,0,End Rows,1,Corn,2,3.2,298
-85.162302,40.264953,0.00,485861,1,0,15,0.0,Up,1,0,End Rows,1,Corn,2,4.5,298
-85.162322,40.264953,0.00,485862,1,0,15,0.0,Up,1,0,End Rows,1,Corn,2,4.5,298
-85.162345,40.264952,0.00,485863,1,0,15,0.0,Up,1,0,End Rows,1,Corn,2,4.5,298
-85.162357,40.264952,0.00,485864,1,0,15,0.0,Up,1,0,End Rows,1,Corn,2,3.2,298
-85.162357,40.264952,0.00,485864,1,0,15,0.0,Up,1,0,End Rows,1,Corn,2,3.2,298
-85.162353,40.264952,0.00,485866,1,0,15,0.0,Up,1,0,End Rows,1,Corn,2,3.2,298
-85.162353,40.264950,0.00,485874,1,0,15,0.0,Up,1,0,End Rows,1,Corn,2,3.2,298
-85.162355,40.264950,0.00,485876,1,0,15,0.0,Up,1,0,End Rows,1,Corn,2,3.2,299
-85.162353,40.264950,0.00,485878,1,0,15,0.0,Up,1,0,End Rows,1,Corn,2,3.2,298
-85.162353,40.264950,0.00,485879,1,0,15,0.0,Up,1,0,End Rows,1,Corn,2,3.2,298
-85.162353,40.264950,0.00,485879,1,0,15,0.0,Up,1,0,End Rows,1,Corn,2,3.2,298
-85.162353,40.264950,0.00,485881,1,0,15,0.0,Up,1,0,End Rows,1,Corn,2,3.2,298
-85.162352,40.264950,0.00,485882,1,0,15,0.0,Up,1,0,End Rows,1,Corn,2,3.2,298
-85.162352,40.264950,0.00,485883,1,0,15,0.0,Up,1,0,End Rows,1,Corn,2,3.2,298
-85.162352,40.264950,0.00,485884,1,0,15,0.0,Up,1,0,End Rows,1,Corn,2,3.2,298
-85.162352,40.264950,0.00,485884,1,0,15,0.0,Up,1,0,End Rows,1,Corn,2,3.2,298
-85.162353,40.264948,0.00,485886,1,0,15,0.0,Up,1,0,End Rows,1,Corn,2,3.3,299
-85.162353,40.264948,0.00,485887,1,0,15,0.0,Up,1,0,End Rows,1,Corn,2,3.3,299
-85.162355,40.264948,0.00,485888,1,0,15,0.0,Up,1,0,End Rows,1,Corn,2,3.3,299
-85.162357,40.264948,0.00,485889,1,0,15,0.0,Up,1,0,End Rows,1,Corn,2,3.2,299
-85.162357,40.264948,0.00,485889,1,0,15,0.0,Up,1,0,End Rows,1,Corn,2,3.2,299
-85.162368,40.264948,0.00,485891,1,22,15,0.0,Down,1,0,End Rows,1,Corn,2,3.2,299
-85.162377,40.264948,0.00,485892,1,29,15,0.0,Down,1,0,End Rows,1,Corn,2,3.2,299
-85.162388,40.264948,0.00,485893,1,38,15,0.0,Down,1,0,End Rows,1,Corn,2,3.2,299
-85.162403,40.264947,0.00,485894,1,42,15,0.0,Down,1,0,End Rows,1,Corn,2,3.2,299
-85.162403,40.264947,0.00,485894,1,46,15,0.0,Down,1,0,End Rows,1,Corn,2,3.2,299
-85.162427,40.264948,0.00,485896,1,45,15,0.0,Down,1,0,End Rows,1,Corn,2,3.2,299
-85.162442,40.264948,0.00,485897,1,46,15,0.0,Down,1,0,End Rows,1,Corn,2,3.2,299
-85.162457,40.264947,0.00,485898,1,48,15,0.0,Down,1,0,End Rows,1,Corn,2,3.2,299
-85.162473,40.264947,0.00,485899,1,49,15,0.0,Down,1,0,End Rows,1,Corn,2,3.2,299
-85.162473,40.264947,0.00,485899,1,50,15,0.0,Down,1,0,End Rows,1,Corn,2,3.2,299
-85.162503,40.264947,0.00,485901,1,50,15,0.0,Down,1,0,End Rows,1,Corn,2,3.2,299
-85.162520,40.264947,0.00,485902,1,50,15,0.0,Down,1,0,End Rows,1,Corn,2,3.2,299
-85.162537,40.264945,2.92,485903,1,53,15,16.3,Down,1,0,End Rows,1,Corn,2,3.2,299
-85.162552,40.264947,4.35,485904,1,54,15,16.2,Down,1,0,End Rows,1,Corn,2,3.2,299
-85.162567,40.264947,6.68,485905,1,54,15,16.8,Down,1,0,End Rows,1,Corn,2,3.2,299
-85.162583,40.264947,10.44,485906,1,55,15,17.4,Down,1,0,End Rows,1,Corn,2,3.2,299
-85.162602,40.264947,10.99,485907,1,55,15,17.3,Down,1,0,End Rows,1,Corn,2,3.2,299
-85.162618,40.264947,10.87,485908,1,55,15,16.8,Down,1,0,End Rows,1,Corn,2,3.2,299
-85.162633,40.264945,11.48,485909,1,56,15,16.6,Down,1,0,End Rows,1,Corn,2,3.2,299
-85.162648,40.264943,11.03,485910,1,55,15,16.3,Down,1,0,End Rows,1,Corn,2,3.2,299
-85.162665,40.264945,11.62,485911,1,55,15,16.6,Down,1,0,End Rows,1,Corn,2,3.2,299
-85.162682,40.264943,11.38,485912,1,56,15,16.5,Down,1,0,End Rows,1,Corn,2,3.2,299
-85.162698,40.264945,11.80,485913,1,55,15,16.3,Down,1,0,End Rows,1,Corn,2,3.2,299
-85.162715,40.264945,12.01,485914,1,56,15,16.2,Down,1,0,End Rows,1,Corn,2,3.2,299
-85.162715,40.264945,12.83,485914,1,55,15,16.2,Down,1,0,End Rows,1,Corn,2,3.2,299
-85.162748,40.264945,13.61,485916,1,56,15,16.6,Down,1,0,End Rows,1,Corn,2,3.2,299
-85.162765,40.264945,12.78,485917,1,56,15,16.7,Down,1,0,End Rows,1,Corn,2,3.2,299
-85.162782,40.264945,13.50,485918,1,55,15,16.8,Down,1,0,End Rows,1,Corn,2,3.2,299
-85.162798,40.264945,14.19,485919,1,57,15,16.7,Down,1,0,End Rows,1,Corn,2,3.2,299
-85.162817,40.264945,17.30,485920,1,58,15,16.6,Down,1,0,End Rows,1,Corn,2,3.2,299
-85.162833,40.264945,14.76,485921,1,59,15,16.3,Down,1,0,End Rows,1,Corn,2,3.2,299
-85.162853,40.264943,12.88,485922,1,60,15,16.7,Down,1,0,End Rows,1,Corn,2,3.2,299
-85.162870,40.264945,13.88,485923,1,59,15,16.6,Down,1,0,End Rows,1,Corn,2,3.2,300
-85.162887,40.264947,15.67,485924,1,59,15,16.7,Down,1,0,End Rows,1,Corn,2,3.2,300
-85.162887,40.264947,13.46,485924,1,59,15,16.4,Down,1,0,End Rows,1,Corn,2,3.2,300
-85.162922,40.264947,12.92,485926,1,59,15,16.6,Down,1,0,End Rows,1,Corn,2,3.2,299
-85.162940,40.264947,12.46,485927,1,59,15,16.6,Down,1,0,End Rows,1,Corn,2,3.2,299
-85.162958,40.264948,12.34,485928,1,59,15,16.9,Down,1,0,End Rows,1,Corn,2,3.2,299
-85.162973,40.264948,12.31,485929,1,58,15,17.0,Down,1,0,End Rows,1,Corn,2,3.2,299
-85.162992,40.264950,12.02,485930,1,56,15,16.7,Down,1,0,End Rows,1,Corn,2,3.2,300
