Program,Year,Value,CV (%)
SURVEY,2018,180.7,
SURVEY,2017,176.6,
SURVEY,2016,174.6,
SURVEY,2015,168.4,
SURVEY,2014,171,
SURVEY,2013,158.1,
SURVEY,2012,123.1,
SURVEY,2011,146.8,
SURVEY,2010,152.6,
SURVEY,2009,164.4,
SURVEY,2008,153.3,
SURVEY,2007,150.7,
SURVEY,2006,149.1,
SURVEY,2005,147.9,
SURVEY,2004,160.3,
SURVEY,2003,142.2,
SURVEY,2002,129.3,
SURVEY,2001,138.2,
SURVEY,2000,136.9,
SURVEY,1999,133.8,
SURVEY,1998,134.4,
SURVEY,1997,126.7,
SURVEY,1996,127.1,
SURVEY,1995,113.5,
SURVEY,1994,138.6,
SURVEY,1993,100.7,
SURVEY,1992,131.5,
SURVEY,1991,108.6,
SURVEY,1990,118.5,
SURVEY,1989,116.3,
SURVEY,1988,84.6,
SURVEY,1987,119.8,
SURVEY,1986,119.4,
SURVEY,1985,118,
SURVEY,1984,106.7,
SURVEY,1983,81.1,
SURVEY,1982,113.2,
SURVEY,1981,108.9,
SURVEY,1980,91,
SURVEY,1979,109.5,
SURVEY,1978,101,
SURVEY,1977,90.8,
SURVEY,1976,88,
SURVEY,1975,86.4,
SURVEY,1974,71.9,
SURVEY,1973,91.3,
SURVEY,1972,97,
SURVEY,1971,88.1,
SURVEY,1970,72.4,
SURVEY,1969,85.9,
SURVEY,1968,79.5,
SURVEY,1967,80.1,
SURVEY,1966,73.1,
SURVEY,1965,74.1,
SURVEY,1964,62.9,
SURVEY,1963,67.9,
SURVEY,1962,64.7,
SURVEY,1961,62.4,
SURVEY,1960,54.7,
SURVEY,1959,53.1,
SURVEY,1958,52.8,
SURVEY,1957,48.3,
SURVEY,1956,47.4,
SURVEY,1955,42,
SURVEY,1954,39.4,
SURVEY,1953,40.7,
SURVEY,1952,41.8,
SURVEY,1951,36.9,
SURVEY,1950,38.2,
SURVEY,1949,38.2,
SURVEY,1948,43,
SURVEY,1947,28.6,
SURVEY,1946,37.2,
SURVEY,1945,33.1,
SURVEY,1944,33,
SURVEY,1943,32.6,
SURVEY,1942,35.4,
SURVEY,1941,31.2,
SURVEY,1940,28.9,
SURVEY,1939,29.9,
SURVEY,1938,27.8,
SURVEY,1937,28.9,
SURVEY,1936,18.6,
SURVEY,1935,24.2,
SURVEY,1934,18.7,
SURVEY,1933,22.8,
SURVEY,1932,26.5,
SURVEY,1931,24.5,
SURVEY,1930,20.5,
SURVEY,1929,25.7,
SURVEY,1928,26.3,
SURVEY,1927,26.4,
SURVEY,1926,25.7,
SURVEY,1925,27.4,
SURVEY,1924,22.1,
SURVEY,1923,27.8,
SURVEY,1922,26.3,
SURVEY,1921,27.8,
SURVEY,1920,29.9,
SURVEY,1919,26.8,
SURVEY,1918,23.9,
SURVEY,1917,26.2,
SURVEY,1916,24.1,
SURVEY,1915,28.1,
SURVEY,1914,25.8,
SURVEY,1913,22.7,
SURVEY,1912,29.1,
SURVEY,1911,24.4,
SURVEY,1910,27.9,
SURVEY,1909,26.1,
SURVEY,1908,26.9,
SURVEY,1907,27.2,
SURVEY,1906,31.7,
SURVEY,1905,30.9,
SURVEY,1904,28.2,
SURVEY,1903,26.9,
SURVEY,1902,28.5,
SURVEY,1901,18.2,
SURVEY,1900,28.1,
SURVEY,1899,28,
SURVEY,1898,26.8,
SURVEY,1897,25.4,
SURVEY,1896,30,
SURVEY,1895,28,
SURVEY,1894,20.2,
SURVEY,1893,23.8,
SURVEY,1892,24.7,
SURVEY,1891,29.6,
SURVEY,1890,22.1,
SURVEY,1889,29.5,
SURVEY,1888,29.1,
SURVEY,1887,21.9,
SURVEY,1886,24.1,
SURVEY,1885,28.6,
SURVEY,1884,28.3,
SURVEY,1883,24.2,
SURVEY,1882,26.5,
SURVEY,1881,19.8,
SURVEY,1880,27.3,
SURVEY,1879,28.2,
SURVEY,1878,26.2,
SURVEY,1877,25.8,
SURVEY,1876,26.7,
SURVEY,1875,27.7,
SURVEY,1874,22.2,
SURVEY,1873,22.9,
SURVEY,1872,29.4,
SURVEY,1871,27.2,
SURVEY,1870,29.3,
SURVEY,1869,21.8,
SURVEY,1868,26.2,
SURVEY,1867,24.7,
SURVEY,1866,24.3,
