Program,Year,Value,CV (%)
SURVEY,2018,53.1,
SURVEY,2017,49.3,
SURVEY,2016,52,
SURVEY,2015,48,
SURVEY,2014,47.5,
SURVEY,2013,44,
SURVEY,2012,40,
SURVEY,2011,42,
SURVEY,2010,43.5,
SURVEY,2009,44,
SURVEY,2008,39.7,
SURVEY,2007,41.7,
SURVEY,2006,42.9,
SURVEY,2005,43.1,
SURVEY,2004,42.2,
SURVEY,2003,33.9,
SURVEY,2002,38,
SURVEY,2001,39.6,
SURVEY,2000,38.1,
SURVEY,1999,36.6,
SURVEY,1998,38.9,
SURVEY,1997,38.9,
SURVEY,1996,37.6,
SURVEY,1995,35.3,
SURVEY,1994,41.4,
SURVEY,1993,32.6,
SURVEY,1992,37.6,
SURVEY,1991,34.2,
SURVEY,1990,34.1,
SURVEY,1989,32.3,
SURVEY,1988,27,
SURVEY,1987,33.9,
SURVEY,1986,33.3,
SURVEY,1985,34.1,
SURVEY,1984,28.1,
SURVEY,1983,26.2,
SURVEY,1982,31.5,
SURVEY,1981,30.1,
SURVEY,1980,26.5,
SURVEY,1979,32.1,
SURVEY,1978,29.4,
SURVEY,1977,30.6,
SURVEY,1976,26.1,
SURVEY,1975,28.9,
SURVEY,1974,23.7,
SURVEY,1973,27.8,
SURVEY,1972,27.8,
SURVEY,1971,27.5,
SURVEY,1970,26.7,
SURVEY,1969,27.4,
SURVEY,1968,26.7,
SURVEY,1967,24.5,
SURVEY,1966,25.4,
SURVEY,1965,24.5,
SURVEY,1964,22.8,
SURVEY,1963,24.4,
SURVEY,1962,24.2,
SURVEY,1961,25.1,
SURVEY,1960,23.5,
SURVEY,1959,23.5,
SURVEY,1958,24.2,
SURVEY,1957,23.2,
SURVEY,1956,21.8,
SURVEY,1955,20.1,
SURVEY,1954,20,
SURVEY,1953,18.2,
SURVEY,1952,20.7,
SURVEY,1951,20.8,
SURVEY,1950,21.7,
SURVEY,1949,22.3,
SURVEY,1948,21.3,
SURVEY,1947,16.3,
SURVEY,1946,20.5,
SURVEY,1945,18,
SURVEY,1944,18.8,
SURVEY,1943,18.3,
SURVEY,1942,19,
SURVEY,1941,18.2,
SURVEY,1940,16.2,
SURVEY,1939,20.9,
SURVEY,1938,20.4,
SURVEY,1937,17.9,
SURVEY,1936,14.3,
SURVEY,1935,16.8,
SURVEY,1934,14.9,
SURVEY,1933,12.9,
SURVEY,1932,15.1,
SURVEY,1931,15.1,
SURVEY,1930,13,
SURVEY,1929,13.3,
SURVEY,1928,13.6,
SURVEY,1927,12.2,
SURVEY,1926,11.2,
SURVEY,1925,11.7,
SURVEY,1924,11,
