Program,Year,Value,CV (%)
SURVEY,2018,47.9,
SURVEY,2017,50.2,
SURVEY,2016,55.3,
SURVEY,2015,42.5,
SURVEY,2014,42.6,
SURVEY,2013,47.3,
SURVEY,2012,47.1,
SURVEY,2011,46.1,
SURVEY,2010,46.5,
SURVEY,2009,44,
SURVEY,2008,47.1,
SURVEY,2007,41.7,
SURVEY,2006,41.6,
SURVEY,2005,44.3,
SURVEY,2004,43.5,
SURVEY,2003,46.7,
SURVEY,2002,38.2,
SURVEY,2001,43.4,
SURVEY,2000,44.6,
SURVEY,1999,47.8,
SURVEY,1998,46.9,
SURVEY,1997,44.6,
SURVEY,1996,37.1,
SURVEY,1995,37.7,
SURVEY,1994,40.2,
SURVEY,1993,40.2,
SURVEY,1992,38.2,
SURVEY,1991,34.7,
SURVEY,1990,40.7,
SURVEY,1989,35,
SURVEY,1988,39.2,
SURVEY,1987,39.8,
SURVEY,1986,35.2,
SURVEY,1985,38.1,
SURVEY,1984,40,
SURVEY,1983,41.8,
SURVEY,1982,36,
SURVEY,1981,35.9,
SURVEY,1980,36.8,
SURVEY,1979,36.9,
SURVEY,1978,31.8,
SURVEY,1977,31.6,
SURVEY,1976,31.5,
SURVEY,1975,32,
SURVEY,1974,29.4,
SURVEY,1973,33,
SURVEY,1972,34,
SURVEY,1971,35.4,
SURVEY,1970,33.4,
SURVEY,1969,31.2,
SURVEY,1968,29,
SURVEY,1967,26.5,
SURVEY,1966,27.4,
SURVEY,1965,27.1,
SURVEY,1964,26.8,
SURVEY,1963,26.3,
SURVEY,1962,24.4,
SURVEY,1961,26.4,
SURVEY,1960,27.8,
SURVEY,1959,23.2,
SURVEY,1958,28.6,
SURVEY,1957,22.5,
SURVEY,1956,20.8,
SURVEY,1955,20.9,
SURVEY,1954,20.4,
SURVEY,1953,18.9,
SURVEY,1952,20.9,
SURVEY,1951,16.2,
SURVEY,1950,17.1,
SURVEY,1949,15.8,
SURVEY,1948,18.7,
SURVEY,1947,19.3,
SURVEY,1946,18,
SURVEY,1945,17.4,
SURVEY,1944,18.3,
SURVEY,1943,15.6,
SURVEY,1942,19.5,
SURVEY,1941,16.9,
SURVEY,1940,16.4,
SURVEY,1939,15,
SURVEY,1938,13.8,
SURVEY,1937,14.6,
SURVEY,1936,13.8,
SURVEY,1935,14,
SURVEY,1934,12.6,
SURVEY,1933,12.5,
SURVEY,1932,13.6,
SURVEY,1931,19,
SURVEY,1930,15.4,
SURVEY,1929,14.2,
SURVEY,1928,15.7,
SURVEY,1927,14.4,
SURVEY,1926,16.8,
SURVEY,1925,12.5,
SURVEY,1924,16.2,
SURVEY,1923,14.3,
SURVEY,1922,13.7,
SURVEY,1921,14,
SURVEY,1920,15.2,
SURVEY,1919,14.8,
SURVEY,1918,15,
SURVEY,1917,14.5,
SURVEY,1916,13.4,
SURVEY,1915,16.2,
SURVEY,1914,18.5,
SURVEY,1913,15.7,
SURVEY,1912,14.2,
SURVEY,1911,14.4,
SURVEY,1910,15.3,
SURVEY,1909,15.5,
