X,Y,Heading,Distance,Elevatio,Time,Width,DelStatus,Relative,AirTempe,WindSpee,SoilTemp,WindDire,SkyCondi,SoilMois,FuelRate,Product0,Record01,HarvestM,YieldMas,YieldWet,DryYield,LoadNumber,LoadName,LoadDest,Operator,Machine,Implement1,Client,Farm,Field,Task,OperType,ProcYear
-96.8776228646593,43.4526222512826,86.0175,3.3137,1472.2337,10/10/2015 11:28:49 AM,20.00,F,0.0000,0.0000,0.0000,0.0000,Unknown,Unknown,Ideal,5.8514,DS9903 ra,On,19.9200,12.5537,12.8529,147.3447,0,Unknown,Unknown,John,John Deere,Unknown,Stratmeyer John,Farms,East Quarter,Harvest,Harvest,2015
-96.8776353746593,43.4526219402826,90.9575,3.3465,1472.2698,10/10/2015 11:28:50 AM,20.00,F,0.0000,0.0000,0.0000,0.0000,Unknown,Unknown,Ideal,6.4326,DS9903 ra,On,19.9200,14.6209,14.9694,169.9252,0,Unknown,Unknown,John,John Deere,Unknown,Stratmeyer John,Farms,East Quarter,Harvest,Harvest,2015
-96.8776478716593,43.4526219802826,88.6075,3.3137,1472.3781,10/10/2015 11:28:51 AM,20.00,F,0.0000,0.0000,0.0000,0.0000,Unknown,Unknown,Ideal,5.5080,DS9903 ra,On,19.9200,14.8793,15.2339,174.6402,0,Unknown,Unknown,John,John Deere,Unknown,Stratmeyer John,Farms,East Quarter,Harvest,Harvest,2015
-96.8776598406593,43.4526217422826,88.6075,3.1824,1472.4142,10/10/2015 11:28:52 AM,20.00,F,0.0000,0.0000,0.0000,0.0000,Unknown,Unknown,Ideal,4.8608,DS9903 ra,On,19.9200,13.5442,13.8671,165.5248,0,Unknown,Unknown,John,John Deere,Unknown,Stratmeyer John,Farms,East Quarter,Harvest,Harvest,2015
-96.8776672276593,43.4526216622826,89.0275,1.9688,1472.4470,10/10/2015 11:28:53 AM,20.00,F,0.0000,0.0000,0.0000,0.0000,Unknown,Unknown,Ideal,3.9362,DS9903 ra,On,19.9200,12.9413,13.2498,255.6562,0,Unknown,Unknown,John,John Deere,Unknown,Stratmeyer John,Farms,East Quarter,Harvest,Harvest,2015
-96.8776658926593,43.4526218102826,89.3175,0.5582,1472.4601,10/10/2015 11:28:54 AM,20.00,F,0.0000,0.0000,0.0000,0.0000,Unknown,Unknown,Ideal,3.9758,DS9903 ra,On,19.9200,7.8380,8.0248,546.0679,0,Unknown,Unknown,John,John Deere,Unknown,Stratmeyer John,Farms,East Quarter,Harvest,Harvest,2015
-96.8776652316593,43.4526219182826,89.3175,0.2958,1472.3420,10/10/2015 11:28:55 AM,20.00,F,0.0000,0.0000,0.0000,0.0000,Unknown,Unknown,Ideal,4.4909,DS9903 ra,On,19.9200,4.5865,4.6958,602.9916,0,Unknown,Unknown,John,John Deere,Unknown,Stratmeyer John,Farms,East Quarter,Harvest,Harvest,2015
-96.8776581433114,43.4526183263013,92.2656,2.8493,1472.3373,10/10/2015 11:28:56 AM,5.00,F,0.0000,0.0000,0.0000,0.0000,Unknown,Unknown,Ideal,5.0457,DKC 53-56,On,19.9200,2.8639,2.9321,156.3690,0,Unknown,Unknown,John,John Deere,Unknown,Stratmeyer John,Farms,East Quarter,Harvest,Harvest,2015
-96.8776479523114,43.4526183643013,90.2956,2.7181,1472.3340,10/10/2015 11:28:57 AM,5.00,F,0.0000,0.0000,0.0000,0.0000,Unknown,Unknown,Ideal,3.9758,DKC 53-56,On,19.9200,2.1102,2.1605,120.7813,0,Unknown,Unknown,John,John Deere,Unknown,Stratmeyer John,Farms,East Quarter,Harvest,Harvest,2015
-96.8776379243114,43.4526181783013,92.4156,2.6853,1472.1700,10/10/2015 11:28:58 AM,5.00,F,0.0000,0.0000,0.0000,0.0000,Unknown,Unknown,Ideal,5.5212,DKC 53-56,On,19.9200,1.0766,1.1023,62.3759,0,Unknown,Unknown,John,John Deere,Unknown,Stratmeyer John,Farms,East Quarter,Harvest,Harvest,2015
-96.8776243543114,43.4526185073013,89.3956,3.6693,1472.2126,10/10/2015 11:28:59 AM,5.00,F,0.0000,0.0000,0.0000,0.0000,Unknown,Unknown,Ideal,3.7116,DKC 53-56,On,19.9200,0.0000,0.0000,0.0000,0,Unknown,Unknown,John,John Deere,Unknown,Stratmeyer John,Farms,East Quarter,Harvest,Harvest,2015
-96.8776116383114,43.4526180143013,90.9956,3.3741,1472.2093,10/10/2015 11:29:00 AM,5.00,F,0.0000,0.0000,0.0000,0.0000,Unknown,Unknown,Ideal,4.4381,DKC 53-56,On,19.9200,0.7321,0.7496,33.7561,0,Unknown,Unknown,John,John Deere,Unknown,Stratmeyer John,Farms,East Quarter,Harvest,Harvest,2015
-96.8776168223114,43.4526515393013,93.4956,2.4228,1472.6785,10/10/2015 11:29:32 AM,15.00,F,0.0000,0.0000,0.0000,0.0000,Unknown,Unknown,Ideal,5.3627,DKC 53-56,On,19.9200,8.7854,8.9949,188.0386,0,Unknown,Unknown,John,John Deere,Unknown,Stratmeyer John,Farms,East Quarter,Harvest,Harvest,2015
-96.8776269633114,43.4526517073013,91.4056,2.7181,1472.7868,10/10/2015 11:29:33 AM,15.00,F,0.0000,0.0000,0.0000,0.0000,Unknown,Unknown,Ideal,5.3759,DKC 53-56,On,19.9200,8.2256,8.4217,156.9335,0,Unknown,Unknown,John,John Deere,Unknown,Stratmeyer John,Farms,East Quarter,Harvest,Harvest,2015
-96.8776369653114,43.4526518613013,93.0356,2.6525,1472.8327,10/10/2015 11:29:34 AM,15.00,F,0.0000,0.0000,0.0000,0.0000,Unknown,Unknown,Ideal,5.4419,DKC 53-56,On,19.9200,7.5150,7.6941,146.9226,0,Unknown,Unknown,John,John Deere,Unknown,Stratmeyer John,Farms,East Quarter,Harvest,Harvest,2015
-96.8776467593113,43.4526520593013,90.9656,2.5869,1472.9147,10/10/2015 11:29:35 AM,15.00,F,0.0000,0.0000,0.0000,0.0000,Unknown,Unknown,Ideal,3.8965,DKC 53-56,On,20.0100,5.2566,5.3879,105.3756,0,Unknown,Unknown,John,John Deere,Unknown,Stratmeyer John,Farms,East Quarter,Harvest,Harvest,2015
-96.8776485823114,43.4526519253013,92.0156,1.0123,1472.9049,10/10/2015 11:29:36 AM,15.00,F,0.0000,0.0000,0.0000,0.0000,Unknown,Unknown,Ideal,4.2664,DKC 53-56,On,20.0100,5.2976,5.4300,271.3706,0,Unknown,Unknown,John,John Deere,Unknown,Stratmeyer John,Farms,East Quarter,Harvest,Harvest,2015
-96.8776478023114,43.4526519233013,92.0156,0.4547,1472.9049,10/10/2015 11:29:37 AM,10.00,F,0.0000,0.0000,0.0000,0.0000,Unknown,Unknown,Ideal,3.8701,DKC 53-56,On,20.0100,4.4374,4.5483,759.1160,0,Unknown,Unknown,John,John Deere,Unknown,Stratmeyer John,Farms,East Quarter,Harvest,Harvest,2015
-96.8776465463114,43.4526520063013,92.2156,0.4219,1472.7179,10/10/2015 11:29:38 AM,10.00,F,0.0000,0.0000,0.0000,0.0000,Unknown,Unknown,Ideal,6.6175,DKC 53-56,On,20.0100,2.3229,2.3810,428.2880,0,Unknown,Unknown,John,John Deere,Unknown,Stratmeyer John,Farms,East Quarter,Harvest,Harvest,2015
-96.8776375053206,43.4526482070428,93.3203,3.3583,1472.6993,10/10/2015 11:29:39 AM,0.00,F,0.0000,0.0000,0.0000,0.0000,Unknown,Unknown,Ideal,3.4342,DS 9604 ra,Off,0.0000,0.0000,0.0000,0.0000,0,Unknown,Unknown,John,John Deere,Unknown,Stratmeyer John,Farms,East Quarter,Harvest,Harvest,2015
-96.8776293383206,43.4526485950428,90.2003,2.2430,1472.6665,10/10/2015 11:29:40 AM,0.00,F,0.0000,0.0000,0.0000,0.0000,Unknown,Unknown,Ideal,4.0022,DS 9604 ra,Off,0.0000,0.0000,0.0000,0.0000,0,Unknown,Unknown,John,John Deere,Unknown,Stratmeyer John,Farms,East Quarter,Harvest,Harvest,2015
-96.8776207493206,43.4526482240428,91.2303,2.3086,1472.6206,10/10/2015 11:29:41 AM,0.00,F,0.0000,0.0000,0.0000,0.0000,Unknown,Unknown,Ideal,4.5306,DS 9604 ra,Off,0.0000,0.0000,0.0000,0.0000,0,Unknown,Unknown,John,John Deere,Unknown,Stratmeyer John,Farms,East Quarter,Harvest,Harvest,2015
-96.8776229098915,43.4527265987407,272.8544,3.6930,1472.7294,10/10/2015 4:26:02 PM,20.00,F,0.0000,0.0000,0.0000,0.0000,Unknown,Unknown,Ideal,5.8910,DS 9604 ra,On,19.6900,18.4636,18.8495,194.4515,0,Unknown,Unknown,John,John Deere,Unknown,Stratmeyer John,Farms,East Quarter,Harvest,Harvest,2015
-96.8776367768915,43.4527264387407,271.1844,3.7258,1472.7786,10/10/2015 4:26:03 PM,20.00,F,0.0000,0.0000,0.0000,0.0000,Unknown,Unknown,Ideal,5.9703,DS 9604 ra,On,19.6900,17.8712,18.2448,186.5564,0,Unknown,Unknown,John,John Deere,Unknown,Stratmeyer John,Farms,East Quarter,Harvest,Harvest,2015
-96.8776509708915,43.4527261587407,269.8644,3.7914,1472.9361,10/10/2015 4:26:04 PM,20.00,F,0.0000,0.0000,0.0000,0.0000,Unknown,Unknown,Ideal,5.9703,DS 9604 ra,On,19.6900,19.1397,19.5398,196.3409,0,Unknown,Unknown,John,John Deere,Unknown,Stratmeyer John,Farms,East Quarter,Harvest,Harvest,2015
-96.8776660188915,43.4527259687407,269.2144,4.0210,1473.0640,10/10/2015 4:26:05 PM,20.00,F,0.0000,0.0000,0.0000,0.0000,Unknown,Unknown,Ideal,6.1420,DS 9604 ra,On,18.1100,19.9781,20.0022,193.2375,0,Unknown,Unknown,John,John Deere,Unknown,Stratmeyer John,Farms,East Quarter,Harvest,Harvest,2015
-96.8776806558915,43.4527264077406,272.7344,3.8898,1473.2740,10/10/2015 4:26:06 PM,20.00,F,0.0000,0.0000,0.0000,0.0000,Unknown,Unknown,Ideal,6.5647,DS 9604 ra,On,18.1100,19.8825,19.9065,198.7999,0,Unknown,Unknown,John,John Deere,Unknown,Stratmeyer John,Farms,East Quarter,Harvest,Harvest,2015
-96.8776954868915,43.4527265867406,270.8944,3.9554,1473.2806,10/10/2015 4:26:07 PM,20.00,F,0.0000,0.0000,0.0000,0.0000,Unknown,Unknown,Ideal,6.3137,DS 9604 ra,On,18.1100,16.5227,16.5426,162.4663,0,Unknown,Unknown,John,John Deere,Unknown,Stratmeyer John,Farms,East Quarter,Harvest,Harvest,2015
-96.8777098128915,43.4527272227406,272.0444,3.8242,1473.2215,10/10/2015 4:26:08 PM,20.00,F,0.0000,0.0000,0.0000,0.0000,Unknown,Unknown,Ideal,4.5834,DS 9604 ra,On,18.1100,7.5142,7.5233,76.4219,0,Unknown,Unknown,John,John Deere,Unknown,Stratmeyer John,Farms,East Quarter,Harvest,Harvest,2015
-96.8777171168915,43.4527272187406,271.5244,1.9544,1473.3790,10/10/2015 4:26:09 PM,20.00,F,0.0000,0.0000,0.0000,0.0000,Unknown,Unknown,Ideal,4.3720,DS 9604 ra,On,18.1100,5.5783,5.5851,111.0086,0,Unknown,Unknown,John,John Deere,Unknown,Stratmeyer John,Farms,East Quarter,Harvest,Harvest,2015
-96.8777155058915,43.4527270657406,271.5244,0.5767,1473.3823,10/10/2015 4:26:10 PM,20.00,F,0.0000,0.0000,0.0000,0.0000,Unknown,Unknown,Ideal,5.1646,DS 9604 ra,On,18.1100,5.9889,5.9962,403.8816,0,Unknown,Unknown,John,John Deere,Unknown,Stratmeyer John,Farms,East Quarter,Harvest,Harvest,2015
-96.8777149798915,43.4527269997406,271.5244,0.3143,1473.3429,10/10/2015 4:26:11 PM,20.00,F,0.0000,0.0000,0.0000,0.0000,Unknown,Unknown,Ideal,5.2174,DS 9604 ra,On,18.1100,4.6781,4.6838,578.8918,0,Unknown,Unknown,John,John Deere,Unknown,Stratmeyer John,Farms,East Quarter,Harvest,Harvest,2015
-96.8777072278915,43.4527236477406,271.1144,2.8073,1473.4053,10/10/2015 4:26:12 PM,10.00,F,0.0000,0.0000,0.0000,0.0000,Unknown,Unknown,Ideal,4.3324,DS 9604 ra,On,18.1100,2.8455,2.8489,78.8443,0,Unknown,Unknown,John,John Deere,Unknown,Stratmeyer John,Farms,East Quarter,Harvest,Harvest,2015
-96.8776975908915,43.4527231297406,272.5944,2.5777,1473.3232,10/10/2015 4:26:13 PM,0.00,F,0.0000,0.0000,0.0000,0.0000,Unknown,Unknown,Ideal,4.7023,DS 9604 ra,Off,0.0000,0.0000,0.0000,0.0000,0,Unknown,Unknown,John,John Deere,Unknown,Stratmeyer John,Farms,East Quarter,Harvest,Harvest,2015
-96.8776859398915,43.4527225667406,274.3544,3.1025,1473.2871,10/10/2015 4:26:14 PM,0.00,F,0.0000,0.0000,0.0000,0.0000,Unknown,Unknown,Ideal,4.3324,DS 9604 ra,Off,0.0000,0.0000,0.0000,0.0000,0,Unknown,Unknown,John,John Deere,Unknown,Stratmeyer John,Farms,East Quarter,Harvest,Harvest,2015
-96.8776741828915,43.4527216837406,272.2744,3.1353,1473.0870,10/10/2015 4:26:15 PM,0.00,F,0.0000,0.0000,0.0000,0.0000,Unknown,Unknown,Ideal,3.9626,DS 9604 ra,Off,0.0000,0.0000,0.0000,0.0000,0,Unknown,Unknown,John,John Deere,Unknown,Stratmeyer John,Farms,East Quarter,Harvest,Harvest,2015
-96.8776623808915,43.4527214747406,271.8844,3.1353,1473.0870,10/10/2015 4:26:16 PM,0.00,F,0.0000,0.0000,0.0000,0.0000,Unknown,Unknown,Ideal,4.2664,DS 9604 ra,Off,0.0000,0.0000,0.0000,0.0000,0,Unknown,Unknown,John,John Deere,Unknown,Stratmeyer John,Farms,East Quarter,Harvest,Harvest,2015
-96.8776507148915,43.4527215897406,273.2944,3.1025,1472.9689,10/10/2015 4:26:17 PM,0.00,F,0.0000,0.0000,0.0000,0.0000,Unknown,Unknown,Ideal,4.5041,DS 9604 ra,Off,0.0000,0.0000,0.0000,0.0000,0,Unknown,Unknown,John,John Deere,Unknown,Stratmeyer John,Farms,East Quarter,Harvest,Harvest,2015
-96.8776408188915,43.4527215047406,268.7844,2.6433,1472.9525,10/10/2015 4:26:18 PM,0.00,F,0.0000,0.0000,0.0000,0.0000,Unknown,Unknown,Ideal,4.1211,DS 9604 ra,Off,0.0000,0.0000,0.0000,0.0000,0,Unknown,Unknown,John,John Deere,Unknown,Stratmeyer John,Farms,East Quarter,Harvest,Harvest,2015
-96.8776423218915,43.4527211817406,271.6044,0.7079,1472.9492,10/10/2015 4:26:19 PM,0.00,F,0.0000,0.0000,0.0000,0.0000,Unknown,Unknown,Ideal,4.5041,DS 9604 ra,Off,0.0000,0.0000,0.0000,0.0000,0,Unknown,Unknown,John,John Deere,Unknown,Stratmeyer John,Farms,East Quarter,Harvest,Harvest,2015
