X,Y,Heading,Distance,Elevatio,Time,Width,DelStatus,Relative,AirTempe,WindSpee,SoilTemp,WindDire,SkyCondi,SoilMois,FuelRate,Product0,Record01,HarvestM,YieldMas,YieldWet,DryYield,LoadNumber,LoadName,LoadDest,Operator,Machine,Implement1,Client,Farm,Field,Task,OperType,ProcYear
-70698.590183392,666786.986726008,86.0175,3.3137,1472.2337,10/10/2015 11:28:49 AM,20.00,F,0.0000,0.0000,0.0000,0.0000,Unknown,Unknown,Ideal,5.8514,DS9903 ra,On,19.9200,12.5537,12.8529,147.3447,0,Unknown,Unknown,John,John Deere,Unknown,Stratmeyer John,Farms,East Quarter,Harvest,Harvest,2015
-70699.5982423475,666786.961317832,90.9575,3.3465,1472.2698,10/10/2015 11:28:50 AM,20.00,F,0.0000,0.0000,0.0000,0.0000,Unknown,Unknown,Ideal,6.4326,DS9903 ra,On,19.9200,14.6209,14.9694,169.9252,0,Unknown,Unknown,John,John Deere,Unknown,Stratmeyer John,Farms,East Quarter,Harvest,Harvest,2015
-70700.6048922575,666786.975079934,88.6075,3.3137,1472.3781,10/10/2015 11:28:51 AM,20.00,F,0.0000,0.0000,0.0000,0.0000,Unknown,Unknown,Ideal,5.5080,DS9903 ra,On,19.9200,14.8793,15.2339,174.6402,0,Unknown,Unknown,John,John Deere,Unknown,Stratmeyer John,Farms,East Quarter,Harvest,Harvest,2015
-70701.5692959156,666786.95741804,88.6075,3.1824,1472.4142,10/10/2015 11:28:52 AM,20.00,F,0.0000,0.0000,0.0000,0.0000,Unknown,Unknown,Ideal,4.8608,DS9903 ra,On,19.9200,13.5442,13.8671,165.5248,0,Unknown,Unknown,John,John Deere,Unknown,Stratmeyer John,Farms,East Quarter,Harvest,Harvest,2015
-70702.1644354011,666786.953983881,89.0275,1.9688,1472.4470,10/10/2015 11:28:53 AM,20.00,F,0.0000,0.0000,0.0000,0.0000,Unknown,Unknown,Ideal,3.9362,DS9903 ra,On,19.9200,12.9413,13.2498,255.6562,0,Unknown,Unknown,John,John Deere,Unknown,Stratmeyer John,Farms,East Quarter,Harvest,Harvest,2015
-70702.0567424026,666786.96951094,89.3175,0.5582,1472.4601,10/10/2015 11:28:54 AM,20.00,F,0.0000,0.0000,0.0000,0.0000,Unknown,Unknown,Ideal,3.9758,DS9903 ra,On,19.9200,7.8380,8.0248,546.0679,0,Unknown,Unknown,John,John Deere,Unknown,Stratmeyer John,Farms,East Quarter,Harvest,Harvest,2015
-70702.0033844574,666786.981074504,89.3175,0.2958,1472.3420,10/10/2015 11:28:55 AM,20.00,F,0.0000,0.0000,0.0000,0.0000,Unknown,Unknown,Ideal,4.4909,DS9903 ra,On,19.9200,4.5865,4.6958,602.9916,0,Unknown,Unknown,John,John Deere,Unknown,Stratmeyer John,Farms,East Quarter,Harvest,Harvest,2015
-70701.4360882329,666786.574851827,92.2656,2.8493,1472.3373,10/10/2015 11:28:56 AM,5.00,F,0.0000,0.0000,0.0000,0.0000,Unknown,Unknown,Ideal,5.0457,DKC 53-56,On,19.9200,2.8639,2.9321,156.3690,0,Unknown,Unknown,John,John Deere,Unknown,Stratmeyer John,Farms,East Quarter,Harvest,Harvest,2015
-70700.6151168351,666786.571511806,90.2956,2.7181,1472.3340,10/10/2015 11:28:57 AM,5.00,F,0.0000,0.0000,0.0000,0.0000,Unknown,Unknown,Ideal,3.9758,DKC 53-56,On,19.9200,2.1102,2.1605,120.7813,0,Unknown,Unknown,John,John Deere,Unknown,Stratmeyer John,Farms,East Quarter,Harvest,Harvest,2015
-70699.8075067592,666786.543289495,92.4156,2.6853,1472.1700,10/10/2015 11:28:58 AM,5.00,F,0.0000,0.0000,0.0000,0.0000,Unknown,Unknown,Ideal,5.5212,DKC 53-56,On,19.9200,1.0766,1.1023,62.3759,0,Unknown,Unknown,John,John Deere,Unknown,Stratmeyer John,Farms,East Quarter,Harvest,Harvest,2015
-70698.7140412867,666786.569918294,89.3956,3.6693,1472.2126,10/10/2015 11:28:59 AM,5.00,F,0.0000,0.0000,0.0000,0.0000,Unknown,Unknown,Ideal,3.7116,DKC 53-56,On,19.9200,0.0000,0.0000,0.0000,0,Unknown,Unknown,John,John Deere,Unknown,Stratmeyer John,Farms,East Quarter,Harvest,Harvest,2015
-70697.6902168323,666786.505428119,90.9956,3.3741,1472.2093,10/10/2015 11:29:00 AM,5.00,F,0.0000,0.0000,0.0000,0.0000,Unknown,Unknown,Ideal,4.4381,DKC 53-56,On,19.9200,0.7321,0.7496,33.7561,0,Unknown,Unknown,John,John Deere,Unknown,Stratmeyer John,Farms,East Quarter,Harvest,Harvest,2015
-70698.0732526493,666790.251459071,93.4956,2.4228,1472.6785,10/10/2015 11:29:32 AM,15.00,F,0.0000,0.0000,0.0000,0.0000,Unknown,Unknown,Ideal,5.3627,DKC 53-56,On,19.9200,8.7854,8.9949,188.0386,0,Unknown,Unknown,John,John Deere,Unknown,Stratmeyer John,Farms,East Quarter,Harvest,Harvest,2015
-70698.8899835633,666790.277756046,91.4056,2.7181,1472.7868,10/10/2015 11:29:33 AM,15.00,F,0.0000,0.0000,0.0000,0.0000,Unknown,Unknown,Ideal,5.3759,DKC 53-56,On,19.9200,8.2256,8.4217,156.9335,0,Unknown,Unknown,John,John Deere,Unknown,Stratmeyer John,Farms,East Quarter,Harvest,Harvest,2015
-70699.695531816,666790.30238697,93.0356,2.6525,1472.8327,10/10/2015 11:29:34 AM,15.00,F,0.0000,0.0000,0.0000,0.0000,Unknown,Unknown,Ideal,5.4419,DKC 53-56,On,19.9200,7.5150,7.6941,146.9226,0,Unknown,Unknown,John,John Deere,Unknown,Stratmeyer John,Farms,East Quarter,Harvest,Harvest,2015
-70700.48427935,666790.331774661,90.9656,2.5869,1472.9147,10/10/2015 11:29:35 AM,15.00,F,0.0000,0.0000,0.0000,0.0000,Unknown,Unknown,Ideal,3.8965,DKC 53-56,On,20.0100,5.2566,5.3879,105.3756,0,Unknown,Unknown,John,John Deere,Unknown,Stratmeyer John,Farms,East Quarter,Harvest,Harvest,2015
-70700.631268506,666790.318173357,92.0156,1.0123,1472.9049,10/10/2015 11:29:36 AM,15.00,F,0.0000,0.0000,0.0000,0.0000,Unknown,Unknown,Ideal,4.2664,DKC 53-56,On,20.0100,5.2976,5.4300,271.3706,0,Unknown,Unknown,John,John Deere,Unknown,Stratmeyer John,Farms,East Quarter,Harvest,Harvest,2015
-70700.5684379886,666790.317369822,92.0156,0.4547,1472.9049,10/10/2015 11:29:37 AM,10.00,F,0.0000,0.0000,0.0000,0.0000,Unknown,Unknown,Ideal,3.8701,DKC 53-56,On,20.0100,4.4374,4.5483,759.1160,0,Unknown,Unknown,John,John Deere,Unknown,Stratmeyer John,Farms,East Quarter,Harvest,Harvest,2015
