X,Y,fid,MEAN_X,MEAN_Y,Time,mean,Keep,Strip
-97.5963699928316,44.0964875898908,1.00000,-97.59637,44.09649,10/12/2015 9:38:44 PM,186.59789,"1","4"
-97.5974216788316,44.0961742138907,2.00000,-97.59742,44.09617,10/12/2015 9:28:32 PM,203.60528,"1","8"
-97.5986711838316,44.0958615418907,4.00000,-97.59867,44.09586,10/12/2015 9:03:18 PM,178.81428,"1","12"
-97.5972022598317,44.0961711408907,5.00000,-97.59720,44.09617,10/12/2015 9:28:24 PM,179.96129,"1","8"
-97.599375621832,44.0967788338908,1.00000,-97.59938,44.09678,10/12/2015 9:45:51 PM,129.85493,"1","1"
-97.5972260808317,44.0963357208907,1.00000,-97.59723,44.09634,10/12/2015 9:33:52 PM,176.44905,"1","6"
-97.5971875958316,44.0960066718906,8.00000,-97.59719,44.09601,10/12/2015 9:20:12 PM,173.36981,"1","10"
-97.5987147788319,44.0967702788908,1.00000,-97.59871,44.09677,10/12/2015 9:46:15 PM,179.62481,"1","1"
-97.5969096758314,44.0959182248907,1.00000,-97.59691,44.09592,10/12/2015 9:00:16 PM,178.06719,"1","11"
-97.5972593998317,44.0960892878906,14.00000,-97.59726,44.09609,10/12/2015 9:23:13 PM,206.76334,"1","9"
-97.5990770868318,44.0963625238907,18.00000,-97.59908,44.09636,10/12/2015 9:34:54 PM,189.08395,"1","6"
-97.5960169058315,44.0962355078907,19.00000,-97.59602,44.09624,10/12/2015 9:32:26 PM,187.10048,"1","7"
-97.5985078268318,44.0963542468907,21.00000,-97.59851,44.09635,10/12/2015 9:34:35 PM,173.85193,"1","6"
-97.5994321338318,44.0962049108907,24.00000,-97.59943,44.09620,10/12/2015 9:29:44 PM,84.10772,"1","8"
-97.599173998832,44.0966109538908,25.00000,-97.59917,44.09661,10/12/2015 9:41:04 PM,153.64226,"1","3"
-97.5970255198314,44.0959197698907,28.00000,-97.59703,44.09592,10/12/2015 9:00:20 PM,132.18992,"1","11"
-97.5961026418314,44.0962367698907,29.00000,-97.59610,44.09624,10/12/2015 9:32:23 PM,200.22380,"1","7"
