WKT,DISTANCE,SWATHWIDTH,VRYIELDVOL,SECTIONID,Crop,WetMass,Moisture,Time,Heading,VARIETY
"POINT Z (-97.5996375592333 44.0957928986143 nan)",2.85327416,5.00000000,0.00000000,326,173,0.00000000,0.00000000,10/12/2015 8:48:05 PM,56.14656059,5893VT2RIB 98day
"POINT Z (-97.59962722507 44.0957813771256 nan)",2.85327416,5.00000000,0.00000000,327,173,0.00000000,0.00000000,10/12/2015 8:48:05 PM,56.14656059,5893VT2RIB 98day
"POINT Z (-97.5996168909106 44.0957698556359 nan)",2.85327416,5.00000000,0.00000000,328,173,0.00000000,0.00000000,10/12/2015 8:48:05 PM,56.14656059,5893VT2RIB 98day
"POINT Z (-97.5996065567553 44.0957583341454 nan)",2.85327416,5.00000000,0.00000000,329,173,0.00000000,0.00000000,10/12/2015 8:48:05 PM,56.14656059,5893VT2RIB 98day
"POINT Z (-97.5995962226039 44.0957468126539 nan)",2.85327416,5.00000000,0.00000000,330,173,0.00000000,0.00000000,10/12/2015 8:48:05 PM,56.14656059,5893VT2RIB 98day
"POINT Z (-97.5995858884565 44.0957352911616 nan)",2.85327416,5.00000000,0.00000000,331,173,0.00000000,0.00000000,10/12/2015 8:48:05 PM,56.14656059,5893VT2RIB 98day
"POINT Z (-97.5997270061083 44.0957948556915 nan)",5.90445526,5.00000000,0.43158257,326,173,24.39683862,15.81000000,10/12/2015 8:48:29 PM,5.60656059,5893VT2RIB 98day
"POINT Z (-97.5997080951972 44.0957932833736 nan)",5.90445526,5.00000000,0.43158257,327,173,24.39683862,15.81000000,10/12/2015 8:48:29 PM,5.60656059,5893VT2RIB 98day
"POINT Z (-97.5996891842871 44.0957917110525 nan)",5.90445526,5.00000000,0.43158257,328,173,24.39683862,15.81000000,10/12/2015 8:48:29 PM,5.60656059,5893VT2RIB 98day
"POINT Z (-97.5996702733781 44.0957901387283 nan)",5.90445526,5.00000000,0.43158257,329,173,24.39683862,15.81000000,10/12/2015 8:48:29 PM,5.60656059,5893VT2RIB 98day
"POINT Z (-97.5996513624702 44.095788566401 nan)",5.90445526,5.00000000,0.43158257,330,173,24.39683862,15.81000000,10/12/2015 8:48:29 PM,5.60656059,5893VT2RIB 98day
"POINT Z (-97.5996324515634 44.0957869940705 nan)",5.90445526,5.00000000,0.43158257,331,173,24.39683862,15.81000000,10/12/2015 8:48:29 PM,5.60656059,5893VT2RIB 98day
"POINT Z (-97.599726179432 44.0958088024947 nan)",5.41232928,5.00000000,108.48484349,326,173,6133.31714225,15.81000000,10/12/2015 8:48:30 PM,4.09656059,5893VT2RIB 98day
"POINT Z (-97.5997072175915 44.0958075898555 nan)",5.41232928,5.00000000,108.48484349,327,173,6133.31714225,15.81000000,10/12/2015 8:48:30 PM,4.09656059,5893VT2RIB 98day
"POINT Z (-97.599688255752 44.0958063772131 nan)",5.41232928,5.00000000,108.48484349,328,173,6133.31714225,15.81000000,10/12/2015 8:48:30 PM,4.09656059,5893VT2RIB 98day
"POINT Z (-97.5996692939133 44.0958051645676 nan)",5.41232928,5.00000000,108.48484349,329,173,6133.31714225,15.81000000,10/12/2015 8:48:30 PM,4.09656059,5893VT2RIB 98day
"POINT Z (-97.5996503320754 44.095803951919 nan)",5.41232928,5.00000000,108.48484349,330,173,6133.31714225,15.81000000,10/12/2015 8:48:30 PM,4.09656059,5893VT2RIB 98day
"POINT Z (-97.5996313702384 44.0958027392672 nan)",5.41232928,5.00000000,108.48484349,331,173,6133.31714225,15.81000000,10/12/2015 8:48:30 PM,4.09656059,5893VT2RIB 98day
"POINT Z (-97.5997257024633 44.0958222260894 nan)",5.14986208,5.00000000,229.78692987,326,173,12991.26863733,15.81000000,10/12/2015 8:48:31 PM,2.99656059,5893VT2RIB 98day
"POINT Z (-97.5997067118104 44.0958212760123 nan)",5.14986208,5.00000000,229.78692987,327,173,12991.26863733,15.81000000,10/12/2015 8:48:31 PM,2.99656059,5893VT2RIB 98day
