X,Y,DISTANCE,SWATHWIDTH,VRYIELDVOL,SECTIONID,Crop,WetMass,Moisture,Time,Heading,VARIETY
-127649.872052295,739289.203312815,2.85327416,5.00000000,0.00000000,326,173,0.00000000,0.00000000,10/12/2015 8:48:05 PM,56.14656059,5893VT2RIB 98day
-127649.069093413,739287.905018014,2.85327416,5.00000000,0.00000000,327,173,0.00000000,0.00000000,10/12/2015 8:48:05 PM,56.14656059,5893VT2RIB 98day
-127648.26613457,739286.606723177,2.85327416,5.00000000,0.00000000,328,173,0.00000000,0.00000000,10/12/2015 8:48:05 PM,56.14656059,5893VT2RIB 98day
-127647.463175766,739285.308428298,2.85327416,5.00000000,0.00000000,329,173,0.00000000,0.00000000,10/12/2015 8:48:05 PM,56.14656059,5893VT2RIB 98day
-127646.660217001,739284.010133376,2.85327416,5.00000000,0.00000000,330,173,0.00000000,0.00000000,10/12/2015 8:48:05 PM,56.14656059,5893VT2RIB 98day
-127645.857258276,739282.711838417,2.85327416,5.00000000,0.00000000,331,173,0.00000000,0.00000000,10/12/2015 8:48:05 PM,56.14656059,5893VT2RIB 98day
-127657.005498393,739289.541637082,5.90445526,5.00000000,0.43158257,326,173,24.39683862,15.81000000,10/12/2015 8:48:29 PM,5.60656059,5893VT2RIB 98day
-127655.499515343,739289.340952657,5.90445526,5.00000000,0.43158257,327,173,24.39683862,15.81000000,10/12/2015 8:48:29 PM,5.60656059,5893VT2RIB 98day
-127653.993532312,739289.140268183,5.90445526,5.00000000,0.43158257,328,173,24.39683862,15.81000000,10/12/2015 8:48:29 PM,5.60656059,5893VT2RIB 98day
-127652.487549297,739288.939583656,5.90445526,5.00000000,0.43158257,329,173,24.39683862,15.81000000,10/12/2015 8:48:29 PM,5.60656059,5893VT2RIB 98day
-127650.981566299,739288.738899086,5.90445526,5.00000000,0.43158257,330,173,24.39683862,15.81000000,10/12/2015 8:48:29 PM,5.60656059,5893VT2RIB 98day
-127649.47558332,739288.538214469,5.90445526,5.00000000,0.43158257,331,173,24.39683862,15.81000000,10/12/2015 8:48:29 PM,5.60656059,5893VT2RIB 98day
-127656.913361735,739291.0953141,5.41232928,5.00000000,108.48484349,326,173,6133.31714225,15.81000000,10/12/2015 8:48:30 PM,4.09656059,5893VT2RIB 98day
-127655.402640238,739290.934658214,5.41232928,5.00000000,108.48484349,327,173,6133.31714225,15.81000000,10/12/2015 8:48:30 PM,4.09656059,5893VT2RIB 98day
-127653.891918758,739290.774002281,5.41232928,5.00000000,108.48484349,328,173,6133.31714225,15.81000000,10/12/2015 8:48:30 PM,4.09656059,5893VT2RIB 98day
-127652.381197292,739290.613346294,5.41232928,5.00000000,108.48484349,329,173,6133.31714225,15.81000000,10/12/2015 8:48:30 PM,4.09656059,5893VT2RIB 98day
-127650.870475842,739290.452690269,5.41232928,5.00000000,108.48484349,330,173,6133.31714225,15.81000000,10/12/2015 8:48:30 PM,4.09656059,5893VT2RIB 98day
-127649.359754406,739290.292034188,5.41232928,5.00000000,108.48484349,331,173,6133.31714225,15.81000000,10/12/2015 8:48:30 PM,4.09656059,5893VT2RIB 98day
-127656.850110801,739292.591133636,5.14986208,5.00000000,229.78692987,326,173,12991.26863733,15.81000000,10/12/2015 8:48:31 PM,2.99656059,5893VT2RIB 98day
-127655.336597853,739292.459709445,5.14986208,5.00000000,229.78692987,327,173,12991.26863733,15.81000000,10/12/2015 8:48:31 PM,2.99656059,5893VT2RIB 98day
-127653.82308492,739292.328285209,5.14986208,5.00000000,229.78692987,328,173,12991.26863733,15.81000000,10/12/2015 8:48:31 PM,2.99656059,5893VT2RIB 98day
-127652.309572,739292.196860926,5.14986208,5.00000000,229.78692987,329,173,12991.26863733,15.81000000,10/12/2015 8:48:31 PM,2.99656059,5893VT2RIB 98day
-127650.796059094,739292.065436592,5.14986208,5.00000000,229.78692987,330,173,12991.26863733,15.81000000,10/12/2015 8:48:31 PM,2.99656059,5893VT2RIB 98day
-127649.282546201,739291.934012209,5.14986208,5.00000000,229.78692987,331,173,12991.26863733,15.81000000,10/12/2015 8:48:31 PM,2.99656059,5893VT2RIB 98day
-127656.782745053,739294.238210939,5.54356287,5.00000000,91.61742377,326,173,5179.69683507,15.81000000,10/12/2015 8:48:32 PM,2.36656059,5893VT2RIB 98day
-127655.267884523,739294.123551047,5.54356287,5.00000000,91.61742377,327,173,5179.69683507,15.81000000,10/12/2015 8:48:32 PM,2.36656059,5893VT2RIB 98day
-127653.753024004,739294.008891107,5.54356287,5.00000000,91.61742377,328,173,5179.69683507,15.81000000,10/12/2015 8:48:32 PM,2.36656059,5893VT2RIB 98day
-127652.238163499,739293.894231121,5.54356287,5.00000000,91.61742377,329,173,5179.69683507,15.81000000,10/12/2015 8:48:32 PM,2.36656059,5893VT2RIB 98day
-127650.723303007,739293.779571082,5.54356287,5.00000000,91.61742377,330,173,5179.69683507,15.81000000,10/12/2015 8:48:32 PM,2.36656059,5893VT2RIB 98day
-127649.208442526,739293.66491099,5.54356287,5.00000000,91.61742377,331,173,5179.69683507,15.81000000,10/12/2015 8:48:32 PM,2.36656059,5893VT2RIB 98day
-127656.748216682,739295.559829898,4.52650250,5.00000000,69.23558162,326,173,3914.31467531,15.81000000,10/12/2015 8:48:33 PM,1.39656059,5893VT2RIB 98day
-127655.23163947,739295.47100809,4.52650250,5.00000000,69.23558162,327,173,3914.31467531,15.81000000,10/12/2015 8:48:33 PM,1.39656059,5893VT2RIB 98day
-127653.715062269,739295.382186233,4.52650250,5.00000000,69.23558162,328,173,3914.31467531,15.81000000,10/12/2015 8:48:33 PM,1.39656059,5893VT2RIB 98day
-127652.198485081,739295.293364327,4.52650250,5.00000000,69.23558162,329,173,3914.31467531,15.81000000,10/12/2015 8:48:33 PM,1.39656059,5893VT2RIB 98day
-127650.681907901,739295.204542372,4.52650250,5.00000000,69.23558162,330,173,3914.31467531,15.81000000,10/12/2015 8:48:33 PM,1.39656059,5893VT2RIB 98day
-127649.165330734,739295.11572037,4.52650250,5.00000000,69.23558162,331,173,3914.31467531,15.81000000,10/12/2015 8:48:33 PM,1.39656059,5893VT2RIB 98day
-127656.724516771,739295.95788646,1.37689620,5.00000000,223.19713258,326,173,12618.70805598,15.81000000,10/12/2015 8:48:34 PM,1.27656059,5893VT2RIB 98day
-127655.207757383,739295.87226304,1.37689620,5.00000000,223.19713258,327,173,12618.70805598,15.81000000,10/12/2015 8:48:34 PM,1.27656059,5893VT2RIB 98day
-127653.690998007,739295.786639567,1.37689620,5.00000000,223.19713258,328,173,12618.70805598,15.81000000,10/12/2015 8:48:34 PM,1.27656059,5893VT2RIB 98day
-127652.174238641,739295.701016038,1.37689620,5.00000000,223.19713258,329,173,12618.70805598,15.81000000,10/12/2015 8:48:34 PM,1.27656059,5893VT2RIB 98day
-127650.657479286,739295.615392465,1.37689620,5.00000000,223.19713258,330,173,12618.70805598,15.81000000,10/12/2015 8:48:34 PM,1.27656059,5893VT2RIB 98day
-127649.140719941,739295.529768846,1.37689620,5.00000000,223.19713258,331,173,12618.70805598,15.81000000,10/12/2015 8:48:34 PM,1.27656059,5893VT2RIB 98day
-127657.348189908,739289.771696574,2.75484896,5.00000000,0.00000000,326,173,0.00000000,16.22000000,10/12/2015 8:48:40 PM,352.93684448,5893VT2RIB 98day
-127657.598064249,739290.683537849,3.73910093,5.00000000,391.78150868,326,173,22258.21674708,16.22000000,10/12/2015 8:48:41 PM,349.90684448,5893VT2RIB 98day
-127657.761533668,739291.591269178,3.08293295,5.00000000,326.17725270,326,173,18531.05231796,16.22000000,10/12/2015 8:48:42 PM,349.62684448,5893VT2RIB 98day
-127657.864382213,739292.414269902,2.55799857,5.00000000,269.85077508,326,173,15330.99955797,16.22000000,10/12/2015 8:48:43 PM,350.31684448,5893VT2RIB 98day
-127657.926421959,739293.342544195,2.62361537,5.00000000,180.60525057,326,173,10260.70516576,16.22000000,10/12/2015 8:48:44 PM,352.17684448,5893VT2RIB 98day
-127657.982935213,739294.275247349,2.78765736,5.00000000,116.68045661,326,173,6628.94763681,16.22000000,10/12/2015 8:48:45 PM,353.46684448,5893VT2RIB 98day
-127658.048492216,739295.924406652,4.85458649,5.00000000,7.66541843,326,173,435.49893094,16.22000000,10/12/2015 8:48:46 PM,355.92684448,5893VT2RIB 98day
-127656.530378381,739295.981544685,4.85458649,5.00000000,7.66541843,327,173,435.49893094,16.22000000,10/12/2015 8:48:46 PM,355.92684448,5893VT2RIB 98day
-127655.012264548,739296.03868267,4.85458649,5.00000000,7.66541843,328,173,435.49893094,16.22000000,10/12/2015 8:48:46 PM,355.92684448,5893VT2RIB 98day
-127653.494150719,739296.095820605,4.85458649,5.00000000,7.66541843,329,173,435.49893094,16.22000000,10/12/2015 8:48:46 PM,355.92684448,5893VT2RIB 98day
-127651.976036892,739296.152958491,4.85458649,5.00000000,7.66541843,330,173,435.49893094,16.22000000,10/12/2015 8:48:46 PM,355.92684448,5893VT2RIB 98day
-127650.457923067,739296.210096327,4.85458649,5.00000000,7.66541843,331,173,435.49893094,16.22000000,10/12/2015 8:48:46 PM,355.92684448,5893VT2RIB 98day
-127658.071379477,739298.059520825,6.59343164,5.00000000,91.09621153,326,173,5175.43159523,16.22000000,10/12/2015 8:48:47 PM,357.76684448,5893VT2RIB 98day
-127656.552237495,739298.067550275,6.59343164,5.00000000,91.09621153,327,173,5175.43159523,16.22000000,10/12/2015 8:48:47 PM,357.76684448,5893VT2RIB 98day
-127655.033095517,739298.075579679,6.59343164,5.00000000,91.09621153,328,173,5175.43159523,16.22000000,10/12/2015 8:48:47 PM,357.76684448,5893VT2RIB 98day
-127653.513953544,739298.083609031,6.59343164,5.00000000,91.09621153,329,173,5175.43159523,16.22000000,10/12/2015 8:48:47 PM,357.76684448,5893VT2RIB 98day
-127651.994811577,739298.091638331,6.59343164,5.00000000,91.09621153,330,173,5175.43159523,16.22000000,10/12/2015 8:48:47 PM,357.76684448,5893VT2RIB 98day
-127650.475669615,739298.099667583,6.59343164,5.00000000,91.09621153,331,173,5175.43159523,16.22000000,10/12/2015 8:48:47 PM,357.76684448,5893VT2RIB 98day
-127658.11164453,739300.275211144,7.18398282,5.00000000,111.21554304,326,173,6318.46845524,16.22000000,10/12/2015 8:48:48 PM,358.06684448,5893VT2RIB 98day
-127656.592483387,739300.275231625,7.18398282,5.00000000,111.21554304,327,173,6318.46845524,16.22000000,10/12/2015 8:48:48 PM,358.06684448,5893VT2RIB 98day
-127655.073322249,739300.275252058,7.18398282,5.00000000,111.21554304,328,173,6318.46845524,16.22000000,10/12/2015 8:48:48 PM,358.06684448,5893VT2RIB 98day
-127653.554161116,739300.275272447,7.18398282,5.00000000,111.21554304,329,173,6318.46845524,16.22000000,10/12/2015 8:48:48 PM,358.06684448,5893VT2RIB 98day
-127652.03499999,739300.275292783,7.18398282,5.00000000,111.21554304,330,173,6318.46845524,16.22000000,10/12/2015 8:48:48 PM,358.06684448,5893VT2RIB 98day
-127650.51583887,739300.275313069,7.18398282,5.00000000,111.21554304,331,173,6318.46845524,16.22000000,10/12/2015 8:48:48 PM,358.06684448,5893VT2RIB 98day
-127658.112511123,739302.530920835,7.28240802,5.00000000,107.23653405,326,173,6092.40966357,16.22000000,10/12/2015 8:48:49 PM,358.49684448,5893VT2RIB 98day
-127656.593395174,739302.519461859,7.28240802,5.00000000,107.23653405,327,173,6092.40966357,16.22000000,10/12/2015 8:48:49 PM,358.49684448,5893VT2RIB 98day
-127655.074279231,739302.508002833,7.28240802,5.00000000,107.23653405,328,173,6092.40966357,16.22000000,10/12/2015 8:48:49 PM,358.49684448,5893VT2RIB 98day
-127653.555163294,739302.496543757,7.28240802,5.00000000,107.23653405,329,173,6092.40966357,16.22000000,10/12/2015 8:48:49 PM,358.49684448,5893VT2RIB 98day
-127652.036047364,739302.485084636,7.28240802,5.00000000,107.23653405,330,173,6092.40966357,16.22000000,10/12/2015 8:48:49 PM,358.49684448,5893VT2RIB 98day
-127650.51693144,739302.473625465,7.28240802,5.00000000,107.23653405,331,173,6092.40966357,16.22000000,10/12/2015 8:48:49 PM,358.49684448,5893VT2RIB 98day
-127658.12719067,739304.714883373,7.11836602,5.00000000,111.36993518,326,173,6327.24509616,16.22000000,10/12/2015 8:48:50 PM,358.57684448,5893VT2RIB 98day
-127656.608092517,739304.701288722,7.11836602,5.00000000,111.36993518,327,173,6327.24509616,16.22000000,10/12/2015 8:48:50 PM,358.57684448,5893VT2RIB 98day
-127655.088994371,739304.687694028,7.11836602,5.00000000,111.36993518,328,173,6327.24509616,16.22000000,10/12/2015 8:48:50 PM,358.57684448,5893VT2RIB 98day
-127653.569896231,739304.674099285,7.11836602,5.00000000,111.36993518,329,173,6327.24509616,16.22000000,10/12/2015 8:48:50 PM,358.57684448,5893VT2RIB 98day
-127652.050798098,739304.66050449,7.11836602,5.00000000,111.36993518,330,173,6327.24509616,16.22000000,10/12/2015 8:48:50 PM,358.57684448,5893VT2RIB 98day
-127650.53169997,739304.646909642,7.11836602,5.00000000,111.36993518,331,173,6327.24509616,16.22000000,10/12/2015 8:48:50 PM,358.57684448,5893VT2RIB 98day
-127658.02228234,739306.994956743,7.01994082,5.00000000,118.30921268,326,173,6721.47996007,16.22000000,10/12/2015 8:48:50 PM,0.55468744,5893VT2RIB 98day
-127656.504567213,739306.928580988,7.01994082,5.00000000,118.30921268,327,173,6721.47996007,16.22000000,10/12/2015 8:48:50 PM,0.55468744,5893VT2RIB 98day
-127654.986852096,739306.862205182,7.01994082,5.00000000,118.30921268,328,173,6721.47996007,16.22000000,10/12/2015 8:48:50 PM,0.55468744,5893VT2RIB 98day
-127653.469136988,739306.795829324,7.01994082,5.00000000,118.30921268,329,173,6721.47996007,16.22000000,10/12/2015 8:48:50 PM,0.55468744,5893VT2RIB 98day
-127651.95142189,739306.729453422,7.01994082,5.00000000,118.30921268,330,173,6721.47996007,16.22000000,10/12/2015 8:48:50 PM,0.55468744,5893VT2RIB 98day
-127650.433706802,739306.663077472,7.01994082,5.00000000,118.30921268,331,173,6721.47996007,16.22000000,10/12/2015 8:48:50 PM,0.55468744,5893VT2RIB 98day
-127657.969970068,739309.066592427,6.72466523,5.00000000,108.75734226,326,173,6178.81082918,16.22000000,10/12/2015 8:48:52 PM,0.74468744,5893VT2RIB 98day
-127656.452482993,739308.995149451,6.72466523,5.00000000,108.75734226,327,173,6178.81082918,16.22000000,10/12/2015 8:48:52 PM,0.74468744,5893VT2RIB 98day
-127654.934995929,739308.923706438,6.72466523,5.00000000,108.75734226,328,173,6178.81082918,16.22000000,10/12/2015 8:48:52 PM,0.74468744,5893VT2RIB 98day
-127653.417508876,739308.852263357,6.72466523,5.00000000,108.75734226,329,173,6178.81082918,16.22000000,10/12/2015 8:48:52 PM,0.74468744,5893VT2RIB 98day
-127651.900021831,739308.780820236,6.72466523,5.00000000,108.75734226,330,173,6178.81082918,16.22000000,10/12/2015 8:48:52 PM,0.74468744,5893VT2RIB 98day
-127650.382534798,739308.70937707,6.72466523,5.00000000,108.75734226,331,173,6178.81082918,16.22000000,10/12/2015 8:48:52 PM,0.74468744,5893VT2RIB 98day
-127657.879749223,739311.02501805,6.29815605,5.00000000,121.59232725,326,173,6856.45150546,15.59000000,10/12/2015 8:48:53 PM,1.21468744,5893VT2RIB 98day
-127656.362898063,739310.941043878,6.29815605,5.00000000,121.59232725,327,173,6856.45150546,15.59000000,10/12/2015 8:48:53 PM,1.21468744,5893VT2RIB 98day
