"g"|"44676888"|"17004225"
"g"|"44676887"|"17004224"
"p"|"44676886"|"17004223"
"t"|"44676885"|"17004222"
"t"|"44676883"|"17004213"
"n"|"44676883"|"17004214"
"k"|"44676880"|"17004212"
"t"|"44676879"|"17004217"
"n"|"44676879"|"17004218"
"k"|"44676879"|"17004219"
"t"|"44676878"|"17004215"
"n"|"44676878"|"17004216"
"k"|"44676876"|"17004206"
"k"|"44676875"|"17004205"
"g"|"44676873"|"17004209"
"k"|"44676872"|"17004210"
"g"|"44676872"|"17004211"
"t"|"44676871"|"17004207"
"g"|"44676871"|"17004208"
"t"|"44676845"|"17004526"
"k"|"44676843"|"17004525"
"t"|"44676842"|"17004522"
"k"|"44676842"|"17004523"
"n"|"44676842"|"17004524"
"t"|"44676841"|"17004527"
"n"|"44676841"|"17004528"
"t"|"44676840"|"17004520"
"n"|"44676840"|"17004521"
"p"|"44677005"|"17004492"
"k"|"44677004"|"17004493"
"p"|"44677002"|"17004491"
"t"|"44677001"|"17004490"
"g"|"44676999"|"17004489"
"g"|"44676998"|"17004488"
"t"|"44676997"|"17004485"
"n"|"44676997"|"17004486"
"k"|"44676997"|"17004487"
"n"|"44676996"|"17004483"
"t"|"44676996"|"17004484"
"t"|"44676995"|"17004481"
"n"|"44676995"|"17004482"
"k"|"44676992"|"17004480"
"n"|"44676991"|"17004477"
"z"|"44676991"|"17004478"
"t"|"44676991"|"17004479"
"y"|"44676990"|"17004475"
"z"|"44676990"|"17004476"
"k"|"44676989"|"17004472"
"y"|"44676989"|"17004473"
"z"|"44676989"|"17004474"
"t"|"44676988"|"17004470"
"n"|"44676988"|"17004471"
"t"|"44676987"|"17004468"
"n"|"44676987"|"17004469"
"y"|"44676984"|"17004466"
"z"|"44676984"|"17004467"
"k"|"44676983"|"17004463"
"y"|"44676983"|"17004464"
"z"|"44676983"|"17004465"
"t"|"44676982"|"17004461"
"n"|"44676982"|"17004462"
"p"|"44676980"|"17004460"
"y"|"44676979"|"17004458"
"z"|"44676979"|"17004459"
"k"|"44676978"|"17004455"
"y"|"44676978"|"17004456"
"z"|"44676978"|"17004457"
"t"|"44676977"|"17004453"
"n"|"44676977"|"17004454"
"t"|"44676976"|"17004451"
"n"|"44676976"|"17004452"
"p"|"44676974"|"17004450"
"k"|"44676973"|"17004448"
"p"|"44676972"|"17004447"
"t"|"44676971"|"17004449"
"t"|"44676968"|"17004446"
"p"|"44676967"|"17004445"
"k"|"44676965"|"17004444"
"k"|"44676962"|"17004442"
"p"|"44676961"|"17004441"
"t"|"44676960"|"17004443"
"k"|"44676959"|"17004436"
"y"|"44676959"|"17004437"
"z"|"44676959"|"17004438"
"t"|"44676958"|"17004434"
"n"|"44676958"|"17004435"
"p"|"44676956"|"17004433"
"y"|"44676954"|"17004439"
"z"|"44676954"|"17004440"
"p"|"44676953"|"17004432"
"t"|"44676952"|"17004431"
"g"|"44676950"|"17004430"
"g"|"44676949"|"17004429"
"t"|"44676948"|"17004426"
"n"|"44676948"|"17004427"
"k"|"44676948"|"17004428"
"t"|"44676947"|"17004424"
