"C"||"C"|||71|122|195|200|200|200||78||0|0|0|0|0|1|93|96|100|86|91|100|77|85|95|57|63|71|34|38|43|2|2|3|3|4|5|4|5|6|14|15|16|11|12|13|29|34|40|17|20|22|12|14|18|25|28|30|4|6|8|0|0.25|0.5||||1.4|1.45|1.5||||1.52|1.57|1.59||1.41|2.82|14.11|0.14|0.15|0.16||||27.3|29.7|32.3|13.9|16.5|18.9|37|41|45|1.8|2.5|3|32|36|39|13|16|19|4|7|12|".32"|".32"|1|10|15|0|0|0|0|0|0|0|1|2|14.8|17.1|17.6||||18.6|24|56.6|7.4|7.9|8.4||||||||||0|0.3|1.8|||||||||||||||||||||"15420672"|"44677006"
"Bk"||"B"|||61|71|109|71|122|195||51||0|0|0|0|0|3|95|96|100|89|93|100|77|86|98|55|64|74|34|38|42|2|2|3|3|4|5|4|5|7|14|15|18|11|12|15|29|37|40|17|20|22|12|17|18|18|25|30|2|4|6|0.5|0.75|1||||1.4|1.45|1.5||||1.51|1.56|1.61||1.41|9.17|14.11|0.15|0.18|0.19||||24.6|28.9|32.1|10.2|14.9|18.7|37|41|44|1.3|2.4|3.5|27|35|41|9|15|20|2|7|13|".32"|".32"|5|20|30|0|0|0|0|0|0|0|1|2|13.2|17.1|19.6||||18.6|46.5|58.6|7.4|7.9|8.4||||||||||0|0.5|2.2|||||||||||||||||||||"15420672"|"44677007"
"Ap"||"A"|||0|0|0|13|15|20||15||0|0|0|0|0|5|94|96|100|89|93|100|79|86|97|58|64|73|34|38|43|2|2|3|3|4|5|4|5|6|14|15|16|11|12|13|35|40|45|18|20|23|17|20|22|18|22|26|0|0|0|2|3|4||||1.35|1.4|1.45||||1.47|1.52|1.56||4.23|9.17|14.11|0.18|0.2|0.22||||25.6|29.4|32.7|11.6|15.5|19.6|37|41|45|1.8|2.7|3.6|32|38|44|12|15|18|4|7|13|".24"|".24"|0|0|0|0|0|0|0|0|0|0|1|2|15.5|18.9|22.2||||13.7|18|24.7|6.1|6.7|7.3||||||||||2.4|4.7|7.1|||||||||||||||||||||"15420672"|"44677008"
"A"||"A"|||13|15|20|28|30|38||15||0|0|0|0|0|5|94|96|100|89|92|100|79|86|97|57|64|73|34|38|43|2|2|3|3|4|5|4|5|6|14|15|16|11|12|13|35|40|45|18|20|23|17|20|22|18|22|26|0|0|0|2|3|4||||1.25|1.35|1.45||||1.37|1.47|1.51||4.23|9.17|14.11|0.18|0.2|0.22||||25.3|28.9|32.3|11.2|14.9|18.9|37|43|48|1.8|2.7|3.6|32|38|44|12|15|18|4|7|13|".32"|".32"|0|0|0|0|0|0|0|0|0|0|1|2|15.5|18.9|22.2||||13.7|18|24.7|6.1|6.7|7.3||||||||||2.4|4.7|7.1|||||||||||||||||||||"15420672"|"44677009"
"Bw"||"B"|||28|30|38|61|71|109||41||0|0|0|0|0|3|95|96|100|89|93|100|81|88|100|58|64|77|34|38|47|1|1|1|2|3|3|4|5|8|15|16|19|12|13|16|29|40|45|17|20|23|12|20|22|18|22|30|0|0|0|1|2|3||||1.35|1.4|1.45||||1.47|1.52|1.6||1.41|9.17|14.11|0.15|0.18|0.19||||24.9|28.5|33.2|10.5|14.3|20.5|38|42|45|1.8|2.7|4.4|30|36|46|12|15|21|4|7|16|".32"|".32"|0|0|0|0|0|0|0|0|0|0|1|2|15.1|18.6|25||||13|20.4|33|6.1|7.2|7.8||||||||||0.6|3|7.1|||||||||||||||||||||"15420672"|"44677010"
"Bk"||"B"||||76|||150|||||0|0|0|0|0|0|95|97.5|100|95|97.5|100|85|92.5|100|60|70|80||33.5|||3|||4.2|||5.8|||10.5|||10|||36.5||||||||25|30|35||||0.5|0.75|1||||1.5|1.6|1.7|||||1.83|||0.42|2|4|0.16|0.18|0.2|||||33.1|||20.9|||37||3|4.5|5.9|30|37.5|45|10|17.5|25|3|10|19|".32"|".32"|1|11|20|0|1|2|0|1|1|0|2|4|15|17.5|20|||||||6.6|7.5|8.4|||||||||||||||||||||||||||||||||"15420673"|"44677011"
"A"||"A"||||0|||38|||||0|0|0|0|0|0|100|100|100|100|100|100|90|95|100|60|72.5|85||38.5|||3.4|||4.9|||6.7|||12.1|||11.4|||36.5||||||||23|25|27||||3|4.5|6||||1.15|1.2|1.25|||||1.37|||4|9|14|0.18|0.19|0.2|||||31|||16.9|||50||3|4.5|5.9|30|40|50|10|15|20|3|10|19|".20"|".20"|0|0|0|0|0|0|0|0|0|0|1|2|15|22.5|30|||||||6.1|6.7|7.3|||||||||||||||||||||||||||||||||"15420673"|"44677012"
"2C"|2|"C"||||150|||200|||||0|0|0|0|3|5|95|97.5|100|95|97.5|100|85|92.5|100|60|70|80||33.5|||3|||4.2|||5.8|||10.5|||10|||36.5||||||||25|30|35||||0|0.25|0.5||||1.5|1.6|1.7|||||1.83|||0.42|2|4|0.16|0.18|0.2|||||32.1|||19.8|||36||3|4.5|5.9|30|37.5|45|10|17.5|25|3|10|19|".32"|".32"|1|6|10|1|3|5|0|1|2|2|5|8|10|15|20|||||||7.4|7.9|8.4|||||||||||||||||||||||||||||||||"15420673"|"44677013"
"Bt"||"B"||||38|||76|||||0|0|0|0|0|0|100|100|100|95|97.5|100|90|95|100|70|80|90||31.1|||2.7|||3.2|||6|||10.6|||8.6|||30.9||||||||35|38|45||||1|2|3||||1.25|1.35|1.45|||||1.68|||0.42|2|4|0.11|0.14|0.17|||||34.6|||23.5|||45||6|7.5|8.9|40|47.5|55|15|22.5|30|9|18|30|".24"|".24"|0|0|0|0|0|0|0|0|0|0|1|2|20|25|30|||||||6.1|6.7|7.3|||||||||||||||||||||||||||||||||"15420673"|"44677014"
"A"||"A"||||0|||25|||||0|0|0|0|0|0|95|97.5|100|95|97.5|100|85|92.5|100|85|90|95||24.5|||1.9|||2.8|||3.9|||7.7|||8.2|||52||||||||20|23.5|27||||2|3|4||||1.15|1.23|1.3|||||1.29|||4|9|14|0.2|0.21|0.22|||||29.3|||14.7|||49||0|1.5|2.9|30|40|50|8|14|20|6|14|23|".32"|".32"|0|0|0|0|0|0|0|0|0|0|1|2|20|22.5|25|||||||5.6|6.7|7.8|||||||||||||||||||||||||||||||||"15420674"|"44677015"
"Btn"||"B"||||25|||56|||||0|0|0|0|0|0|95|97.5|100|95|97.5|100|85|92.5|100|65|80|95||31.1|||2.7|||3.2|||6|||10.6|||8.6|||30.9||||||||35|38|45||||0|1|2||||1.2|1.28|1.35|||||1.59|||0.42|1|1.4|0.16|0.18|0.19|||||33.4|||21.2|||48||6|7.5|8.9|40|50|60|14|24|34|8|20|37|".28"|".28"|0|0|0|0|0|0|5|10|15|4|6|8|25|27.5|30|||||||6.1|7|7.8|||||||||||||||||||||||||||||||||"15420674"|"44677016"
"C"||"C"||||56|||203|||||0|0|0|0|3|5|95|97.5|100|90|95|100|80|90|100|55|72.5|90||34.7|||3.1|||4.4|||6|||10.8|||10.4|||37.8||||||||20|27.5|35||||0|0.5|1||||1.5|1.6|1.7|||||1.84|||0.42|2|4|0.14|0.16|0.18|||||30.9|||18.2|||36||3|4.5|5.9|35|47.5|60|10|22.5|35|3|16|35|".37"|".37"|5|13|20|1|3|5|5|10|15|4|10|16|15|20|25|||||||7.4|8.2|9|||||||||||||||||||||||||||||||||"15420674"|"44677017"
"Ap"||"A"|||0|0|0|18|20|25||20||0|0|0|0|0|0|100|100|100|100|100|100|95|97|100|86|90|93|5|13|16|0|0|1|1|2|2|1|2|2|2|4|5|2|5|6|59|64|70|29|35|38|26|29|30|20|23|26|0|0|0|4|5|8||||1.2|1.25|1.35||||1.31|1.36|1.38||4.23|9.17|14.11|0.22|0.23|0.24||||29.5|31.2|34|14.6|17.2|22|43|47|49|2.3|2.8|3.4|39|44|53|13|14|17|12|15|20|".37"|".37"|0|0|0|0|0|0|0|0|0|0|1|2|17.3|19.7|22.2||||13.8|18.5|30.2|5.6|6.5|7.8||||||||||1.9|6.1|9.8|||||||||||||||||||||"15420675"|"44677018"
"E"||"E"|||18|20|25|35|40|48||20||0|0|0|0|0|0|100|100|100|100|100|100|92|99|100|81|92|97|5|11|35|0|0|2|1|1|3|1|1|7|1|4|12|2|5|11|45|64|70|25|35|40|20|29|30|15|25|30|0|0|0|1|2|3||||1.35|1.4|1.45||||1.47|1.52|1.58||1.41|9.17|14.11|0.18|0.2|0.22||||25.5|30.8|33.2|9.7|16.5|20.5|42|43|45|1.4|2.7|4.2|27|39|46|9|17|21|5|16|23|".49"|".49"|0|0|0|0|0|0|0|0|0|0|1|2|12.9|20.5|24.4||||10.3|19.8|24.4|5.6|6.8|7.3||||||||||1.7|4.3|8.4|||||||||||||||||||||"15420675"|"44677019"
