"Clay"||"88612173"|"90161967"
"Silty clay"||"88612174"|"90162235"
"Silt loam"||"88612175"|"90162094"
"Silty clay"||"88612176"|"90162684"
"Silty clay loam"||"88612177"|"90162091"
"Loam"||"88612178"|"90162092"
"Clay loam"||"88612179"|"90162093"
"Clay loam"||"88612180"|"90162685"
"Loam"||"88612181"|"90162237"
"Silty clay loam"||"88612182"|"90162686"
"Loam"||"88612183"|"90162657"
"Silt loam"||"88612184"|"90162554"
"Clay loam"||"88612185"|"90162555"
"Silty clay loam"||"88612186"|"90162556"
"Clay"||"88612187"|"90162557"
"Silty clay"||"88612188"|"90162658"
"Silt loam"||"88612189"|"90162850"
"Clay loam"||"88612190"|"90162851"
"Loam"||"88612191"|"90162659"
"Loam"||"88612192"|"90162600"
"Clay loam"||"88612193"|"90162601"
"Loam"||"88612194"|"90162599"
"Clay loam"||"88612172"|"90162236"
"Silty clay loam"||"88612171"|"90162683"
"Clay loam"||"88612170"|"90161966"
"Silty clay"||"88612169"|"90161965"
"Clay"||"88612168"|"90161964"
"Silty clay loam"||"88612167"|"90161963"
"Silty clay"||"88612166"|"90162682"
"Silty clay"||"88611789"|"90162310"
"Clay"||"88611790"|"90162756"
"Clay loam"||"88611791"|"90162311"
"Silty clay loam"||"88611792"|"90162032"
"Silty clay"||"88611793"|"90162026"
"Clay"||"88611794"|"90162027"
"Clay loam"||"88611795"|"90162028"
"Silty clay loam"||"88611796"|"90162307"
"Clay loam"||"88611797"|"90162306"
"Silty clay loam"||"88611798"|"90162753"
"Silty clay"||"88611799"|"90162029"
"Silty clay"||"88611800"|"90162308"
"Clay"||"88611801"|"90162755"
"Clay loam"||"88611802"|"90162309"
"Clay loam"||"88611803"|"90162152"
"Clay"||"88611804"|"90162153"
"Silty clay"||"88611805"|"90162154"
"Silt loam"||"88611806"|"90162754"
"Silt loam"||"88611807"|"90162030"
"Silty clay loam"||"88611808"|"90162031"
"Silty clay loam"||"88611862"|"90161982"
"Silty clay"||"88611863"|"90162703"
"Clay"||"88611864"|"90162255"
"Silty clay loam"||"88611865"|"90162256"
"Clay"||"88611866"|"90162257"
"Clay loam"||"88611867"|"90162704"
"Silty clay"||"88611868"|"90161983"
"Silty clay loam"||"88611869"|"90162116"
"Silty clay"||"88611870"|"90162114"
"Clay loam"||"88611871"|"90162115"
"Clay"||"88611872"|"90161984"
"Loam"||"88611873"|"90161981"
"Silty clay loam"||"88612165"|"90162234"
"Clay"||"88612164"|"90162681"
"Clay loam"||"88612163"|"90162233"
"Silt loam"||"88612162"|"90162090"
"Clay loam"||"88612161"|"90162088"
"Loam"||"88612160"|"90162089"
"Silty clay"||"88612159"|"90162087"
"Clay loam"||"88612158"|"90162232"
"Silty clay loam"||"88612157"|"90162680"
"Silty clay"||"88612156"|"90161962"
"Silty clay loam"||"88612155"|"90161961"
"Clay loam"||"88612154"|"90162231"
"Clay"||"88612153"|"90162679"
"Clay loam"||"88612152"|"90161960"
"Loam"||"88612151"|"90161959"
"Clay loam"||"88612150"|"90162677"
"Silty clay loam"||"88612149"|"90162678"
"Silty clay"||"88612148"|"90162230"
"Clay loam"||"88612147"|"90162229"
"Clay"||"88612146"|"90162676"
"Silty clay"||"88612145"|"90162086"
"Silty clay loam"||"88612144"|"90162085"
"Clay loam"||"88612143"|"90162084"
"Clay"||"88612142"|"90162083"
"Silty clay"||"88612141"|"90162675"
"Silty clay loam"||"88612140"|"90162228"
"Silt loam"||"88612139"|"90162674"
"Clay loam"||"88612138"|"90162227"
"Silty clay loam"||"88612137"|"90161958"
"Loam"||"88612136"|"90161957"
"Clay loam"||"88612135"|"90161956"
"Clay loam"||"88612134"|"90161955"
"Silty clay loam"||"88612133"|"90162226"
"Silty clay"||"88612132"|"90162673"
"Clay loam"||"88612131"|"90162081"
"Silty clay"||"88612130"|"90162225"
"Silty clay loam"||"88612129"|"90162672"
"Clay"||"88612128"|"90162082"
"Silt loam"||"88612127"|"90161788"
"Silt loam"||"88612126"|"90161787"
"Clay loam"||"88612125"|"90161786"
"Loam"||"88612124"|"90161785"
"Silty clay"||"88612123"|"90161783"
"Silty clay loam"||"88612122"|"90161784"
"Clay loam"||"88612121"|"90162224"
"Clay loam"||"88612120"|"90162671"
"Clay"||"88612119"|"90162223"
"Silty clay"||"88612118"|"90162670"
"Silty clay loam"||"88612117"|"90161954"
"Clay loam"||"88612116"|"90161953"
"Clay"||"88612115"|"90161952"
"Silty clay"||"88612114"|"90161951"
"Silty clay loam"||"88612113"|"90162669"
"Silt loam"||"88612112"|"90162222"
"Silt loam"||"88612111"|"90162668"
"Loam"||"88612110"|"90161780"
"Clay loam"||"88612109"|"90161779"
"Loam"||"88612108"|"90162666"
"Clay loam"||"88612107"|"90162221"
"Loam"||"88612106"|"90162667"
"Loam"||"88612105"|"90161782"
"Clay loam"||"88612104"|"90161781"
"Clay loam"||"88612103"|"90161941"
"Loam"||"88612102"|"90162514"
"Clay loam"||"88612101"|"90161940"
"Loam"||"88612100"|"90161950"
