"CL"|Yes|"44676888"|"84173402"
"CL"|Yes|"44676887"|"84173401"
"ML"|Yes|"44676886"|"84173400"
"CH"|Yes|"44676885"|"84173399"
"CL"|Yes|"44676884"|"84173398"
"CH"|Yes|"44676883"|"84173397"
"CL"|Yes|"44676882"|"84173396"
"CL"|Yes|"44676881"|"84173395"
"CL"|Yes|"44676880"|"84173394"
"CH"|Yes|"44676879"|"84173393"
"CH"|Yes|"44676878"|"84173392"
"SC-SM"|No |"44676877"|"84173388"
"CL"|No |"44676877"|"84173389"
"CL-ML"|No |"44676877"|"84173390"
"SC"|No |"44676877"|"84173391"
"CL"|No |"44676876"|"84173386"
"CL-ML"|No |"44676876"|"84173387"
"SC-SM"|No |"44676875"|"84173382"
"CL"|No |"44676875"|"84173383"
"CL-ML"|No |"44676875"|"84173384"
"SC"|No |"44676875"|"84173385"
"CL"|Yes|"44676874"|"84173381"
"CL"|Yes|"44676873"|"84173380"
"CL"|Yes|"44676872"|"84173379"
"CH"|Yes|"44676871"|"84173378"
"ML"|Yes|"44676870"|"84173377"
"CL"|Yes|"44677005"|"84173527"
"CL"|Yes|"44677004"|"84173526"
"CL"|Yes|"44677003"|"84173525"
"ML"|Yes|"44677002"|"84173524"
"CH"|Yes|"44677001"|"84173523"
"CL"|Yes|"44677000"|"84173522"
"CL"|Yes|"44676999"|"84173521"
"CL"|Yes|"44676998"|"84173520"
"CH"|Yes|"44676997"|"84173519"
"CH"|Yes|"44676996"|"84173518"
"CH"|Yes|"44676995"|"84173517"
"CL"|Yes|"44676994"|"84173516"
"CL"|Yes|"44676993"|"84173515"
"CL"|Yes|"44676992"|"84173514"
"CH"|Yes|"44676991"|"84173513"
"CL"|Yes|"44676990"|"84173512"
"CL"|Yes|"44676989"|"84173511"
"CH"|Yes|"44676988"|"84173510"
"CH"|Yes|"44676987"|"84173509"
"CL"|Yes|"44676986"|"84173508"
"CL"|Yes|"44676985"|"84173507"
"CL"|Yes|"44676984"|"84173506"
"CL"|Yes|"44676983"|"84173505"
"CH"|Yes|"44676982"|"84173504"
"CL"|Yes|"44676981"|"84173503"
"CL"|Yes|"44676980"|"84173502"
"CL"|Yes|"44676979"|"84173501"
"CL"|Yes|"44676978"|"84173500"
"CH"|Yes|"44676977"|"84173499"
"CH"|Yes|"44676976"|"84173498"
"CL"|Yes|"44676975"|"84173497"
"CL"|Yes|"44676974"|"84173496"
"CL"|Yes|"44676973"|"84173495"
"CL"|Yes|"44676972"|"84173494"
"CL"|Yes|"44676971"|"84173493"
"CL"|Yes|"44676970"|"84173492"
"CL"|Yes|"44676969"|"84173491"
"CL"|Yes|"44676968"|"84173490"
"CL"|Yes|"44676967"|"84173489"
"CL"|Yes|"44676966"|"84173488"
"CL"|Yes|"44676965"|"84173487"
"CL"|Yes|"44676964"|"84173486"
"CL"|Yes|"44676963"|"84173485"
"CL"|Yes|"44676962"|"84173484"
"CL"|Yes|"44676961"|"84173483"
"CL"|Yes|"44676960"|"84173482"
"CL"|Yes|"44676959"|"84173481"
"CH"|Yes|"44676958"|"84173480"
"CL"|Yes|"44676957"|"84173479"
"CL"|Yes|"44676956"|"84173478"
"CL"|Yes|"44676955"|"84173477"
"CL"|Yes|"44676954"|"84173476"
"ML"|Yes|"44676953"|"84173475"
"CH"|Yes|"44676952"|"84173474"
"CL"|Yes|"44676951"|"84173473"
"CL"|Yes|"44676950"|"84173472"
"CL"|Yes|"44676949"|"84173471"
"CH"|Yes|"44676948"|"84173470"
"CH"|Yes|"44676947"|"84173469"
"CH"|Yes|"44676946"|"84173468"
"CL"|Yes|"44676945"|"84173467"
"CL"|Yes|"44676944"|"84173466"
"CL"|Yes|"44676943"|"84173465"
"CH"|Yes|"44676942"|"84173464"
"CL"|Yes|"44676941"|"84173463"
"CL"|Yes|"44676940"|"84173462"
"CH"|Yes|"44676939"|"84173461"
"CH"|Yes|"44676938"|"84173460"
"CL"|Yes|"44676937"|"84173459"
"CL"|Yes|"44676936"|"84173458"
"CL"|Yes|"44676935"|"84173457"
"CH"|Yes|"44676934"|"84173456"
"CH"|Yes|"44676933"|"84173455"
"CL"|Yes|"44676932"|"84173454"
"CL"|Yes|"44676931"|"84173453"
"CL"|Yes|"44676930"|"84173452"
"CL"|Yes|"44676929"|"84173451"
"CL"|Yes|"44676928"|"84173450"
"CL"|Yes|"44676927"|"84173449"
"ML"|Yes|"44677081"|"84173630"
"CH"|Yes|"44677080"|"84173629"
"CL"|Yes|"44677079"|"84173628"
"CL"|Yes|"44677078"|"84173627"
"CL"|Yes|"44677077"|"84173626"
"CL"|Yes|"44677076"|"84173625"
"CL"|Yes|"44677075"|"84173624"
"CL"|Yes|"44677074"|"84173623"
"CL"|Yes|"44677073"|"84173622"
"CL"|Yes|"44677072"|"84173621"
"CL"|Yes|"44677071"|"84173620"
"CL"|No |"44677070"|"84173619"
"ML"|No |"44677069"|"84173617"
"CL"|No |"44677069"|"84173618"
"CL"|No |"44677068"|"84173616"
"CH"|No |"44677067"|"84173614"
"CL"|No |"44677067"|"84173615"
