Trial	Treatment	RepNo	ColNo	Plot.Mean	SmyCol	StyCol	StyTreatment	CritCol	CritTrtNo	IsMinMax
EVT16B1	1	1	NA	3622	1	1	1	1	1	0
EVT16B1	2	1	NA	3426	1	1	2	1	2	0
EVT16B1	3	1	NA	3446	1	1	3	1	3	0
EVT16B1	4	1	NA	3720	1	1	4	1	4	0
EVT16B1	5	1	NA	3165	1	1	5	1	5	0
EVT16B1	6	1	NA	4116	1	1	6	1	6	0
EVT16B1	7	1	NA	3354	1	1	7	1	7	0
EVT16B1	8	1	NA	4529	1	1	8	1	8	0
EVT16B1	9	1	NA	3136	1	1	9	1	9	0
EVT16B3	1	1	NA	5554	1	1	1	1	1	0
EVT16B3	2	1	NA	4937	1	1	2	1	2	0
EVT16B3	3	1	NA	5117	1	1	3	1	3	0
EVT16B3	4	1	NA	4543	1	1	4	1	4	0
EVT16B3	5	1	NA	6173	1	1	5	1	5	0
EVT16B3	6	1	NA	5205	1	1	6	1	6	0
EVT16B3	7	1	NA	5389	1	1	7	1	7	0
EVT16B3	8	1	NA	5248	1	1	8	1	8	0
EVT16B3	9	1	NA	3780	1	1	9	1	9	0
EVT16B19	1	1	NA	2634	1	1	1	1	1	0
EVT16B19	2	1	NA	2282	1	1	2	1	2	0
EVT16B19	3	1	NA	1632	1	1	3	1	3	0
EVT16B19	4	1	NA	3211	1	1	4	1	4	0
EVT16B19	5	1	NA	3059	1	1	5	1	5	0
EVT16B19	6	1	NA	2735	1	1	6	1	6	0
EVT16B19	7	1	NA	2233	1	1	7	1	7	0
EVT16B19	8	1	NA	3073	1	1	8	1	8	0
EVT16B19	9	1	NA	3011	1	1	9	1	9	0
EVT16B10	1	1	NA	3353	1	1	1	1	1	0
EVT16B10	2	1	NA	2972	1	1	2	1	2	0
EVT16B10	3	1	NA	3100	1	1	3	1	3	0
EVT16B10	4	1	NA	2889	1	1	4	1	4	0
EVT16B10	5	1	NA	2785	1	1	5	1	5	0
EVT16B10	6	1	NA	2774	1	1	6	1	6	0
EVT16B10	7	1	NA	2843	1	1	7	1	7	0
EVT16B10	8	1	NA	2688	1	1	8	1	8	0
EVT16B10	9	1	NA	3024	1	1	9	1	9	0
EVT16B7	1	1	NA	3088	1	1	1	1	1	0
EVT16B7	2	1	NA	2515	1	1	2	1	2	0
EVT16B7	3	1	NA	2832	1	1	3	1	3	0
EVT16B7	4	1	NA	3537	1	1	4	1	4	0
EVT16B7	5	1	NA	3529	1	1	5	1	5	0
EVT16B7	6	1	NA	3061	1	1	6	1	6	0
EVT16B7	7	1	NA	2998	1	1	7	1	7	0
EVT16B7	8	1	NA	3556	1	1	8	1	8	0
EVT16B7	9	1	NA	3949	1	1	9	1	9	0
EVT16B2	1	1	NA	3728	1	1	1	1	1	0
EVT16B2	2	1	NA	3919	1	1	2	1	2	0
EVT16B2	3	1	NA	4082	1	1	3	1	3	0
EVT16B2	4	1	NA	4539	1	1	4	1	4	0
EVT16B2	5	1	NA	4079	1	1	5	1	5	0
EVT16B2	6	1	NA	4878	1	1	6	1	6	0
EVT16B2	7	1	NA	4767	1	1	7	1	7	0
EVT16B2	8	1	NA	3393	1	1	8	1	8	0
EVT16B2	9	1	NA	4500	1	1	9	1	9	0
EVT16B4	1	1	NA	4566	1	1	1	1	1	0
EVT16B4	2	1	NA	4963	1	1	2	1	2	0
EVT16B4	3	1	NA	5136	1	1	3	1	3	0
EVT16B4	4	1	NA	6030	1	1	4	1	4	0
EVT16B4	5	1	NA	5831	1	1	5	1	5	0
EVT16B4	6	1	NA	5980	1	1	6	1	6	0
EVT16B4	7	1	NA	4342	1	1	7	1	7	0
