Trial	Treatment	RepNo	ColNo	Plot.Mean	SmyCol	StyCol	StyTreatment	CritCol	CritTrtNo	IsMinMax
LatinChangeoverS1	1	1	1	1376	1	1	1	1	1	0
LatinChangeoverS1	2	1	2	2088	1	1	2	1	2	0
LatinChangeoverS1	3	1	3	2238	1	1	3	1	3	0
LatinChangeoverS1	2	2	1	1246	1	1	2	1	2	0
LatinChangeoverS1	3	2	2	1864	1	1	3	1	3	0
LatinChangeoverS1	1	2	3	1724	1	1	1	1	1	0
LatinChangeoverS1	3	3	1	1151	1	1	3	1	3	0
LatinChangeoverS1	1	3	2	1392	1	1	1	1	1	0
LatinChangeoverS1	2	3	3	1272	1	1	2	1	2	0
LatinChangeoverS2	1	1	1	1863	1	1	1	1	1	0
LatinChangeoverS2	2	1	2	1748	1	1	2	1	2	0
LatinChangeoverS2	3	1	3	2012	1	1	3	1	3	0
LatinChangeoverS2	3	2	1	1755	1	1	3	1	3	0
LatinChangeoverS2	1	2	2	1353	1	1	1	1	1	0
LatinChangeoverS2	2	2	3	1626	1	1	2	1	2	0
LatinChangeoverS2	2	3	1	1462	1	1	2	1	2	0
LatinChangeoverS2	3	3	2	1339	1	1	3	1	3	0
LatinChangeoverS2	1	3	3	1010	1	1	1	1	1	0
LatinChangeoverS3	1	1	1	1665	1	1	1	1	1	0
LatinChangeoverS3	2	1	2	1938	1	1	2	1	2	0
LatinChangeoverS3	3	1	3	1855	1	1	3	1	3	0
LatinChangeoverS3	2	2	1	1517	1	1	2	1	2	0
LatinChangeoverS3	3	2	2	1804	1	1	3	1	3	0
LatinChangeoverS3	1	2	3	1298	1	1	1	1	1	0
LatinChangeoverS3	3	3	1	1366	1	1	3	1	3	0
LatinChangeoverS3	1	3	2	969	1	1	1	1	1	0
LatinChangeoverS3	2	3	3	1233	1	1	2	1	2	0
LatinChangeoverS4	1	1	1	1384	1	1	1	1	1	0
LatinChangeoverS4	2	1	2	1640	1	1	2	1	2	0
LatinChangeoverS4	3	1	3	1677	1	1	3	1	3	0
LatinChangeoverS4	3	2	1	1535	1	1	3	1	3	0
LatinChangeoverS4	1	2	2	1284	1	1	1	1	1	0
LatinChangeoverS4	2	2	3	1497	1	1	2	1	2	0
LatinChangeoverS4	2	3	1	1289	1	1	2	1	2	0
LatinChangeoverS4	3	3	2	1370	1	1	3	1	3	0
LatinChangeoverS4	1	3	3	1059	1	1	1	1	1	0
LatinChangeoverS5	1	1	1	1342	1	1	1	1	1	0
LatinChangeoverS5	2	1	2	1344	1	1	2	1	2	0
LatinChangeoverS5	3	1	3	1627	1	1	3	1	3	0
LatinChangeoverS5	2	2	1	1294	1	1	2	1	2	0
LatinChangeoverS5	3	2	2	1312	1	1	3	1	3	0
LatinChangeoverS5	1	2	3	1186	1	1	1	1	1	0
LatinChangeoverS5	3	3	1	1317	1	1	3	1	3	0
LatinChangeoverS5	1	3	2	903	1	1	1	1	1	0
LatinChangeoverS5	2	3	3	1066	1	1	2	1	2	0
LatinChangeoverS6	1	1	1	1180	1	1	1	1	1	0
LatinChangeoverS6	2	1	2	1287	1	1	2	1	2	0
LatinChangeoverS6	3	1	3	1547	1	1	3	1	3	0
LatinChangeoverS6	3	2	1	1245	1	1	3	1	3	0
LatinChangeoverS6	1	2	2	1000	1	1	1	1	1	0
LatinChangeoverS6	2	2	3	1297	1	1	2	1	2	0
LatinChangeoverS6	2	3	1	1082	1	1	2	1	2	0
LatinChangeoverS6	3	3	2	1078	1	1	3	1	3	0
LatinChangeoverS6	1	3	3	887	1	1	1	1	1	0
