Year,STATE_NAME,GEO,StFIPS,CoFIPS,FIPS,Farm_TonsN,Farm_TonsP,Farm_TonsK,Tons_N_Exc,Tons_P2O5_Exc,Tons_K2O_Exc,Tons_N_Recovered,Tons_P2O5_Recovered,Tons_K2O_Recovered,Tons_N_Fixed_Legumes,Tons_N_Rem,Tons_P2O5_Rem,Tons_K2O_Rem,BalanceN_Tons,BalanceP2O5_Tons,BalanceK2O_Tons,RatioN,RatioP2O5,RatioK2O,N_PPCA,P2O5_PPCA,K2O_PPCA,FarmNPPCA,FarmPPPCA,FarmKPPCA,21Crop_TotalPlantedAc,21Crop_TotalHarvestAc,Total_Harvested_Cropland_Acres,TotalCropland
1987,Alabama,Autauga,01,001,01001,"1,253",451,470,"1,003",682,745,9,13,238,82,766,308,791,578,156,-84,0.57,0.66,1.12,18.5,5.0,-2.7,40.1,14.5,15.1,"31,223","27,523","27,523","62,455"
1987,Alabama,Baldwin,01,003,01003,"11,069","4,758","7,135","1,446","1,033","1,074",142,151,343,"2,339","5,376","1,693","3,060","8,173","3,216","4,417",0.40,0.34,0.41,119.5,47.0,64.6,161.9,69.6,104.3,"122,002","112,466","112,466","136,753"
1987,Alabama,Barbour,01,005,01005,"1,643","1,045","2,342","1,381","1,014","1,026",189,184,328,649,"1,072",284,591,"1,409",946,"2,079",0.43,0.23,0.22,35.8,24.1,52.9,41.8,26.6,59.6,"36,539","34,123","35,680","78,654"
1987,Alabama,Bibb,01,007,01007,334,109,110,464,285,345,4,5,110,77,213,74,271,203,41,-51,0.51,0.64,1.23,21.3,4.3,-5.4,35.1,11.4,11.6,"7,013","6,390","6,390","19,037"
1987,Alabama,Blount,01,009,01009,"2,371",961,"1,220","5,322","3,801","3,954","2,237","2,183","1,262",305,"1,036",364,"1,073","3,877","2,780","1,409",0.21,0.12,0.43,109.1,78.2,39.6,66.7,27.0,34.3,"32,796","29,197","29,197","71,109"
1987,Alabama,Bullock,01,011,01011,882,491,666,"1,042",769,774,129,122,247,185,654,226,680,542,387,234,0.55,0.37,0.74,19.3,13.8,8.3,31.4,17.5,23.7,"21,665","20,095","20,095","56,248"
1987,Alabama,Butler,01,013,01013,704,388,490,"1,446","1,030","1,074",401,383,343,194,636,224,603,663,546,230,0.49,0.29,0.72,29.8,24.5,10.3,31.6,17.4,22.0,"21,132","18,625","18,625","44,522"
1987,Alabama,Calhoun,01,015,01015,411,275,410,"1,516","1,077","1,126",497,503,360,262,805,272,707,365,506,62,0.69,0.35,0.92,17.8,24.7,3.0,20.0,13.4,20.0,"22,491","21,289","21,289","41,055"
1987,Alabama,Chambers,01,017,01017,373,212,256,804,621,597,6,9,191,4,276,117,430,106,103,17,0.72,0.53,0.96,6.4,6.3,1.0,22.6,12.9,15.5,"11,285","10,291","10,291","32,905"
1987,Alabama,Cherokee,01,019,01019,"1,595",972,"1,526",941,680,699,288,282,223,818,"1,958",617,"1,166",743,636,583,0.72,0.49,0.67,20.5,17.5,16.1,43.9,26.8,42.0,"53,852","51,119","51,119","72,603"
