"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	"Month"	"Month Code"	Avg Daily Precipitation (mm)
	"Colorado"	"08"	"Adams County, CO"	"08001"	"1979"	"1979"	"Jan"	"1"	0.34
	"Colorado"	"08"	"Adams County, CO"	"08001"	"1979"	"1979"	"Feb"	"2"	0.21
	"Colorado"	"08"	"Adams County, CO"	"08001"	"1979"	"1979"	"Mar"	"3"	1.70
	"Colorado"	"08"	"Adams County, CO"	"08001"	"1979"	"1979"	"Apr"	"4"	1.30
	"Colorado"	"08"	"Adams County, CO"	"08001"	"1979"	"1979"	"May"	"5"	2.78
	"Colorado"	"08"	"Adams County, CO"	"08001"	"1979"	"1979"	"Jun"	"6"	2.12
	"Colorado"	"08"	"Adams County, CO"	"08001"	"1979"	"1979"	"Jul"	"7"	0.96
	"Colorado"	"08"	"Adams County, CO"	"08001"	"1979"	"1979"	"Aug"	"8"	3.05
	"Colorado"	"08"	"Adams County, CO"	"08001"	"1979"	"1979"	"Sep"	"9"	0.29
	"Colorado"	"08"	"Adams County, CO"	"08001"	"1979"	"1979"	"Oct"	"10"	0.79
	"Colorado"	"08"	"Adams County, CO"	"08001"	"1979"	"1979"	"Nov"	"11"	1.39
	"Colorado"	"08"	"Adams County, CO"	"08001"	"1979"	"1979"	"Dec"	"12"	0.74
	"Colorado"	"08"	"Adams County, CO"	"08001"	"1980"	"1980"	"Jan"	"1"	0.57
	"Colorado"	"08"	"Adams County, CO"	"08001"	"1980"	"1980"	"Feb"	"2"	0.39
	"Colorado"	"08"	"Adams County, CO"	"08001"	"1980"	"1980"	"Mar"	"3"	1.24
	"Colorado"	"08"	"Adams County, CO"	"08001"	"1980"	"1980"	"Apr"	"4"	1.86
	"Colorado"	"08"	"Adams County, CO"	"08001"	"1980"	"1980"	"May"	"5"	1.90
	"Colorado"	"08"	"Adams County, CO"	"08001"	"1980"	"1980"	"Jun"	"6"	0.41
	"Colorado"	"08"	"Adams County, CO"	"08001"	"1980"	"1980"	"Jul"	"7"	1.54
	"Colorado"	"08"	"Adams County, CO"	"08001"	"1980"	"1980"	"Aug"	"8"	1.10
	"Colorado"	"08"	"Adams County, CO"	"08001"	"1980"	"1980"	"Sep"	"9"	0.63
	"Colorado"	"08"	"Adams County, CO"	"08001"	"1980"	"1980"	"Oct"	"10"	0.11
	"Colorado"	"08"	"Adams County, CO"	"08001"	"1980"	"1980"	"Nov"	"11"	0.48
	"Colorado"	"08"	"Adams County, CO"	"08001"	"1980"	"1980"	"Dec"	"12"	0.02
	"Colorado"	"08"	"Adams County, CO"	"08001"	"1981"	"1981"	"Jan"	"1"	0.25
	"Colorado"	"08"	"Adams County, CO"	"08001"	"1981"	"1981"	"Feb"	"2"	0.10
	"Colorado"	"08"	"Adams County, CO"	"08001"	"1981"	"1981"	"Mar"	"3"	2.21
	"Colorado"	"08"	"Adams County, CO"	"08001"	"1981"	"1981"	"Apr"	"4"	0.93
	"Colorado"	"08"	"Adams County, CO"	"08001"	"1981"	"1981"	"May"	"5"	3.39
	"Colorado"	"08"	"Adams County, CO"	"08001"	"1981"	"1981"	"Jun"	"6"	1.05
	"Colorado"	"08"	"Adams County, CO"	"08001"	"1981"	"1981"	"Jul"	"7"	1.49
	"Colorado"	"08"	"Adams County, CO"	"08001"	"1981"	"1981"	"Aug"	"8"	0.99
	"Colorado"	"08"	"Adams County, CO"	"08001"	"1981"	"1981"	"Sep"	"9"	0.23
	"Colorado"	"08"	"Adams County, CO"	"08001"	"1981"	"1981"	"Oct"	"10"	0.65
	"Colorado"	"08"	"Adams County, CO"	"08001"	"1981"	"1981"	"Nov"	"11"	0.21
	"Colorado"	"08"	"Adams County, CO"	"08001"	"1981"	"1981"	"Dec"	"12"	0.33
	"Colorado"	"08"	"Adams County, CO"	"08001"	"1982"	"1982"	"Jan"	"1"	0.21
	"Colorado"	"08"	"Adams County, CO"	"08001"	"1982"	"1982"	"Feb"	"2"	0.13
	"Colorado"	"08"	"Adams County, CO"	"08001"	"1982"	"1982"	"Mar"	"3"	0.25
	"Colorado"	"08"	"Adams County, CO"	"08001"	"1982"	"1982"	"Apr"	"4"	0.35
