"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	"Month"	"Month Code"	Avg Daily Precipitation (mm)
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1979"	"1979"	"Jan"	"1"	0.57
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1979"	"1979"	"Feb"	"2"	1.43
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1979"	"1979"	"Mar"	"3"	2.55
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1979"	"1979"	"Apr"	"4"	1.00
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1979"	"1979"	"May"	"5"	2.87
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1979"	"1979"	"Jun"	"6"	3.46
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1979"	"1979"	"Jul"	"7"	2.57
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1979"	"1979"	"Aug"	"8"	2.15
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1979"	"1979"	"Sep"	"9"	1.78
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1979"	"1979"	"Oct"	"10"	2.91
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1979"	"1979"	"Nov"	"11"	0.31
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1979"	"1979"	"Dec"	"12"	0.17
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1980"	"1980"	"Jan"	"1"	1.02
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1980"	"1980"	"Feb"	"2"	0.38
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1980"	"1980"	"Mar"	"3"	0.63
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1980"	"1980"	"Apr"	"4"	0.35
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1980"	"1980"	"May"	"5"	1.35
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1980"	"1980"	"Jun"	"6"	2.68
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1980"	"1980"	"Jul"	"7"	2.95
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1980"	"1980"	"Aug"	"8"	3.62
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1980"	"1980"	"Sep"	"9"	3.53
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1980"	"1980"	"Oct"	"10"	0.95
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1980"	"1980"	"Nov"	"11"	0.48
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1980"	"1980"	"Dec"	"12"	0.29
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1981"	"1981"	"Jan"	"1"	0.19
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1981"	"1981"	"Feb"	"2"	1.03
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1981"	"1981"	"Mar"	"3"	0.92
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1981"	"1981"	"Apr"	"4"	3.40
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1981"	"1981"	"May"	"5"	1.02
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1981"	"1981"	"Jun"	"6"	5.72
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1981"	"1981"	"Jul"	"7"	2.37
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1981"	"1981"	"Aug"	"8"	3.36
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1981"	"1981"	"Sep"	"9"	1.76
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1981"	"1981"	"Oct"	"10"	3.50
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1981"	"1981"	"Nov"	"11"	0.47
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1981"	"1981"	"Dec"	"12"	0.64
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1982"	"1982"	"Jan"	"1"	1.27
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1982"	"1982"	"Feb"	"2"	0.23
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1982"	"1982"	"Mar"	"3"	1.48
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1982"	"1982"	"Apr"	"4"	1.47
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1982"	"1982"	"May"	"5"	3.62
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1982"	"1982"	"Jun"	"6"	2.14
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1982"	"1982"	"Jul"	"7"	3.75
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1982"	"1982"	"Aug"	"8"	2.02
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1982"	"1982"	"Sep"	"9"	3.79
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1982"	"1982"	"Oct"	"10"	3.97
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1982"	"1982"	"Nov"	"11"	1.76
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1982"	"1982"	"Dec"	"12"	1.12
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1983"	"1983"	"Jan"	"1"	0.99
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1983"	"1983"	"Feb"	"2"	0.17
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1983"	"1983"	"Mar"	"3"	1.41
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1983"	"1983"	"Apr"	"4"	1.00
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1983"	"1983"	"May"	"5"	1.62
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1983"	"1983"	"Jun"	"6"	3.50
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1983"	"1983"	"Jul"	"7"	3.82
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1983"	"1983"	"Aug"	"8"	2.72
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1983"	"1983"	"Sep"	"9"	3.51
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1983"	"1983"	"Oct"	"10"	1.79
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1983"	"1983"	"Nov"	"11"	2.75
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1983"	"1983"	"Dec"	"12"	1.07
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1984"	"1984"	"Jan"	"1"	0.42
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1984"	"1984"	"Feb"	"2"	0.71
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1984"	"1984"	"Mar"	"3"	0.44
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1984"	"1984"	"Apr"	"4"	1.60
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1984"	"1984"	"May"	"5"	2.30
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1984"	"1984"	"Jun"	"6"	6.25
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1984"	"1984"	"Jul"	"7"	1.73
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1984"	"1984"	"Aug"	"8"	1.37
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1984"	"1984"	"Sep"	"9"	2.63
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1984"	"1984"	"Oct"	"10"	4.34
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1984"	"1984"	"Nov"	"11"	0.34
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1984"	"1984"	"Dec"	"12"	1.08
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1985"	"1985"	"Jan"	"1"	0.20
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1985"	"1985"	"Feb"	"2"	0.38
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1985"	"1985"	"Mar"	"3"	1.44
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1985"	"1985"	"Apr"	"4"	3.05
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1985"	"1985"	"May"	"5"	3.30
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1985"	"1985"	"Jun"	"6"	3.91
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1985"	"1985"	"Jul"	"7"	3.92
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1985"	"1985"	"Aug"	"8"	3.25
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1985"	"1985"	"Sep"	"9"	4.14
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1985"	"1985"	"Oct"	"10"	1.31
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1985"	"1985"	"Nov"	"11"	1.72
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1985"	"1985"	"Dec"	"12"	0.45
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1986"	"1986"	"Jan"	"1"	0.57
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1986"	"1986"	"Feb"	"2"	0.61
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1986"	"1986"	"Mar"	"3"	0.67
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1986"	"1986"	"Apr"	"4"	3.79
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1986"	"1986"	"May"	"5"	2.90
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1986"	"1986"	"Jun"	"6"	5.26
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1986"	"1986"	"Jul"	"7"	4.32
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1986"	"1986"	"Aug"	"8"	4.81
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1986"	"1986"	"Sep"	"9"	5.38
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1986"	"1986"	"Oct"	"10"	0.48
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1986"	"1986"	"Nov"	"11"	1.23
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1986"	"1986"	"Dec"	"12"	0.23
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1987"	"1987"	"Jan"	"1"	0.41
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1987"	"1987"	"Feb"	"2"	0.14
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1987"	"1987"	"Mar"	"3"	0.52
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1987"	"1987"	"Apr"	"4"	0.22
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1987"	"1987"	"May"	"5"	2.87
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1987"	"1987"	"Jun"	"6"	1.08
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1987"	"1987"	"Jul"	"7"	4.14
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1987"	"1987"	"Aug"	"8"	2.49
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1987"	"1987"	"Sep"	"9"	2.36
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1987"	"1987"	"Oct"	"10"	0.76
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1987"	"1987"	"Nov"	"11"	0.88
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1987"	"1987"	"Dec"	"12"	0.71
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1988"	"1988"	"Jan"	"1"	0.75
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1988"	"1988"	"Feb"	"2"	0.06
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1988"	"1988"	"Mar"	"3"	1.65
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1988"	"1988"	"Apr"	"4"	0.26
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1988"	"1988"	"May"	"5"	2.11
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1988"	"1988"	"Jun"	"6"	2.03
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1988"	"1988"	"Jul"	"7"	2.19
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1988"	"1988"	"Aug"	"8"	4.82
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1988"	"1988"	"Sep"	"9"	3.41
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1988"	"1988"	"Oct"	"10"	0.64
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1988"	"1988"	"Nov"	"11"	2.06
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1988"	"1988"	"Dec"	"12"	0.81
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1989"	"1989"	"Jan"	"1"	0.99
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1989"	"1989"	"Feb"	"2"	0.25
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1989"	"1989"	"Mar"	"3"	1.17
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"1989"	"1989"	"Apr"	"4"	1.65
