"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	"Month"	"Month Code"	Avg Daily Precipitation (mm)
	"Missouri"	"29"	"Adair County, MO"	"29001"	"1979"	"1979"	"Jan"	"1"	1.29
	"Missouri"	"29"	"Adair County, MO"	"29001"	"1979"	"1979"	"Feb"	"2"	0.63
	"Missouri"	"29"	"Adair County, MO"	"29001"	"1979"	"1979"	"Mar"	"3"	2.92
	"Missouri"	"29"	"Adair County, MO"	"29001"	"1979"	"1979"	"Apr"	"4"	2.80
	"Missouri"	"29"	"Adair County, MO"	"29001"	"1979"	"1979"	"May"	"5"	2.24
	"Missouri"	"29"	"Adair County, MO"	"29001"	"1979"	"1979"	"Jun"	"6"	3.22
	"Missouri"	"29"	"Adair County, MO"	"29001"	"1979"	"1979"	"Jul"	"7"	3.04
	"Missouri"	"29"	"Adair County, MO"	"29001"	"1979"	"1979"	"Aug"	"8"	2.80
	"Missouri"	"29"	"Adair County, MO"	"29001"	"1979"	"1979"	"Sep"	"9"	0.12
	"Missouri"	"29"	"Adair County, MO"	"29001"	"1979"	"1979"	"Oct"	"10"	2.50
	"Missouri"	"29"	"Adair County, MO"	"29001"	"1979"	"1979"	"Nov"	"11"	1.93
	"Missouri"	"29"	"Adair County, MO"	"29001"	"1979"	"1979"	"Dec"	"12"	0.64
	"Missouri"	"29"	"Adair County, MO"	"29001"	"1980"	"1980"	"Jan"	"1"	1.15
	"Missouri"	"29"	"Adair County, MO"	"29001"	"1980"	"1980"	"Feb"	"2"	0.73
	"Missouri"	"29"	"Adair County, MO"	"29001"	"1980"	"1980"	"Mar"	"3"	2.03
	"Missouri"	"29"	"Adair County, MO"	"29001"	"1980"	"1980"	"Apr"	"4"	1.01
	"Missouri"	"29"	"Adair County, MO"	"29001"	"1980"	"1980"	"May"	"5"	2.05
	"Missouri"	"29"	"Adair County, MO"	"29001"	"1980"	"1980"	"Jun"	"6"	3.53
	"Missouri"	"29"	"Adair County, MO"	"29001"	"1980"	"1980"	"Jul"	"7"	2.38
	"Missouri"	"29"	"Adair County, MO"	"29001"	"1980"	"1980"	"Aug"	"8"	5.14
	"Missouri"	"29"	"Adair County, MO"	"29001"	"1980"	"1980"	"Sep"	"9"	4.15
	"Missouri"	"29"	"Adair County, MO"	"29001"	"1980"	"1980"	"Oct"	"10"	1.98
	"Missouri"	"29"	"Adair County, MO"	"29001"	"1980"	"1980"	"Nov"	"11"	0.75
	"Missouri"	"29"	"Adair County, MO"	"29001"	"1980"	"1980"	"Dec"	"12"	3.11
	"Missouri"	"29"	"Adair County, MO"	"29001"	"1981"	"1981"	"Jan"	"1"	0.14
	"Missouri"	"29"	"Adair County, MO"	"29001"	"1981"	"1981"	"Feb"	"2"	1.20
	"Missouri"	"29"	"Adair County, MO"	"29001"	"1981"	"1981"	"Mar"	"3"	0.88
	"Missouri"	"29"	"Adair County, MO"	"29001"	"1981"	"1981"	"Apr"	"4"	3.83
	"Missouri"	"29"	"Adair County, MO"	"29001"	"1981"	"1981"	"May"	"5"	6.14
	"Missouri"	"29"	"Adair County, MO"	"29001"	"1981"	"1981"	"Jun"	"6"	7.96
	"Missouri"	"29"	"Adair County, MO"	"29001"	"1981"	"1981"	"Jul"	"7"	8.17
	"Missouri"	"29"	"Adair County, MO"	"29001"	"1981"	"1981"	"Aug"	"8"	2.36
	"Missouri"	"29"	"Adair County, MO"	"29001"	"1981"	"1981"	"Sep"	"9"	2.30
	"Missouri"	"29"	"Adair County, MO"	"29001"	"1981"	"1981"	"Oct"	"10"	3.15
	"Missouri"	"29"	"Adair County, MO"	"29001"	"1981"	"1981"	"Nov"	"11"	2.91
	"Missouri"	"29"	"Adair County, MO"	"29001"	"1981"	"1981"	"Dec"	"12"	0.58
	"Missouri"	"29"	"Adair County, MO"	"29001"	"1982"	"1982"	"Jan"	"1"	2.38
	"Missouri"	"29"	"Adair County, MO"	"29001"	"1982"	"1982"	"Feb"	"2"	0.96
