"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	"Month"	"Month Code"	Avg Daily Precipitation (mm)
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1979"	"1979"	"Jan"	"1"	1.07
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1979"	"1979"	"Feb"	"2"	0.67
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1979"	"1979"	"Mar"	"3"	0.23
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1979"	"1979"	"Apr"	"4"	0.41
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1979"	"1979"	"May"	"5"	1.90
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1979"	"1979"	"Jun"	"6"	1.19
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1979"	"1979"	"Jul"	"7"	1.00
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1979"	"1979"	"Aug"	"8"	1.70
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1979"	"1979"	"Sep"	"9"	0.77
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1979"	"1979"	"Oct"	"10"	0.36
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1979"	"1979"	"Nov"	"11"	0.96
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1979"	"1979"	"Dec"	"12"	0.64
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1980"	"1980"	"Jan"	"1"	1.09
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1980"	"1980"	"Feb"	"2"	0.83
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1980"	"1980"	"Mar"	"3"	0.52
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1980"	"1980"	"Apr"	"4"	0.45
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1980"	"1980"	"May"	"5"	0.67
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1980"	"1980"	"Jun"	"6"	0.08
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1980"	"1980"	"Jul"	"7"	0.53
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1980"	"1980"	"Aug"	"8"	1.98
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1980"	"1980"	"Sep"	"9"	1.86
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1980"	"1980"	"Oct"	"10"	0.12
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1980"	"1980"	"Nov"	"11"	0.32
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1980"	"1980"	"Dec"	"12"	0.42
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1981"	"1981"	"Jan"	"1"	0.10
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1981"	"1981"	"Feb"	"2"	0.50
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1981"	"1981"	"Mar"	"3"	0.90
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1981"	"1981"	"Apr"	"4"	0.64
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1981"	"1981"	"May"	"5"	0.85
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1981"	"1981"	"Jun"	"6"	1.00
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1981"	"1981"	"Jul"	"7"	1.28
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1981"	"1981"	"Aug"	"8"	1.73
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1981"	"1981"	"Sep"	"9"	1.01
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1981"	"1981"	"Oct"	"10"	1.02
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1981"	"1981"	"Nov"	"11"	0.35
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1981"	"1981"	"Dec"	"12"	0.06
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1982"	"1982"	"Jan"	"1"	0.43
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1982"	"1982"	"Feb"	"2"	0.62
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1982"	"1982"	"Mar"	"3"	0.86
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1982"	"1982"	"Apr"	"4"	0.24
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1982"	"1982"	"May"	"5"	0.83
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1982"	"1982"	"Jun"	"6"	0.11
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1982"	"1982"	"Jul"	"7"	1.03
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1982"	"1982"	"Aug"	"8"	1.82
