"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	"Month"	"Month Code"	Avg Daily Precipitation (mm)
	"Washington"	"53"	"Adams County, WA"	"53001"	"1979"	"1979"	"Jan"	"1"	0.74
	"Washington"	"53"	"Adams County, WA"	"53001"	"1979"	"1979"	"Feb"	"2"	1.21
	"Washington"	"53"	"Adams County, WA"	"53001"	"1979"	"1979"	"Mar"	"3"	0.56
	"Washington"	"53"	"Adams County, WA"	"53001"	"1979"	"1979"	"Apr"	"4"	0.94
	"Washington"	"53"	"Adams County, WA"	"53001"	"1979"	"1979"	"May"	"5"	0.36
	"Washington"	"53"	"Adams County, WA"	"53001"	"1979"	"1979"	"Jun"	"6"	0.31
	"Washington"	"53"	"Adams County, WA"	"53001"	"1979"	"1979"	"Jul"	"7"	0.16
	"Washington"	"53"	"Adams County, WA"	"53001"	"1979"	"1979"	"Aug"	"8"	0.48
	"Washington"	"53"	"Adams County, WA"	"53001"	"1979"	"1979"	"Sep"	"9"	0.48
	"Washington"	"53"	"Adams County, WA"	"53001"	"1979"	"1979"	"Oct"	"10"	1.19
	"Washington"	"53"	"Adams County, WA"	"53001"	"1979"	"1979"	"Nov"	"11"	1.24
	"Washington"	"53"	"Adams County, WA"	"53001"	"1979"	"1979"	"Dec"	"12"	1.11
	"Washington"	"53"	"Adams County, WA"	"53001"	"1980"	"1980"	"Jan"	"1"	1.35
	"Washington"	"53"	"Adams County, WA"	"53001"	"1980"	"1980"	"Feb"	"2"	1.44
	"Washington"	"53"	"Adams County, WA"	"53001"	"1980"	"1980"	"Mar"	"3"	0.65
	"Washington"	"53"	"Adams County, WA"	"53001"	"1980"	"1980"	"Apr"	"4"	0.59
	"Washington"	"53"	"Adams County, WA"	"53001"	"1980"	"1980"	"May"	"5"	2.07
	"Washington"	"53"	"Adams County, WA"	"53001"	"1980"	"1980"	"Jun"	"6"	0.74
	"Washington"	"53"	"Adams County, WA"	"53001"	"1980"	"1980"	"Jul"	"7"	0.08
	"Washington"	"53"	"Adams County, WA"	"53001"	"1980"	"1980"	"Aug"	"8"	0.39
	"Washington"	"53"	"Adams County, WA"	"53001"	"1980"	"1980"	"Sep"	"9"	0.90
	"Washington"	"53"	"Adams County, WA"	"53001"	"1980"	"1980"	"Oct"	"10"	0.84
	"Washington"	"53"	"Adams County, WA"	"53001"	"1980"	"1980"	"Nov"	"11"	0.91
	"Washington"	"53"	"Adams County, WA"	"53001"	"1980"	"1980"	"Dec"	"12"	2.01
	"Washington"	"53"	"Adams County, WA"	"53001"	"1981"	"1981"	"Jan"	"1"	0.40
	"Washington"	"53"	"Adams County, WA"	"53001"	"1981"	"1981"	"Feb"	"2"	1.06
	"Washington"	"53"	"Adams County, WA"	"53001"	"1981"	"1981"	"Mar"	"3"	1.06
	"Washington"	"53"	"Adams County, WA"	"53001"	"1981"	"1981"	"Apr"	"4"	0.44
	"Washington"	"53"	"Adams County, WA"	"53001"	"1981"	"1981"	"May"	"5"	1.08
	"Washington"	"53"	"Adams County, WA"	"53001"	"1981"	"1981"	"Jun"	"6"	0.81
	"Washington"	"53"	"Adams County, WA"	"53001"	"1981"	"1981"	"Jul"	"7"	0.18
	"Washington"	"53"	"Adams County, WA"	"53001"	"1981"	"1981"	"Aug"	"8"	0.06
	"Washington"	"53"	"Adams County, WA"	"53001"	"1981"	"1981"	"Sep"	"9"	0.42
	"Washington"	"53"	"Adams County, WA"	"53001"	"1981"	"1981"	"Oct"	"10"	0.82
	"Washington"	"53"	"Adams County, WA"	"53001"	"1981"	"1981"	"Nov"	"11"	0.85
	"Washington"	"53"	"Adams County, WA"	"53001"	"1981"	"1981"	"Dec"	"12"	1.70
	"Washington"	"53"	"Adams County, WA"	"53001"	"1982"	"1982"	"Jan"	"1"	0.94
	"Washington"	"53"	"Adams County, WA"	"53001"	"1982"	"1982"	"Feb"	"2"	1.06
	"Washington"	"53"	"Adams County, WA"	"53001"	"1982"	"1982"	"Mar"	"3"	0.66
	"Washington"	"53"	"Adams County, WA"	"53001"	"1982"	"1982"	"Apr"	"4"	1.21
	"Washington"	"53"	"Adams County, WA"	"53001"	"1982"	"1982"	"May"	"5"	0.24
	"Washington"	"53"	"Adams County, WA"	"53001"	"1982"	"1982"	"Jun"	"6"	0.77
	"Washington"	"53"	"Adams County, WA"	"53001"	"1982"	"1982"	"Jul"	"7"	0.35
	"Washington"	"53"	"Adams County, WA"	"53001"	"1982"	"1982"	"Aug"	"8"	0.12
	"Washington"	"53"	"Adams County, WA"	"53001"	"1982"	"1982"	"Sep"	"9"	1.04
	"Washington"	"53"	"Adams County, WA"	"53001"	"1982"	"1982"	"Oct"	"10"	1.40
	"Washington"	"53"	"Adams County, WA"	"53001"	"1982"	"1982"	"Nov"	"11"	1.02
	"Washington"	"53"	"Adams County, WA"	"53001"	"1982"	"1982"	"Dec"	"12"	1.70
	"Washington"	"53"	"Adams County, WA"	"53001"	"1983"	"1983"	"Jan"	"1"	1.14
	"Washington"	"53"	"Adams County, WA"	"53001"	"1983"	"1983"	"Feb"	"2"	1.77
	"Washington"	"53"	"Adams County, WA"	"53001"	"1983"	"1983"	"Mar"	"3"	1.75
	"Washington"	"53"	"Adams County, WA"	"53001"	"1983"	"1983"	"Apr"	"4"	0.49
	"Washington"	"53"	"Adams County, WA"	"53001"	"1983"	"1983"	"May"	"5"	0.51
	"Washington"	"53"	"Adams County, WA"	"53001"	"1983"	"1983"	"Jun"	"6"	0.96
	"Washington"	"53"	"Adams County, WA"	"53001"	"1983"	"1983"	"Jul"	"7"	0.64
	"Washington"	"53"	"Adams County, WA"	"53001"	"1983"	"1983"	"Aug"	"8"	0.14
	"Washington"	"53"	"Adams County, WA"	"53001"	"1983"	"1983"	"Sep"	"9"	0.40
	"Washington"	"53"	"Adams County, WA"	"53001"	"1983"	"1983"	"Oct"	"10"	0.84
	"Washington"	"53"	"Adams County, WA"	"53001"	"1983"	"1983"	"Nov"	"11"	2.35
	"Washington"	"53"	"Adams County, WA"	"53001"	"1983"	"1983"	"Dec"	"12"	1.61
	"Washington"	"53"	"Adams County, WA"	"53001"	"1984"	"1984"	"Jan"	"1"	0.52
	"Washington"	"53"	"Adams County, WA"	"53001"	"1984"	"1984"	"Feb"	"2"	1.17
	"Washington"	"53"	"Adams County, WA"	"53001"	"1984"	"1984"	"Mar"	"3"	1.44
	"Washington"	"53"	"Adams County, WA"	"53001"	"1984"	"1984"	"Apr"	"4"	1.10
	"Washington"	"53"	"Adams County, WA"	"53001"	"1984"	"1984"	"May"	"5"	0.86
	"Washington"	"53"	"Adams County, WA"	"53001"	"1984"	"1984"	"Jun"	"6"	1.02
	"Washington"	"53"	"Adams County, WA"	"53001"	"1984"	"1984"	"Jul"	"7"	0.08
	"Washington"	"53"	"Adams County, WA"	"53001"	"1984"	"1984"	"Aug"	"8"	0.06
	"Washington"	"53"	"Adams County, WA"	"53001"	"1984"	"1984"	"Sep"	"9"	0.71
	"Washington"	"53"	"Adams County, WA"	"53001"	"1984"	"1984"	"Oct"	"10"	0.38
	"Washington"	"53"	"Adams County, WA"	"53001"	"1984"	"1984"	"Nov"	"11"	2.57
	"Washington"	"53"	"Adams County, WA"	"53001"	"1984"	"1984"	"Dec"	"12"	0.96
	"Washington"	"53"	"Adams County, WA"	"53001"	"1985"	"1985"	"Jan"	"1"	0.38
	"Washington"	"53"	"Adams County, WA"	"53001"	"1985"	"1985"	"Feb"	"2"	0.52
	"Washington"	"53"	"Adams County, WA"	"53001"	"1985"	"1985"	"Mar"	"3"	0.77
	"Washington"	"53"	"Adams County, WA"	"53001"	"1985"	"1985"	"Apr"	"4"	0.23
	"Washington"	"53"	"Adams County, WA"	"53001"	"1985"	"1985"	"May"	"5"	0.39
	"Washington"	"53"	"Adams County, WA"	"53001"	"1985"	"1985"	"Jun"	"6"	0.45
	"Washington"	"53"	"Adams County, WA"	"53001"	"1985"	"1985"	"Jul"	"7"	0.11
	"Washington"	"53"	"Adams County, WA"	"53001"	"1985"	"1985"	"Aug"	"8"	0.31
	"Washington"	"53"	"Adams County, WA"	"53001"	"1985"	"1985"	"Sep"	"9"	0.86
	"Washington"	"53"	"Adams County, WA"	"53001"	"1985"	"1985"	"Oct"	"10"	0.58
	"Washington"	"53"	"Adams County, WA"	"53001"	"1985"	"1985"	"Nov"	"11"	1.07
	"Washington"	"53"	"Adams County, WA"	"53001"	"1985"	"1985"	"Dec"	"12"	0.51
	"Washington"	"53"	"Adams County, WA"	"53001"	"1986"	"1986"	"Jan"	"1"	1.87
