Expt No.,Criteria Entry No.,Trial Trt No,Rep No.,Plot No.,Entry Name,ST Criteria Column,Grand Mean Column,Description,Plot Mean
CPT:2006:Highmore,1,1,1,101,Alliance,1,1,Yield,19.1472492218018
CPT:2006:Highmore,1,1,2,202,Alliance,1,1,Yield,35.05419921875
CPT:2006:Highmore,1,1,3,303,Alliance,1,1,Yield,42.3694305419922
CPT:2006:Highmore,1,1,4,417,Alliance,1,1,Yield,53.1704483032227
CPT:2006:Highmore,2,2,1,102,arapahoe,1,1,Yield,20.9637908935547
CPT:2006:Highmore,2,2,2,204,arapahoe,1,1,Yield,24.9896202087402
CPT:2006:Highmore,2,2,3,328,arapahoe,1,1,Yield,37.2144088745117
CPT:2006:Highmore,2,2,4,430,arapahoe,1,1,Yield,52.581298828125
CPT:2006:Highmore,3,3,1,103,CRIMSON,1,1,Yield,27.0025405883789
CPT:2006:Highmore,3,3,2,227,CRIMSON,1,1,Yield,37.5089797973633
CPT:2006:Highmore,3,3,3,313,CRIMSON,1,1,Yield,45.5115509033203
CPT:2006:Highmore,3,3,4,421,CRIMSON,1,1,Yield,45.8552207946777
CPT:2006:Highmore,4,4,1,104,expedition,1,1,Yield,17.0361499786377
CPT:2006:Highmore,4,4,2,214,expedition,1,1,Yield,25.0387191772461
CPT:2006:Highmore,4,4,3,307,expedition,1,1,Yield,27.8371601104736
CPT:2006:Highmore,4,4,4,411,expedition,1,1,Yield,51.8448715209961
CPT:2006:Highmore,5,5,1,105,harding,1,1,Yield,27.1989192962646
CPT:2006:Highmore,5,5,2,229,harding,1,1,Yield,39.1291313171387
CPT:2006:Highmore,5,5,3,309,harding,1,1,Yield,42.418529510498
CPT:2006:Highmore,5,5,4,426,harding,1,1,Yield,55.6252288818359
CPT:2006:Highmore,6,6,1,106,harry,1,1,Yield,20.6201190948486
CPT:2006:Highmore,6,6,2,230,harry,1,1,Yield,29.2118301391602
CPT:2006:Highmore,6,6,3,316,harry,1,1,Yield,36.6252593994141
CPT:2006:Highmore,6,6,4,406,harry,1,1,Yield,53.2686386108398
CPT:2006:Highmore,7,7,1,107,hatcher,1,1,Yield,21.9947891235352
CPT:2006:Highmore,7,7,2,225,hatcher,1,1,Yield,37.263500213623
