Expt No.	Criteria Entry No.	Trial Trt No	Rep No.	Plot No.	Entry Name	ST Criteria Column	Grand Mean Column	Description	Plot Mean
CPT:2007:Bison	1	2	1	1002	BUTEO	1	1	GY	43
CPT:2007:Bison	2	4	1	1004	EXPEDITION	1	1	GY	50.9000015258789
CPT:2007:Bison	3	6	1	1006	Hatcher	1	1	GY	54.5999984741211
CPT:2007:Bison	4	7	1	1007	JAGALENE	1	1	GY	52.7000007629395
CPT:2007:Bison	5	9	1	1009	MILLENNIUM	1	1	GY	55.7999992370605
CPT:2007:Bison	6	10	1	1010	OVERLAND	1	1	GY	60.5999984741211
CPT:2007:Bison	7	11	1	1011	OVERLEY	1	1	GY	55.2000007629395
CPT:2007:Bison	8	12	1	1012	Ripper	1	1	GY	53.2999992370605
CPT:2007:Bison	9	13	1	1013	TANDEM	1	1	GY	55.2000007629395
CPT:2007:Bison	10	14	1	1014	WAHOO	1	1	GY	57
CPT:2007:Bison	11	15	1	1015	WESLEY	1	1	GY	56.4000015258789
CPT:2007:Bison	12	24	1	1024	NUDAKOTA	1	1	GY	67.3000030517578
CPT:2007:Bison	7	11	2	2006	OVERLEY	1	1	GY	58.2000007629395
CPT:2007:Bison	3	6	2	2007	Hatcher	1	1	GY	53.2999992370605
CPT:2007:Bison	6	10	2	2009	OVERLAND	1	1	GY	58.7999992370605
CPT:2007:Bison	4	7	2	2011	JAGALENE	1	1	GY	57
CPT:2007:Bison	1	2	2	2014	BUTEO	1	1	GY	47.9000015258789
CPT:2007:Bison	9	13	2	2017	TANDEM	1	1	GY	48.5
CPT:2007:Bison	5	9	2	2021	MILLENNIUM	1	1	GY	46.7000007629395
CPT:2007:Bison	12	24	2	2022	NUDAKOTA	1	1	GY	57.5999984741211
CPT:2007:Bison	11	15	2	2026	WESLEY	1	1	GY	55.2000007629395
CPT:2007:Bison	8	12	2	2027	Ripper	1	1	GY	47.9000015258789
CPT:2007:Bison	2	4	2	2028	EXPEDITION	1	1	GY	50.2999992370605
CPT:2007:Bison	10	14	2	2030	WAHOO	1	1	GY	47.9000015258789
CPT:2007:Bison	9	13	3	3002	TANDEM	1	1	GY	49.0999984741211
CPT:2007:Bison	7	11	3	3010	OVERLEY	1	1	GY	55.2000007629395
CPT:2007:Bison	10	14	3	3011	WAHOO	1	1	GY	52.7000007629395
CPT:2007:Bison	5	9	3	3016	MILLENNIUM	1	1	GY	49.0999984741211
CPT:2007:Bison	8	12	3	3017	Ripper	1	1	GY	52.0999984741211
CPT:2007:Bison	4	7	3	3018	JAGALENE	1	1	GY	49.7000007629395
CPT:2007:Bison	6	10	3	3019	OVERLAND	1	1	GY	53.2999992370605
CPT:2007:Bison	2	4	3	3021	EXPEDITION	1	1	GY	55.2000007629395
CPT:2007:Bison	3	6	3	3022	Hatcher	1	1	GY	54.5999984741211
CPT:2007:Bison	1	2	3	3026	BUTEO	1	1	GY	49.0999984741211
CPT:2007:Bison	12	24	3	3028	NUDAKOTA	1	1	GY	60.5999984741211
CPT:2007:Bison	11	15	3	3030	WESLEY	1	1	GY	59.4000015258789
CPT:2007:Bison	6	10	4	4003	OVERLAND	1	1	GY	58.7999992370605
CPT:2007:Bison	12	24	4	4004	NUDAKOTA	1	1	GY	57.5999984741211
CPT:2007:Bison	10	14	4	4006	WAHOO	1	1	GY	51.5
CPT:2007:Bison	1	2	4	4007	BUTEO	1	1	GY	50.2999992370605
CPT:2007:Bison	8	12	4	4008	Ripper	1	1	GY	54.5999984741211
CPT:2007:Bison	4	7	4	4012	JAGALENE	1	1	GY	46.0999984741211
CPT:2007:Bison	2	4	4	4014	EXPEDITION	1	1	GY	50.2999992370605
CPT:2007:Bison	7	11	4	4016	OVERLEY	1	1	GY	47.9000015258789
CPT:2007:Bison	5	9	4	4019	MILLENNIUM	1	1	GY	58.2000007629395
CPT:2007:Bison	3	6	4	4021	Hatcher	1	1	GY	56.4000015258789
CPT:2007:Bison	11	15	4	4023	WESLEY	1	1	GY	58.2000007629395
CPT:2007:Bison	9	13	4	4027	TANDEM	1	1	GY	55.2000007629395
CPT:2007:Bison	1	2	1	1002	BUTEO	2	2	TW	59.7999992370605
CPT:2007:Bison	2	4	1	1004	EXPEDITION	2	2	TW	61.0999984741211
CPT:2007:Bison	3	6	1	1006	Hatcher	2	2	TW	63
CPT:2007:Bison	4	7	1	1007	JAGALENE	2	2	TW	65.5999984741211
CPT:2007:Bison	5	9	1	1009	MILLENNIUM	2	2	TW	64
CPT:2007:Bison	6	10	1	1010	OVERLAND	2	2	TW	63.5999984741211
CPT:2007:Bison	7	11	1	1011	OVERLEY	2	2	TW	65.0999984741211
CPT:2007:Bison	8	12	1	1012	Ripper	2	2	TW	62
CPT:2007:Bison	9	13	1	1013	TANDEM	2	2	TW	65.3000030517578
CPT:2007:Bison	10	14	1	1014	WAHOO	2	2	TW	61.9000015258789
CPT:2007:Bison	11	15	1	1015	WESLEY	2	2	TW	60.9000015258789
CPT:2007:Bison	12	24	1	1024	NUDAKOTA	2	2	TW	63.7999992370605
CPT:2007:Bison	7	11	2	2006	OVERLEY	2	2	TW	64.8000030517578
CPT:2007:Bison	3	6	2	2007	Hatcher	2	2	TW	61.2000007629395
CPT:2007:Bison	6	10	2	2009	OVERLAND	2	2	TW	64.5999984741211
