YEAR,LOCATION,PLOT,ROW,COLUMN,BLOCK,TREATMENT,ENTRY,VARIETY,P WT KG,MOISTURE(DJ),TW,PROTEIN,PRO MOIS,YIELD,YIELD135,TESTWT,PROTEIN12
2015,NORTHVILLE,101,1,1,1,1,1,Advance,2.2,12.7,56.8,14.4,12.9,54.7,55.2,56.8,14.5
2015,NORTHVILLE,102,2,1,1,1,2,Faller,2.2,12.6,56.6,13.0,13.8,54.7,55.3,56.6,13.3
2015,NORTHVILLE,103,3,1,1,1,3,Focus,2.2,13.3,59.4,15.0,13.2,53.6,53.7,59.4,15.2
2015,NORTHVILLE,104,4,1,1,1,4,Forefront,2.2,13.4,58.8,14.4,14.3,53.6,53.7,58.8,14.8
2015,NORTHVILLE,105,5,1,1,1,5,MS-Stingray,1.9,13.1,54.8,12.5,13.4,45.8,46.0,54.8,12.7
2015,NORTHVILLE,106,6,1,1,1,6,Prevail,2.7,13.2,58.4,14.6,14.0,67.0,67.2,58.4,14.9
2015,NORTHVILLE,107,7,1,1,1,7,SD4299,2.4,13.4,58.3,14.8,14.2,59.2,59.3,58.3,15.2
2015,NORTHVILLE,108,8,1,1,1,8,SD4383,2.2,12.9,55.6,14.5,13.2,53.6,54.0,55.6,14.7
2015,NORTHVILLE,109,8,2,1,1,9,SD4393,2.2,13.3,57.0,14.6,13.5,53.6,53.7,57.0,14.9
2015,NORTHVILLE,110,7,2,1,1,10,SD4451,2.2,13.3,58.1,14.7,14.2,54.7,54.8,58.1,15.1
2015,NORTHVILLE,111,6,2,1,1,11,SD4471,2.5,12.7,57.8,14.6,13.4,61.4,62.0,57.8,14.8
2015,NORTHVILLE,112,5,2,1,1,12,Select,2.2,12.4,59.0,14.7,13.0,54.7,55.4,59.0,14.9
2015,NORTHVILLE,113,4,2,1,1,13,SY-Ingmar,2.6,12.8,56.9,15.2,13.6,63.7,64.2,56.9,15.5
2015,NORTHVILLE,114,3,2,1,1,14,SY-Rowyn,2.5,12.6,57.7,14.1,13.8,61.4,62.1,57.7,14.4
2015,NORTHVILLE,115,2,2,1,1,15,SY-Soren,2.4,12.6,56.6,14.9,13.8,60.3,60.9,56.6,15.2
