Expt No.,Criteria Entry No.,Trial Trt No,Rep No.,Plot No.,Entry Name,ST Criteria Column,Grand Mean Column,Description,Plot Mean
SampleRCBDKatibougou,1,1,1,101, ,2,1,Tasselling,58
SampleRCBDKatibougou,1,1,2,203, ,2,1,Tasselling,55
SampleRCBDKatibougou,1,1,3,302, ,2,1,Tasselling,60
SampleRCBDKatibougou,1,1,4,414, ,2,1,Tasselling,58
SampleRCBDKatibougou,2,2,1,102, ,2,1,Tasselling,58
SampleRCBDKatibougou,2,2,2,216, ,2,1,Tasselling,58
SampleRCBDKatibougou,2,2,3,304, ,2,1,Tasselling,60
SampleRCBDKatibougou,2,2,4,407, ,2,1,Tasselling,60
SampleRCBDKatibougou,3,3,1,103, ,2,1,Tasselling,60
SampleRCBDKatibougou,3,3,2,208, ,2,1,Tasselling,58
SampleRCBDKatibougou,3,3,3,305, ,2,1,Tasselling,60
SampleRCBDKatibougou,3,3,4,413, ,2,1,Tasselling,60
SampleRCBDKatibougou,4,4,1,104, ,2,1,Tasselling,58
SampleRCBDKatibougou,4,4,2,214, ,2,1,Tasselling,58
SampleRCBDKatibougou,4,4,3,313, ,2,1,Tasselling,55
SampleRCBDKatibougou,4,4,4,408, ,2,1,Tasselling,55
SampleRCBDKatibougou,5,5,1,105, ,2,1,Tasselling,55
SampleRCBDKatibougou,5,5,2,213, ,2,1,Tasselling,58
SampleRCBDKatibougou,5,5,3,309, ,2,1,Tasselling,55
SampleRCBDKatibougou,5,5,4,415, ,2,1,Tasselling,55
SampleRCBDKatibougou,6,6,1,106, ,2,1,Tasselling,60
SampleRCBDKatibougou,6,6,2,211, ,2,1,Tasselling,60
SampleRCBDKatibougou,6,6,3,314, ,2,1,Tasselling,55
SampleRCBDKatibougou,6,6,4,410, ,2,1,Tasselling,58
SampleRCBDKatibougou,7,7,1,107, ,2,1,Tasselling,60
SampleRCBDKatibougou,7,7,2,202, ,2,1,Tasselling,60
SampleRCBDKatibougou,7,7,3,301, ,2,1,Tasselling,58
SampleRCBDKatibougou,7,7,4,412, ,2,1,Tasselling,58
SampleRCBDKatibougou,8,8,1,108, ,2,1,Tasselling,60
SampleRCBDKatibougou,8,8,2,204, ,2,1,Tasselling,58
SampleRCBDKatibougou,8,8,3,308, ,2,1,Tasselling,58
SampleRCBDKatibougou,8,8,4,403, ,2,1,Tasselling,58
SampleRCBDKatibougou,9,9,1,109, ,2,1,Tasselling,60
SampleRCBDKatibougou,9,9,2,205, ,2,1,Tasselling,60
SampleRCBDKatibougou,9,9,3,316, ,2,1,Tasselling,58
SampleRCBDKatibougou,9,9,4,409, ,2,1,Tasselling,58
SampleRCBDKatibougou,10,10,1,110, ,2,1,Tasselling,55
SampleRCBDKatibougou,10,10,2,207, ,2,1,Tasselling,60
SampleRCBDKatibougou,10,10,3,303, ,2,1,Tasselling,58
SampleRCBDKatibougou,10,10,4,404, ,2,1,Tasselling,58
SampleRCBDKatibougou,11,11,1,111, ,2,1,Tasselling,58
SampleRCBDKatibougou,11,11,2,215, ,2,1,Tasselling,55
SampleRCBDKatibougou,11,11,3,311, ,2,1,Tasselling,55
SampleRCBDKatibougou,11,11,4,401, ,2,1,Tasselling,58
SampleRCBDKatibougou,12,12,1,112, ,2,1,Tasselling,58
SampleRCBDKatibougou,12,12,2,210, ,2,1,Tasselling,55
SampleRCBDKatibougou,12,12,3,306, ,2,1,Tasselling,60
SampleRCBDKatibougou,12,12,4,411, ,2,1,Tasselling,60
SampleRCBDKatibougou,13,13,1,113, ,2,1,Tasselling,55
SampleRCBDKatibougou,13,13,2,206, ,2,1,Tasselling,55
SampleRCBDKatibougou,13,13,3,312, ,2,1,Tasselling,58
SampleRCBDKatibougou,13,13,4,402, ,2,1,Tasselling,55
SampleRCBDKatibougou,14,14,1,114, ,2,1,Tasselling,60
SampleRCBDKatibougou,14,14,2,209, ,2,1,Tasselling,58
SampleRCBDKatibougou,14,14,3,307, ,2,1,Tasselling,60
SampleRCBDKatibougou,14,14,4,416, ,2,1,Tasselling,60
SampleRCBDKatibougou,15,15,1,115, ,2,1,Tasselling,55
SampleRCBDKatibougou,15,15,2,201, ,2,1,Tasselling,55
SampleRCBDKatibougou,15,15,3,315, ,2,1,Tasselling,55
SampleRCBDKatibougou,15,15,4,406, ,2,1,Tasselling,60
SampleRCBDKatibougou,16,16,1,116, ,2,1,Tasselling,55
SampleRCBDKatibougou,16,16,2,212, ,2,1,Tasselling,55
SampleRCBDKatibougou,16,16,3,310, ,2,1,Tasselling,55
SampleRCBDKatibougou,16,16,4,405, ,2,1,Tasselling,55
SampleRCBDKatibougou,1,1,1,101, ,3,2,Plant Height,200
SampleRCBDKatibougou,1,1,2,203, ,3,2,Plant Height,190
SampleRCBDKatibougou,1,1,3,302, ,3,2,Plant Height,200
SampleRCBDKatibougou,1,1,4,414, ,3,2,Plant Height,160
SampleRCBDKatibougou,2,2,1,102, ,3,2,Plant Height,200
SampleRCBDKatibougou,2,2,2,216, ,3,2,Plant Height,170
SampleRCBDKatibougou,2,2,3,304, ,3,2,Plant Height,150
SampleRCBDKatibougou,2,2,4,407, ,3,2,Plant Height,160
SampleRCBDKatibougou,3,3,1,103, ,3,2,Plant Height,200
SampleRCBDKatibougou,3,3,2,208, ,3,2,Plant Height,205
SampleRCBDKatibougou,3,3,3,305, ,3,2,Plant Height,200
SampleRCBDKatibougou,3,3,4,413, ,3,2,Plant Height,200
SampleRCBDKatibougou,4,4,1,104, ,3,2,Plant Height,185
SampleRCBDKatibougou,4,4,2,214, ,3,2,Plant Height,200
SampleRCBDKatibougou,4,4,3,313, ,3,2,Plant Height,200
SampleRCBDKatibougou,4,4,4,408, ,3,2,Plant Height,200
SampleRCBDKatibougou,5,5,1,105, ,3,2,Plant Height,200
SampleRCBDKatibougou,5,5,2,213, ,3,2,Plant Height,150
SampleRCBDKatibougou,5,5,3,309, ,3,2,Plant Height,180
SampleRCBDKatibougou,5,5,4,415, ,3,2,Plant Height,175
SampleRCBDKatibougou,6,6,1,106, ,3,2,Plant Height,195
SampleRCBDKatibougou,6,6,2,211, ,3,2,Plant Height,175
SampleRCBDKatibougou,6,6,3,314, ,3,2,Plant Height,170
SampleRCBDKatibougou,6,6,4,410, ,3,2,Plant Height,170
SampleRCBDKatibougou,7,7,1,107, ,3,2,Plant Height,195
SampleRCBDKatibougou,7,7,2,202, ,3,2,Plant Height,165
SampleRCBDKatibougou,7,7,3,301, ,3,2,Plant Height,190
SampleRCBDKatibougou,7,7,4,412, ,3,2,Plant Height,170
SampleRCBDKatibougou,8,8,1,108, ,3,2,Plant Height,205
SampleRCBDKatibougou,8,8,2,204, ,3,2,Plant Height,210
SampleRCBDKatibougou,8,8,3,308, ,3,2,Plant Height,205
SampleRCBDKatibougou,8,8,4,403, ,3,2,Plant Height,180
SampleRCBDKatibougou,9,9,1,109, ,3,2,Plant Height,200
SampleRCBDKatibougou,9,9,2,205, ,3,2,Plant Height,200
SampleRCBDKatibougou,9,9,3,316, ,3,2,Plant Height,185
SampleRCBDKatibougou,9,9,4,409, ,3,2,Plant Height,190
SampleRCBDKatibougou,10,10,1,110, ,3,2,Plant Height,210
SampleRCBDKatibougou,10,10,2,207, ,3,2,Plant Height,200
SampleRCBDKatibougou,10,10,3,303, ,3,2,Plant Height,200
SampleRCBDKatibougou,10,10,4,404, ,3,2,Plant Height,190
SampleRCBDKatibougou,11,11,1,111, ,3,2,Plant Height,180
SampleRCBDKatibougou,11,11,2,215, ,3,2,Plant Height,205
SampleRCBDKatibougou,11,11,3,311, ,3,2,Plant Height,200
SampleRCBDKatibougou,11,11,4,401, ,3,2,Plant Height,160
SampleRCBDKatibougou,12,12,1,112, ,3,2,Plant Height,205
SampleRCBDKatibougou,12,12,2,210, ,3,2,Plant Height,210
SampleRCBDKatibougou,12,12,3,306, ,3,2,Plant Height,175
SampleRCBDKatibougou,12,12,4,411, ,3,2,Plant Height,150
SampleRCBDKatibougou,13,13,1,113, ,3,2,Plant Height,210
SampleRCBDKatibougou,13,13,2,206, ,3,2,Plant Height,170
SampleRCBDKatibougou,13,13,3,312, ,3,2,Plant Height,200
SampleRCBDKatibougou,13,13,4,402, ,3,2,Plant Height,210
SampleRCBDKatibougou,14,14,1,114, ,3,2,Plant Height,180
SampleRCBDKatibougou,14,14,2,209, ,3,2,Plant Height,205
SampleRCBDKatibougou,14,14,3,307, ,3,2,Plant Height,200
SampleRCBDKatibougou,14,14,4,416, ,3,2,Plant Height,205
SampleRCBDKatibougou,15,15,1,115, ,3,2,Plant Height,210
SampleRCBDKatibougou,15,15,2,201, ,3,2,Plant Height,200
SampleRCBDKatibougou,15,15,3,315, ,3,2,Plant Height,190
SampleRCBDKatibougou,15,15,4,406, ,3,2,Plant Height,190
SampleRCBDKatibougou,16,16,1,116, ,3,2,Plant Height,200
SampleRCBDKatibougou,16,16,2,212, ,3,2,Plant Height,210
SampleRCBDKatibougou,16,16,3,310, ,3,2,Plant Height,180
SampleRCBDKatibougou,16,16,4,405, ,3,2,Plant Height,200
SampleRCBDKatibougou,1,1,1,101, ,4,3,Moisture,34.2999992370605
SampleRCBDKatibougou,1,1,2,203, ,4,3,Moisture,38.5999984741211
SampleRCBDKatibougou,1,1,3,302, ,4,3,Moisture,34.7999992370605
SampleRCBDKatibougou,1,1,4,414, ,4,3,Moisture,32.7999992370605
SampleRCBDKatibougou,2,2,1,102, ,4,3,Moisture,36
SampleRCBDKatibougou,2,2,2,216, ,4,3,Moisture,33.5
SampleRCBDKatibougou,2,2,3,304, ,4,3,Moisture,32.2000007629395
SampleRCBDKatibougou,2,2,4,407, ,4,3,Moisture,36.0999984741211
SampleRCBDKatibougou,3,3,1,103, ,4,3,Moisture,35.5
SampleRCBDKatibougou,3,3,2,208, ,4,3,Moisture,34.7999992370605
SampleRCBDKatibougou,3,3,3,305, ,4,3,Moisture,35.0999984741211
SampleRCBDKatibougou,3,3,4,413, ,4,3,Moisture,37.2999992370605
SampleRCBDKatibougou,4,4,1,104, ,4,3,Moisture,36.7999992370605
SampleRCBDKatibougou,4,4,2,214, ,4,3,Moisture,35.5999984741211
SampleRCBDKatibougou,4,4,3,313, ,4,3,Moisture,38.5999984741211
SampleRCBDKatibougou,4,4,4,408, ,4,3,Moisture,33.5
SampleRCBDKatibougou,5,5,1,105, ,4,3,Moisture,30.6000003814697
SampleRCBDKatibougou,5,5,2,213, ,4,3,Moisture,30.6000003814697
SampleRCBDKatibougou,5,5,3,309, ,4,3,Moisture,22.2000007629395
SampleRCBDKatibougou,5,5,4,415, ,4,3,Moisture,29
SampleRCBDKatibougou,6,6,1,106, ,4,3,Moisture,30.3999996185303
SampleRCBDKatibougou,6,6,2,211, ,4,3,Moisture,36.0999984741211
SampleRCBDKatibougou,6,6,3,314, ,4,3,Moisture,33.5999984741211
SampleRCBDKatibougou,6,6,4,410, ,4,3,Moisture,34.9000015258789
SampleRCBDKatibougou,7,7,1,107, ,4,3,Moisture,34.7999992370605
SampleRCBDKatibougou,7,7,2,202, ,4,3,Moisture,36.9000015258789
SampleRCBDKatibougou,7,7,3,301, ,4,3,Moisture,32.4000015258789
SampleRCBDKatibougou,7,7,4,412, ,4,3,Moisture,33.0999984741211
SampleRCBDKatibougou,8,8,1,108, ,4,3,Moisture,38.2999992370605
SampleRCBDKatibougou,8,8,2,204, ,4,3,Moisture,34.7999992370605
SampleRCBDKatibougou,8,8,3,308, ,4,3,Moisture,34.9000015258789
SampleRCBDKatibougou,8,8,4,403, ,4,3,Moisture,36.9000015258789
SampleRCBDKatibougou,9,9,1,109, ,4,3,Moisture,31.6000003814697
SampleRCBDKatibougou,9,9,2,205, ,4,3,Moisture,38.7999992370605
SampleRCBDKatibougou,9,9,3,316, ,4,3,Moisture,35.0999984741211
SampleRCBDKatibougou,9,9,4,409, ,4,3,Moisture,39.5
SampleRCBDKatibougou,10,10,1,110, ,4,3,Moisture,35.5
SampleRCBDKatibougou,10,10,2,207, ,4,3,Moisture,34.7999992370605
SampleRCBDKatibougou,10,10,3,303, ,4,3,Moisture,32.7999992370605
SampleRCBDKatibougou,10,10,4,404, ,4,3,Moisture,30.3999996185303
SampleRCBDKatibougou,11,11,1,111, ,4,3,Moisture,27.7999992370605
SampleRCBDKatibougou,11,11,2,215, ,4,3,Moisture,36.9000015258789
SampleRCBDKatibougou,11,11,3,311, ,4,3,Moisture,34.2000007629395
SampleRCBDKatibougou,11,11,4,401, ,4,3,Moisture,32.7999992370605
SampleRCBDKatibougou,12,12,1,112, ,4,3,Moisture,31.6000003814697
SampleRCBDKatibougou,12,12,2,210, ,4,3,Moisture,36.9000015258789
SampleRCBDKatibougou,12,12,3,306, ,4,3,Moisture,37.2000007629395
SampleRCBDKatibougou,12,12,4,411, ,4,3,Moisture,34.2999992370605
SampleRCBDKatibougou,13,13,1,113, ,4,3,Moisture,23.3999996185303
SampleRCBDKatibougou,13,13,2,206, ,4,3,Moisture,34.2000007629395
SampleRCBDKatibougou,13,13,3,312, ,4,3,Moisture,34.2000007629395
SampleRCBDKatibougou,13,13,4,402, ,4,3,Moisture,28.6000003814697
SampleRCBDKatibougou,14,14,1,114, ,4,3,Moisture,41
SampleRCBDKatibougou,14,14,2,209, ,4,3,Moisture,40.7000007629395
SampleRCBDKatibougou,14,14,3,307, ,4,3,Moisture,38.9000015258789
SampleRCBDKatibougou,14,14,4,416, ,4,3,Moisture,44.5
SampleRCBDKatibougou,15,15,1,115, ,4,3,Moisture,23.3999996185303
SampleRCBDKatibougou,15,15,2,201, ,4,3,Moisture,24.6000003814697
SampleRCBDKatibougou,15,15,3,315, ,4,3,Moisture,27.3999996185303
SampleRCBDKatibougou,15,15,4,406, ,4,3,Moisture,37.7000007629395
SampleRCBDKatibougou,16,16,1,116, ,4,3,Moisture,33.2000007629395
SampleRCBDKatibougou,16,16,2,212, ,4,3,Moisture,37.7999992370605
SampleRCBDKatibougou,16,16,3,310, ,4,3,Moisture,32.9000015258789
SampleRCBDKatibougou,16,16,4,405, ,4,3,Moisture,24.7999992370605
SampleRCBDKatibougou,1,1,1,101, ,1,4,Yield,3.36999988555908
SampleRCBDKatibougou,1,1,2,203, ,1,4,Yield,3.05999994277954
SampleRCBDKatibougou,1,1,3,302, ,1,4,Yield,4
SampleRCBDKatibougou,1,1,4,414, ,1,4,Yield,1.3400000333786
SampleRCBDKatibougou,2,2,1,102, ,1,4,Yield,5.28999996185303
SampleRCBDKatibougou,2,2,2,216, ,1,4,Yield,2.83999991416931
SampleRCBDKatibougou,2,2,3,304, ,1,4,Yield,2.3199999332428
SampleRCBDKatibougou,2,2,4,407, ,1,4,Yield,2.27999997138977
SampleRCBDKatibougou,3,3,1,103, ,1,4,Yield,3.22000002861023
