"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2014","YEAR","","AGRICULTURAL DISTRICT","KANSAS","20","CENTRAL","50","","","","","00000000","","WHEAT","WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","27.5",""
"SURVEY","2014","YEAR","","AGRICULTURAL DISTRICT","KANSAS","20","EAST CENTRAL","80","","","","","00000000","","WHEAT","WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","43.4",""
"SURVEY","2014","YEAR","","AGRICULTURAL DISTRICT","KANSAS","20","NORTH CENTRAL","40","","","","","00000000","","WHEAT","WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","31.1",""
"SURVEY","2014","YEAR","","AGRICULTURAL DISTRICT","KANSAS","20","NORTHEAST","70","","","","","00000000","","WHEAT","WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","44.1",""
"SURVEY","2014","YEAR","","AGRICULTURAL DISTRICT","KANSAS","20","NORTHWEST","10","","","","","00000000","","WHEAT","WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","31.7",""
"SURVEY","2014","YEAR","","AGRICULTURAL DISTRICT","KANSAS","20","SOUTH CENTRAL","60","","","","","00000000","","WHEAT","WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","23.1",""
"SURVEY","2014","YEAR","","AGRICULTURAL DISTRICT","KANSAS","20","SOUTHEAST","90","","","","","00000000","","WHEAT","WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","40",""
"SURVEY","2014","YEAR","","AGRICULTURAL DISTRICT","KANSAS","20","SOUTHWEST","30","","","","","00000000","","WHEAT","WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","24.6",""
"SURVEY","2014","YEAR","","AGRICULTURAL DISTRICT","KANSAS","20","WEST CENTRAL","20","","","","","00000000","","WHEAT","WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","26.7",""
"SURVEY","2014","YEAR","","AGRICULTURAL DISTRICT","NEBRASKA","31","CENTRAL","50","","","","","00000000","","WHEAT","WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","51.2",""
"SURVEY","2014","YEAR","","AGRICULTURAL DISTRICT","NEBRASKA","31","EAST","60","","","","","00000000","","WHEAT","WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","55.3",""
"SURVEY","2014","YEAR","","AGRICULTURAL DISTRICT","NEBRASKA","31","NORTH","20","","","","","00000000","","WHEAT","WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","53.7",""
