"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	"Month"	"Month Code"	Avg Daily Sunlight (KJ/m²)
	"Colorado"	"08"	"Adams County, CO"	"08001"	"1979"	"1979"	"Jan"	"1"	8553.85
	"Colorado"	"08"	"Adams County, CO"	"08001"	"1979"	"1979"	"Feb"	"2"	12429.82
	"Colorado"	"08"	"Adams County, CO"	"08001"	"1979"	"1979"	"Mar"	"3"	15798.54
	"Colorado"	"08"	"Adams County, CO"	"08001"	"1979"	"1979"	"Apr"	"4"	21206.91
	"Colorado"	"08"	"Adams County, CO"	"08001"	"1979"	"1979"	"May"	"5"	22406.05
	"Colorado"	"08"	"Adams County, CO"	"08001"	"1979"	"1979"	"Jun"	"6"	25575.30
	"Colorado"	"08"	"Adams County, CO"	"08001"	"1979"	"1979"	"Jul"	"7"	26203.50
	"Colorado"	"08"	"Adams County, CO"	"08001"	"1979"	"1979"	"Aug"	"8"	22780.78
	"Colorado"	"08"	"Adams County, CO"	"08001"	"1979"	"1979"	"Sep"	"9"	19443.50
	"Colorado"	"08"	"Adams County, CO"	"08001"	"1979"	"1979"	"Oct"	"10"	13940.57
	"Colorado"	"08"	"Adams County, CO"	"08001"	"1979"	"1979"	"Nov"	"11"	9924.16
	"Colorado"	"08"	"Adams County, CO"	"08001"	"1979"	"1979"	"Dec"	"12"	7940.20
	"Colorado"	"08"	"Adams County, CO"	"08001"	"1980"	"1980"	"Jan"	"1"	8436.84
	"Colorado"	"08"	"Adams County, CO"	"08001"	"1980"	"1980"	"Feb"	"2"	11971.59
	"Colorado"	"08"	"Adams County, CO"	"08001"	"1980"	"1980"	"Mar"	"3"	15852.82
	"Colorado"	"08"	"Adams County, CO"	"08001"	"1980"	"1980"	"Apr"	"4"	20073.28
	"Colorado"	"08"	"Adams County, CO"	"08001"	"1980"	"1980"	"May"	"5"	23558.37
	"Colorado"	"08"	"Adams County, CO"	"08001"	"1980"	"1980"	"Jun"	"6"	27248.41
	"Colorado"	"08"	"Adams County, CO"	"08001"	"1980"	"1980"	"Jul"	"7"	26168.41
	"Colorado"	"08"	"Adams County, CO"	"08001"	"1980"	"1980"	"Aug"	"8"	23375.46
	"Colorado"	"08"	"Adams County, CO"	"08001"	"1980"	"1980"	"Sep"	"9"	18939.23
	"Colorado"	"08"	"Adams County, CO"	"08001"	"1980"	"1980"	"Oct"	"10"	14018.53
	"Colorado"	"08"	"Adams County, CO"	"08001"	"1980"	"1980"	"Nov"	"11"	9892.09
	"Colorado"	"08"	"Adams County, CO"	"08001"	"1980"	"1980"	"Dec"	"12"	7891.81
	"Colorado"	"08"	"Adams County, CO"	"08001"	"1981"	"1981"	"Jan"	"1"	8767.23
	"Colorado"	"08"	"Adams County, CO"	"08001"	"1981"	"1981"	"Feb"	"2"	12134.00
	"Colorado"	"08"	"Adams County, CO"	"08001"	"1981"	"1981"	"Mar"	"3"	15813.67
	"Colorado"	"08"	"Adams County, CO"	"08001"	"1981"	"1981"	"Apr"	"4"	21384.13
	"Colorado"	"08"	"Adams County, CO"	"08001"	"1981"	"1981"	"May"	"5"	23320.21
	"Colorado"	"08"	"Adams County, CO"	"08001"	"1981"	"1981"	"Jun"	"6"	26891.05
