Site,Country,Loca,Plot,Repe,BLK,Entry,YLD,AD,SD,PH,EH,rEPH,rEPP,nP
3,Mexico,Cotaxtla,1,1,1,21,7,54,55,280,150,0.54,0.9,58
3,Mexico,Cotaxtla,2,1,1,22,8.39,51,52,270,140,0.52,1,58
3,Mexico,Cotaxtla,3,1,1,32,6.85,52,53,265,140,0.53,0.9,54
3,Mexico,Cotaxtla,4,1,1,11,8.09,53,54,275,140,0.51,1,53
3,Mexico,Cotaxtla,5,1,2,4,6.86,51,52,260,125,0.48,0.9,58
3,Mexico,Cotaxtla,6,1,2,29,6.45,51,52,275,130,0.47,0.9,57
3,Mexico,Cotaxtla,7,1,2,9,6.07,54,55,225,110,0.49,0.8,59
3,Mexico,Cotaxtla,8,1,2,16,6.41,55,56,270,135,0.5,1,56
3,Mexico,Cotaxtla,9,1,3,14,3.11,58,59,225,95,0.42,0.7,53
3,Mexico,Cotaxtla,10,1,3,13,7.97,53,54,280,135,0.48,0.9,58
3,Mexico,Cotaxtla,11,1,3,26,8.17,51,52,285,140,0.49,1,58
3,Mexico,Cotaxtla,12,1,3,1,7.49,52,53,270,140,0.52,1,57
3,Mexico,Cotaxtla,13,1,4,12,7.12,53,54,260,135,0.52,1,57
3,Mexico,Cotaxtla,14,1,4,15,7.12,52,53,260,135,0.52,0.9,59
3,Mexico,Cotaxtla,15,1,4,24,7.11,52,53,245,120,0.49,1,55
3,Mexico,Cotaxtla,16,1,4,7,6.43,48,49,260,130,0.5,0.9,56
3,Mexico,Cotaxtla,17,1,5,2,7.92,48,49,260,135,0.52,1,57
3,Mexico,Cotaxtla,18,1,5,19,1.93,54,55,235,110,0.47,0.7,58
3,Mexico,Cotaxtla,19,1,5,17,8.92,51,52,265,140,0.53,1,55
3,Mexico,Cotaxtla,20,1,5,6,6.15,52,53,275,150,0.55,0.9,54
3,Mexico,Cotaxtla,21,1,6,5,7.44,52,53,295,155,0.53,1,54
3,Mexico,Cotaxtla,22,1,6,8,8.05,52,53,260,135,0.52,1,57
3,Mexico,Cotaxtla,23,1,6,28,7.78,54,55,275,140,0.51,1,57
3,Mexico,Cotaxtla,24,1,6,25,6.43,54,55,260,135,0.52,1,54
3,Mexico,Cotaxtla,25,1,7,3,8.59,50,51,290,155,0.53,1,56
3,Mexico,Cotaxtla,26,1,7,27,7.91,51,52,275,155,0.56,0.9,57
